# frame percolation_dimension largest_cluster num_molecules
0 0 0 0
1 0 0 0
2 0 0 0
3 0 0 0
4 0 0 0
5 0 0 0
6 0 0 0
7 0 0 0
8 0 0 0
9 0 0 0
10 0 0 0
11 0 0 0
12 0 0 0
13 0 0 0
14 0 0 0
15 0 0 0
16 0 0 0
17 0 0 0
18 0 0 0
19 0 0 0
20 0 0 0
21 0 0 0
22 0 0 0
23 0 0 0
24 0 0 0
25 0 0 0
26 0 0 0
27 0 0 0
28 0 0 0
29 0 0 0
30 0 0 0
31 0 0 0
32 0 0 0
33 0 0 0
34 0 0 0
35 1 3290 10708
36 1 3424 10563
37 1 5605 10428
38 1 7644 10278
39 1 8281 10130
40 1 9902 9957
41 1 10563 9826
42 2 11265 9686
43 2 12116 9546
44 3 12759 9399
45 3 13156 9264
46 3 14225 9126
47 3 15140 9002
48 3 15605 8874
49 3 16680 8720
50 3 17168 8610
51 3 17775 8485
52 3 18319 8377
53 3 18667 8255
54 3 19358 8133
55 3 19964 8028
56 3 21142 7921
57 3 21756 7823
58 3 23582 7719
59 3 24089 7619
60 3 26045 7527
61 3 26552 7441
62 3 26980 7334
63 3 27313 7236
64 3 27638 7135
65 3 28182 7030
66 3 28646 6945
67 3 29431 6859
68 3 30173 6774
69 3 30582 6677
70 3 31262 6576
71 3 31957 6495
72 3 32478 6411
73 3 32969 6312
74 3 33364 6238
75 3 34045 6172
76 3 34415 6094
77 3 34950 6019
78 3 35337 5941
79 3 35849 5871
80 3 36212 5808
81 3 36577 5724
82 3 37065 5651
83 3 37576 5573
84 3 37964 5497
85 3 38314 5424
86 3 38611 5357
87 3 38906 5296
88 3 39382 5214
89 3 39857 5141
90 3 40241 5077
91 3 40523 5025
92 3 41071 4961
93 3 41278 4905
94 3 41644 4843
95 3 41953 4781
96 3 42172 4735
97 3 42478 4681
98 3 42732 4627
99 3 42862 4591
100 3 43086 4544
101 3 43355 4482
102 3 43499 4440
103 3 43809 4387
104 3 44015 4340
105 3 44264 4293
106 3 44640 4246
107 3 44906 4194
108 3 45180 4154
109 3 45379 4109
110 3 45807 4056
111 3 46043 4015
112 3 46231 3972
113 3 46373 3934
114 3 46541 3891
115 3 46714 3856
116 3 46894 3813
117 3 47023 3777
118 3 47281 3737
119 3 47415 3704
120 3 47611 3668
121 3 47749 3638
122 3 47885 3605
123 3 47985 3567
124 3 48179 3529
125 3 48387 3485
126 3 48480 3450
127 3 48589 3427
128 3 48667 3401
129 3 48753 3368
130 3 48889 3340
131 3 49038 3310
132 3 49182 3286
133 3 49378 3255
134 3 49504 3217
135 3 49659 3193
136 3 49789 3170
137 3 49885 3152
138 3 50042 3124
139 3 50163 3105
140 3 50290 3081
141 3 50391 3054
142 3 50494 3035
143 3 50534 3018
144 3 50608 2995
145 3 50746 2976
146 3 50842 2956
147 3 50971 2932
148 3 51057 2912
149 3 51159 2896
150 3 51263 2872
151 3 51318 2860
152 3 51385 2848
153 3 51501 2829
154 3 51550 2813
155 3 51608 2792
156 3 51664 2779
157 3 51766 2763
158 3 51859 2744
159 3 51897 2729
160 3 51947 2716
161 3 52005 2708
162 3 52047 2697
163 3 52077 2688
164 3 52112 2675
165 3 52162 2665
166 3 52185 2652
167 3 52212 2643
168 3 52318 2625
169 3 52401 2615
170 3 52422 2607
171 3 52498 2585
172 3 52523 2575
173 3 52553 2565
174 3 52661 2552
175 3 52706 2541
176 3 52775 2526
177 3 52816 2517
178 3 52871 2506
179 3 53002 2485
180 3 53043 2475
181 3 53067 2469
182 3 53101 2462
183 3 53153 2451
184 3 53187 2444
185 3 53223 2433
186 3 53246 2427
187 3 53292 2416
188 3 53310 2411
189 3 53355 2401
190 3 53416 2389
191 3 53461 2381
192 3 53484 2377
