dangling_strand data
1 2027
2 166
3 805
4 489
5 10
6 383
7 231
8 14
9 123
10 86
11 5
12 62
13 45
14 9
15 30
16 27
17 3
18 20
19 11
20 1
21 15
22 10
24 4
25 6
26 3
27 6
28 4
30 2
31 3
33 5
34 1
41 2
43 1
45 3
49 1
primary_loop_size data
4.0 15
5.0 14
6.0 41
7.0 10
8.0 7
9.0 5
10.0 2
11.0 1
12.0 1
13.0 1
14.0 1
15.0 1
secondary_loop_size data
3.0 57
4.0 28
5.0 36
6.0 19
7.0 22
8.0 8
9.0 10
10.0 8
12.0 3
14.0 3
15.0 2
17.0 1
19.0 2
tertiary_loop_size data
2.0 57
3.0 45
4.0 25
5.0 23
6.0 37
7.0 20
8.0 12
9.0 11
10.0 14
11.0 16
12.0 8
13.0 12
14.0 5
15.0 7
16.0 3
17.0 1
18.0 2
23.0 1
26.0 1
31.0 1
33.0 1
quaternary_loop_size data
2.0 18
3.0 22
4.0 22
5.0 23
6.0 31
7.0 18
8.0 30
9.0 11
10.0 13
11.0 7
12.0 15
13.0 12
14.0 14
15.0 8
16.0 5
17.0 4
18.0 4
19.0 5
20.0 3
21.0 3
22.0 4
23.0 1
27.0 1
31.0 1
34.0 1
35.0 1
