dangling_strand count
1 63
5 37
7 36
11 37
13 23
17 31
19 25
22 1
23 26
24 1
25 17
28 1
29 14
31 14
32 1
34 1
35 16
36 1
37 15
38 1
41 13
43 21
44 1
47 7
49 7
50 2
53 9
55 6
56 2
59 4
61 4
62 2
65 4
66 2
67 5
68 1
71 2
72 1
73 4
76 1
77 4
79 4
80 1
82 2
85 1
88 1
89 2
90 1
91 4
92 1
95 3
96 3
97 2
98 2
102 1
103 1
107 2
109 1
112 1
113 1
114 1
116 1
119 1
126 1
130 1
132 1
138 2
142 2
143 1
144 2
145 2
146 1
147 1
149 1
155 1
158 1
168 1
174 1
176 1
182 1
183 1
195 1
203 1
210 1
222 2
238 1
242 1
243 1
245 1
246 1
262 1
285 1
386 1
446 1
507 1
1022 1
primary_loop_size data
6.0 57
12.0 9
13.0 1
18.0 5
24.0 3
36.0 1
44.0 1
55.0 1
60.0 1
68.0 2
116.0 1
secondary_loop_size data
12.0 1
18.0 2
24.0 1
48.0 2
74.0 1
85.0 1
93.0 1
96.0 1
108.0 1
tertiary_loop_size data
84.0 1
126.0 1
quaternary_loop_size data
259.0 1
481.0 1
