crosslink_id	type	effective_functionality	scanlan_classification
4	Tetra-S	3	effective
9	Tetra-S	0	ineffective
14	Tetra-S	4	effective
19	Tetra-S	2	bridging
24	Tetra-S	3	effective
29	Tetra-S	0	ineffective
34	Tetra-S	3	effective
39	Tetra-S	3	effective
44	Tetra-S	2	bridging
49	Tetra-S	4	effective
54	Tetra-S	0	ineffective
59	Tetra-S	4	effective
64	Tetra-S	4	effective
69	Tetra-S	2	bridging
74	Tetra-S	3	effective
79	Tetra-S	2	bridging
84	Tetra-S	0	ineffective
89	Tetra-S	2	bridging
94	Tetra-S	2	bridging
99	Tetra-S	4	effective
104	Tetra-S	2	bridging
109	Tetra-S	3	effective
114	Tetra-S	2	bridging
119	Tetra-S	3	effective
124	Tetra-S	0	ineffective
129	Tetra-S	2	bridging
134	Tetra-S	2	bridging
139	Tetra-S	0	ineffective
144	Tetra-S	0	ineffective
149	Tetra-S	3	effective
154	Tetra-S	3	effective
159	Tetra-S	3	effective
164	Tetra-S	2	bridging
169	Tetra-S	3	effective
174	Tetra-S	0	ineffective
179	Tetra-S	3	effective
184	Tetra-S	2	bridging
189	Tetra-S	4	effective
194	Tetra-S	2	bridging
204	Tetra-S	3	effective
209	Tetra-S	4	effective
214	Tetra-S	3	effective
219	Tetra-S	3	effective
224	Tetra-S	4	effective
229	Tetra-S	2	bridging
234	Tetra-S	2	bridging
239	Tetra-S	3	effective
244	Tetra-S	2	bridging
249	Tetra-S	4	effective
254	Tetra-S	2	bridging
259	Tetra-S	3	effective
264	Tetra-S	2	bridging
269	Tetra-S	2	bridging
274	Tetra-S	2	bridging
279	Tetra-S	4	effective
284	Tetra-S	3	effective
289	Tetra-S	4	effective
294	Tetra-S	4	effective
299	Tetra-S	0	ineffective
304	Tetra-S	0	ineffective
309	Tetra-S	3	effective
314	Tetra-S	4	effective
319	Tetra-S	4	effective
324	Tetra-S	2	bridging
329	Tetra-S	3	effective
334	Tetra-S	2	bridging
339	Tetra-S	2	bridging
344	Tetra-S	2	bridging
349	Tetra-S	3	effective
354	Tetra-S	4	effective
359	Tetra-S	2	bridging
364	Tetra-S	0	ineffective
369	Tetra-S	0	ineffective
374	Tetra-S	4	effective
379	Tetra-S	2	bridging
384	Tetra-S	2	bridging
