cluster_size count
43018 1
443 1
386 1
306 1
292 1
266 1
251 1
247 1
237 1
236 1
211 1
190 1
188 1
184 1
175 1
174 1
169 1
165 1
153 2
150 1
144 1
136 1
132 2
126 1
121 1
120 1
119 1
116 1
114 1
113 1
112 1
109 1
108 1
106 1
105 1
103 1
98 1
97 1
96 1
92 1
90 1
89 1
88 1
87 1
86 2
85 1
84 4
82 1
79 1
78 4
77 2
75 1
74 2
73 2
71 2
70 1
69 1
66 2
64 4
61 1
58 5
57 2
56 2
55 1
54 7
53 1
52 1
51 1
48 7
47 1
46 2
44 2
43 2
42 5
41 1
40 2
39 1
38 3
36 10
35 1
34 6
33 1
32 6
31 1
30 17
29 1
28 4
27 2
26 5
24 13
22 9
21 1
20 6
19 1
18 25
17 1
16 14
14 12
13 1
12 52
11 1
10 16
9 1
8 19
6 195
5 1
4 69
2 41
