dangling_strand count
1 70
5 47
7 26
11 26
13 22
16 2
17 19
19 18
23 22
25 9
28 1
29 17
31 16
32 2
35 22
37 6
41 10
42 1
43 10
46 1
47 11
49 10
50 1
53 7
55 5
56 2
59 8
60 1
61 7
62 2
65 3
67 2
68 1
70 1
71 4
73 3
74 1
76 2
77 5
78 2
79 1
82 1
83 5
84 1
85 3
89 3
90 2
91 2
94 1
95 6
96 1
97 1
98 1
100 1
101 1
103 1
106 1
107 1
108 1
113 2
115 1
120 2
121 1
123 1
124 1
125 2
126 2
130 2
131 1
132 1
137 2
144 2
145 1
149 1
151 2
155 1
163 1
166 1
167 1
174 1
175 1
189 1
193 1
198 1
199 1
204 2
208 1
210 1
215 1
216 1
225 1
227 1
229 1
240 1
246 1
269 1
273 1
284 1
287 1
291 1
297 1
311 1
319 1
367 1
370 1
438 1
445 1
489 1
491 1
primary_loop_size data
6.0 46
12.0 15
13.0 1
18.0 3
30.0 1
37.0 1
48.0 1
79.0 1
secondary_loop_size data
12.0 7
24.0 3
30.0 3
42.0 1
54.0 1
60.0 1
67.0 1
73.0 1
116.0 1
tertiary_loop_size data
18.0 1
30.0 1
36.0 1
61.0 1
98.0 1
199.0 1
283.0 1
375.0 1
quaternary_loop_size data
66.0 1
96.0 1
115.0 1
248.0 1
