crosslink_id	type	effective_functionality	scanlan_classification
4	Tetra-S	2	bridging
9	Tetra-S	0	ineffective
14	Tetra-S	3	effective
19	Tetra-S	2	bridging
24	Tetra-S	2	bridging
29	Tetra-S	0	ineffective
34	Tetra-S	3	effective
39	Tetra-S	3	effective
59	Tetra-S	2	bridging
64	Tetra-S	0	ineffective
69	Tetra-S	4	effective
74	Tetra-S	0	ineffective
79	Tetra-S	2	bridging
84	Tetra-S	3	effective
89	Tetra-S	0	ineffective
99	Tetra-S	3	effective
104	Tetra-S	4	effective
114	Tetra-S	2	bridging
119	Tetra-S	2	bridging
124	Tetra-S	2	bridging
134	Tetra-S	2	bridging
139	Tetra-S	0	ineffective
144	Tetra-S	0	ineffective
149	Tetra-S	3	effective
154	Tetra-S	0	ineffective
159	Tetra-S	2	bridging
164	Tetra-S	3	effective
169	Tetra-S	0	ineffective
174	Tetra-S	3	effective
179	Tetra-S	2	bridging
184	Tetra-S	3	effective
189	Tetra-S	3	effective
194	Tetra-S	0	ineffective
199	Tetra-S	0	ineffective
209	Tetra-S	2	bridging
214	Tetra-S	0	ineffective
219	Tetra-S	0	ineffective
224	Tetra-S	2	bridging
229	Tetra-S	0	ineffective
234	Tetra-S	3	effective
244	Tetra-S	2	bridging
249	Tetra-S	3	effective
254	Tetra-S	0	ineffective
264	Tetra-S	4	effective
269	Tetra-S	3	effective
284	Tetra-S	3	effective
289	Tetra-S	0	ineffective
294	Tetra-S	3	effective
304	Tetra-S	3	effective
309	Tetra-S	2	bridging
314	Tetra-S	2	bridging
319	Tetra-S	0	ineffective
324	Tetra-S	2	bridging
334	Tetra-S	0	ineffective
339	Tetra-S	0	ineffective
344	Tetra-S	2	bridging
349	Tetra-S	2	bridging
354	Tetra-S	0	ineffective
359	Tetra-S	0	ineffective
364	Tetra-S	3	effective
369	Tetra-S	2	bridging
374	Tetra-S	3	effective
379	Tetra-S	4	effective
384	Tetra-S	0	ineffective
389	Tetra-S	0	ineffective
394	Tetra-S	0	ineffective
399	Tetra-S	2	bridging
404	Tetra-S	0	ineffective
409	Tetra-S	0	ineffective
414	Tetra-S	0	ineffective
419	Tetra-S	0	ineffective
424	Tetra-S	3	effective
429	Tetra-S	2	bridging
434	Tetra-S	0	ineffective
439	Tetra-S	2	bridging
444	Tetra-S	4	effective
449	Tetra-S	0	ineffective
454	Tetra-S	2	bridging
459	Tetra-S	3	effective
464	Tetra-S	2	bridging
469	Tetra-S	3	effective
484	Tetra-S	3	effective
489	Tetra-S	0	ineffective
494	Tetra-S	2	bridging
499	Tetra-S	3	effective
509	Tetra-S	2	bridging
514	Tetra-S	4	effective
519	Tetra-S	0	ineffective
524	Tetra-S	0	ineffective
529	Tetra-S	0	ineffective
534	Tetra-S	3	effective
539	Tetra-S	4	effective
544	Tetra-S	0	ineffective
549	Tetra-S	4	effective
554	Tetra-S	3	effective
559	Tetra-S	0	ineffective
564	Tetra-S	3	effective
574	Tetra-S	0	ineffective
579	Tetra-S	0	ineffective
584	Tetra-S	3	effective
589	Tetra-S	0	ineffective
599	Tetra-S	2	bridging
604	Tetra-S	0	ineffective
609	Tetra-S	2	bridging
614	Tetra-S	2	bridging
619	Tetra-S	0	ineffective
624	Tetra-S	3	effective
629	Tetra-S	3	effective
634	Tetra-S	0	ineffective
639	Tetra-S	0	ineffective
644	Tetra-S	2	bridging
649	Tetra-S	2	bridging
654	Tetra-S	2	bridging
659	Tetra-S	2	bridging
664	Tetra-S	0	ineffective
669	Tetra-S	0	ineffective
679	Tetra-S	3	effective
684	Tetra-S	2	bridging
689	Tetra-S	0	ineffective
699	Tetra-S	4	effective
704	Tetra-S	2	bridging
709	Tetra-S	2	bridging
714	Tetra-S	2	bridging
719	Tetra-S	0	ineffective
724	Tetra-S	0	ineffective
729	Tetra-S	0	ineffective
734	Tetra-S	3	effective
739	Tetra-S	0	ineffective
749	Tetra-S	0	ineffective
754	Tetra-S	0	ineffective
759	Tetra-S	2	bridging
764	Tetra-S	2	bridging
774	Tetra-S	0	ineffective
779	Tetra-S	2	bridging
784	Tetra-S	2	bridging
789	Tetra-S	4	effective
794	Tetra-S	3	effective
804	Tetra-S	3	effective
809	Tetra-S	2	bridging
814	Tetra-S	3	effective
