crosslink_id	type	effective_functionality	scanlan_classification
4	Tetra-S	0	ineffective
14	Tetra-S	2	bridging
19	Tetra-S	0	ineffective
24	Tetra-S	3	effective
29	Tetra-S	2	bridging
34	Tetra-S	2	bridging
39	Tetra-S	2	bridging
44	Tetra-S	2	bridging
54	Tetra-S	3	effective
59	Tetra-S	4	effective
64	Tetra-S	0	ineffective
69	Tetra-S	2	bridging
74	Tetra-S	2	bridging
79	Tetra-S	2	bridging
84	Tetra-S	0	ineffective
89	Tetra-S	2	bridging
99	Tetra-S	2	bridging
104	Tetra-S	0	ineffective
109	Tetra-S	0	ineffective
114	Tetra-S	0	ineffective
119	Tetra-S	2	bridging
124	Tetra-S	2	bridging
129	Tetra-S	0	ineffective
139	Tetra-S	3	effective
144	Tetra-S	2	bridging
149	Tetra-S	3	effective
154	Tetra-S	2	bridging
159	Tetra-S	2	bridging
164	Tetra-S	2	bridging
169	Tetra-S	0	ineffective
174	Tetra-S	0	ineffective
179	Tetra-S	0	ineffective
184	Tetra-S	0	ineffective
189	Tetra-S	0	ineffective
194	Tetra-S	2	bridging
199	Tetra-S	2	bridging
209	Tetra-S	0	ineffective
224	Tetra-S	0	ineffective
229	Tetra-S	3	effective
234	Tetra-S	0	ineffective
239	Tetra-S	2	bridging
249	Tetra-S	2	bridging
259	Tetra-S	3	effective
264	Tetra-S	3	effective
274	Tetra-S	0	ineffective
279	Tetra-S	3	effective
284	Tetra-S	3	effective
294	Tetra-S	0	ineffective
299	Tetra-S	0	ineffective
304	Tetra-S	3	effective
314	Tetra-S	2	bridging
319	Tetra-S	2	bridging
324	Tetra-S	3	effective
334	Tetra-S	0	ineffective
339	Tetra-S	0	ineffective
344	Tetra-S	2	bridging
354	Tetra-S	0	ineffective
359	Tetra-S	2	bridging
364	Tetra-S	2	bridging
369	Tetra-S	0	ineffective
374	Tetra-S	3	effective
379	Tetra-S	0	ineffective
384	Tetra-S	3	effective
389	Tetra-S	2	bridging
394	Tetra-S	2	bridging
399	Tetra-S	0	ineffective
409	Tetra-S	0	ineffective
419	Tetra-S	0	ineffective
429	Tetra-S	4	effective
434	Tetra-S	3	effective
439	Tetra-S	0	ineffective
444	Tetra-S	2	bridging
449	Tetra-S	2	bridging
454	Tetra-S	0	ineffective
459	Tetra-S	3	effective
469	Tetra-S	2	bridging
474	Tetra-S	0	ineffective
479	Tetra-S	3	effective
484	Tetra-S	0	ineffective
494	Tetra-S	3	effective
499	Tetra-S	0	ineffective
504	Tetra-S	0	ineffective
509	Tetra-S	2	bridging
514	Tetra-S	0	ineffective
519	Tetra-S	3	effective
524	Tetra-S	2	bridging
529	Tetra-S	0	ineffective
534	Tetra-S	4	effective
539	Tetra-S	0	ineffective
544	Tetra-S	2	bridging
549	Tetra-S	3	effective
554	Tetra-S	0	ineffective
569	Tetra-S	0	ineffective
574	Tetra-S	2	bridging
579	Tetra-S	0	ineffective
589	Tetra-S	4	effective
594	Tetra-S	4	effective
599	Tetra-S	3	effective
604	Tetra-S	3	effective
609	Tetra-S	0	ineffective
614	Tetra-S	0	ineffective
619	Tetra-S	2	bridging
624	Tetra-S	2	bridging
629	Tetra-S	0	ineffective
634	Tetra-S	2	bridging
639	Tetra-S	4	effective
644	Tetra-S	3	effective
649	Tetra-S	4	effective
654	Tetra-S	0	ineffective
659	Tetra-S	3	effective
664	Tetra-S	0	ineffective
669	Tetra-S	3	effective
674	Tetra-S	3	effective
679	Tetra-S	3	effective
684	Tetra-S	3	effective
689	Tetra-S	0	ineffective
694	Tetra-S	2	bridging
699	Tetra-S	0	ineffective
704	Tetra-S	2	bridging
709	Tetra-S	3	effective
714	Tetra-S	2	bridging
719	Tetra-S	0	ineffective
724	Tetra-S	2	bridging
729	Tetra-S	0	ineffective
739	Tetra-S	0	ineffective
744	Tetra-S	3	effective
749	Tetra-S	0	ineffective
754	Tetra-S	0	ineffective
759	Tetra-S	3	effective
764	Tetra-S	2	bridging
769	Tetra-S	2	bridging
774	Tetra-S	0	ineffective
779	Tetra-S	2	bridging
784	Tetra-S	0	ineffective
794	Tetra-S	2	bridging
804	Tetra-S	0	ineffective
809	Tetra-S	4	effective
814	Tetra-S	2	bridging
824	Tetra-S	2	bridging
834	Tetra-S	0	ineffective
839	Tetra-S	4	effective
844	Tetra-S	0	ineffective
849	Tetra-S	2	bridging
854	Tetra-S	0	ineffective
864	Tetra-S	2	bridging
869	Tetra-S	2	bridging
874	Tetra-S	2	bridging
879	Tetra-S	3	effective
884	Tetra-S	0	ineffective
889	Tetra-S	2	bridging
894	Tetra-S	2	bridging
899	Tetra-S	2	bridging
904	Tetra-S	3	effective
909	Tetra-S	0	ineffective
914	Tetra-S	4	effective
919	Tetra-S	0	ineffective
924	Tetra-S	0	ineffective
929	Tetra-S	3	effective
934	Tetra-S	3	effective
939	Tetra-S	2	bridging
944	Tetra-S	0	ineffective
954	Tetra-S	2	bridging
959	Tetra-S	0	ineffective
964	Tetra-S	0	ineffective
969	Tetra-S	0	ineffective
974	Tetra-S	0	ineffective
979	Tetra-S	0	ineffective
984	Tetra-S	0	ineffective
989	Tetra-S	0	ineffective
994	Tetra-S	2	bridging
999	Tetra-S	0	ineffective
1004	Tetra-S	2	bridging
1009	Tetra-S	0	ineffective
1014	Tetra-S	3	effective
1019	Tetra-S	0	ineffective
1024	Tetra-S	0	ineffective
1029	Tetra-S	0	ineffective
1034	Tetra-S	2	bridging
1039	Tetra-S	0	ineffective
1049	Tetra-S	2	bridging
1054	Tetra-S	2	bridging
1059	Tetra-S	3	effective
1064	Tetra-S	2	bridging
1069	Tetra-S	0	ineffective
1074	Tetra-S	2	bridging
1079	Tetra-S	0	ineffective
1084	Tetra-S	0	ineffective
1089	Tetra-S	0	ineffective
1094	Tetra-S	0	ineffective
1099	Tetra-S	0	ineffective
1104	Tetra-S	3	effective
1109	Tetra-S	3	effective
1114	Tetra-S	3	effective
1119	Tetra-S	3	effective
1124	Tetra-S	0	ineffective
1129	Tetra-S	2	bridging
1134	Tetra-S	3	effective
1139	Tetra-S	2	bridging
1144	Tetra-S	4	effective
1154	Tetra-S	0	ineffective
1159	Tetra-S	0	ineffective
1164	Tetra-S	2	bridging
1174	Tetra-S	0	ineffective
1179	Tetra-S	2	bridging
1184	Tetra-S	0	ineffective
1194	Tetra-S	0	ineffective
1199	Tetra-S	0	ineffective
1204	Tetra-S	2	bridging
1209	Tetra-S	4	effective
1214	Tetra-S	2	bridging
1224	Tetra-S	3	effective
1229	Tetra-S	0	ineffective
1234	Tetra-S	0	ineffective
1239	Tetra-S	0	ineffective
1244	Tetra-S	0	ineffective
1249	Tetra-S	2	bridging
1254	Tetra-S	0	ineffective
1259	Tetra-S	3	effective
1264	Tetra-S	2	bridging
1269	Tetra-S	2	bridging
1274	Tetra-S	0	ineffective
1279	Tetra-S	2	bridging
1284	Tetra-S	2	bridging
1294	Tetra-S	3	effective
1299	Tetra-S	2	bridging
1304	Tetra-S	0	ineffective
1309	Tetra-S	3	effective
1314	Tetra-S	2	bridging
1319	Tetra-S	2	bridging
1324	Tetra-S	2	bridging
1329	Tetra-S	0	ineffective
1334	Tetra-S	3	effective
1339	Tetra-S	2	bridging
1344	Tetra-S	0	ineffective
1359	Tetra-S	0	ineffective
1364	Tetra-S	0	ineffective
1369	Tetra-S	2	bridging
1374	Tetra-S	3	effective
1389	Tetra-S	2	bridging
1394	Tetra-S	2	bridging
1399	Tetra-S	0	ineffective
1404	Tetra-S	3	effective
1409	Tetra-S	0	ineffective
1414	Tetra-S	0	ineffective
1419	Tetra-S	3	effective
1429	Tetra-S	0	ineffective
1434	Tetra-S	0	ineffective
1439	Tetra-S	3	effective
1444	Tetra-S	2	bridging
1449	Tetra-S	0	ineffective
1454	Tetra-S	3	effective
1459	Tetra-S	0	ineffective
1464	Tetra-S	3	effective
1469	Tetra-S	2	bridging
1474	Tetra-S	2	bridging
1479	Tetra-S	0	ineffective
1484	Tetra-S	0	ineffective
1489	Tetra-S	3	effective
1494	Tetra-S	3	effective
1504	Tetra-S	3	effective
1509	Tetra-S	2	bridging
1514	Tetra-S	4	effective
1519	Tetra-S	0	ineffective
1524	Tetra-S	3	effective
1529	Tetra-S	2	bridging
1534	Tetra-S	3	effective
1539	Tetra-S	0	ineffective
1544	Tetra-S	2	bridging
1549	Tetra-S	0	ineffective
1554	Tetra-S	3	effective
1559	Tetra-S	2	bridging
1564	Tetra-S	2	bridging
1574	Tetra-S	2	bridging
1589	Tetra-S	0	ineffective
1599	Tetra-S	0	ineffective
1604	Tetra-S	2	bridging
1614	Tetra-S	2	bridging
1619	Tetra-S	0	ineffective
1624	Tetra-S	0	ineffective
1629	Tetra-S	0	ineffective
1639	Tetra-S	0	ineffective
1644	Tetra-S	3	effective
1649	Tetra-S	2	bridging
1654	Tetra-S	2	bridging
1659	Tetra-S	2	bridging
1664	Tetra-S	0	ineffective
1669	Tetra-S	0	ineffective
1674	Tetra-S	2	bridging
1684	Tetra-S	4	effective
1694	Tetra-S	3	effective
1699	Tetra-S	0	ineffective
1704	Tetra-S	2	bridging
1714	Tetra-S	0	ineffective
1719	Tetra-S	2	bridging
1724	Tetra-S	0	ineffective
1729	Tetra-S	2	bridging
1734	Tetra-S	2	bridging
1739	Tetra-S	0	ineffective
1744	Tetra-S	2	bridging
1749	Tetra-S	3	effective
1754	Tetra-S	2	bridging
1759	Tetra-S	0	ineffective
1764	Tetra-S	3	effective
1769	Tetra-S	3	effective
1774	Tetra-S	0	ineffective
1779	Tetra-S	2	bridging
1784	Tetra-S	0	ineffective
1789	Tetra-S	2	bridging
1794	Tetra-S	0	ineffective
1799	Tetra-S	2	bridging
1804	Tetra-S	0	ineffective
1809	Tetra-S	2	bridging
1819	Tetra-S	0	ineffective
1824	Tetra-S	0	ineffective
