dangling_strand data
1 454
2 61
3 1123
4 681
5 2
6 310
7 82
8 7
9 189
10 121
11 2
12 86
13 24
14 3
15 54
16 41
17 1
18 36
19 10
21 21
22 19
23 1
24 13
25 7
26 1
27 8
28 8
30 1
31 2
32 1
33 3
34 3
36 5
37 2
39 1
40 3
42 6
46 1
48 2
51 1
54 1
57 1
58 1
74 1
78 1
primary_loop_size data
2.0 139
4.0 40
5.0 34
6.0 11
7.0 16
8.0 14
9.0 3
10.0 6
11.0 5
12.0 1
13.0 1
14.0 2
15.0 2
20.0 1
secondary_loop_size data
1.0 75
3.0 111
4.0 51
5.0 20
6.0 23
7.0 21
8.0 12
9.0 11
10.0 11
11.0 2
12.0 8
13.0 4
14.0 1
15.0 4
17.0 2
18.0 1
19.0 1
23.0 1
tertiary_loop_size data
1.0 2
2.0 57
3.0 42
4.0 22
5.0 29
6.0 16
7.0 17
8.0 17
9.0 16
10.0 7
11.0 8
12.0 6
13.0 2
14.0 5
15.0 2
16.0 1
17.0 4
18.0 1
19.0 1
21.0 2
22.0 2
23.0 1
25.0 1
quaternary_loop_size data
2.0 18
3.0 15
4.0 21
5.0 26
6.0 12
7.0 20
8.0 17
9.0 10
10.0 11
11.0 7
12.0 18
13.0 10
14.0 9
15.0 4
16.0 7
17.0 2
18.0 7
19.0 4
20.0 2
21.0 3
26.0 3
28.0 2
30.0 1
