crosslink_id	type	effective_functionality	scanlan_classification
4	Tetra-S	2	bridging
9	Tetra-S	2	bridging
14	Tetra-S	2	bridging
19	Tetra-S	0	ineffective
24	Tetra-S	2	bridging
29	Tetra-S	0	ineffective
34	Tetra-S	0	ineffective
39	Tetra-S	2	bridging
44	Tetra-S	2	bridging
49	Tetra-S	2	bridging
59	Tetra-S	0	ineffective
64	Tetra-S	2	bridging
69	Tetra-S	3	effective
74	Tetra-S	2	bridging
84	Tetra-S	2	bridging
94	Tetra-S	0	ineffective
99	Tetra-S	2	bridging
104	Tetra-S	2	bridging
109	Tetra-S	3	effective
114	Tetra-S	2	bridging
119	Tetra-S	0	ineffective
124	Tetra-S	3	effective
129	Tetra-S	0	ineffective
134	Tetra-S	2	bridging
139	Tetra-S	0	ineffective
144	Tetra-S	2	bridging
149	Tetra-S	0	ineffective
154	Tetra-S	2	bridging
159	Tetra-S	2	bridging
164	Tetra-S	0	ineffective
179	Tetra-S	2	bridging
189	Tetra-S	3	effective
194	Tetra-S	3	effective
199	Tetra-S	0	ineffective
204	Tetra-S	0	ineffective
209	Tetra-S	2	bridging
214	Tetra-S	3	effective
219	Tetra-S	2	bridging
224	Tetra-S	0	ineffective
229	Tetra-S	2	bridging
234	Tetra-S	2	bridging
239	Tetra-S	2	bridging
244	Tetra-S	3	effective
249	Tetra-S	2	bridging
259	Tetra-S	0	ineffective
264	Tetra-S	0	ineffective
269	Tetra-S	2	bridging
274	Tetra-S	0	ineffective
279	Tetra-S	0	ineffective
284	Tetra-S	2	bridging
289	Tetra-S	0	ineffective
294	Tetra-S	2	bridging
304	Tetra-S	0	ineffective
309	Tetra-S	0	ineffective
314	Tetra-S	3	effective
319	Tetra-S	3	effective
324	Tetra-S	0	ineffective
334	Tetra-S	0	ineffective
339	Tetra-S	2	bridging
349	Tetra-S	3	effective
354	Tetra-S	4	effective
359	Tetra-S	0	ineffective
364	Tetra-S	0	ineffective
374	Tetra-S	2	bridging
379	Tetra-S	2	bridging
384	Tetra-S	2	bridging
389	Tetra-S	2	bridging
399	Tetra-S	0	ineffective
404	Tetra-S	2	bridging
409	Tetra-S	4	effective
419	Tetra-S	0	ineffective
424	Tetra-S	2	bridging
429	Tetra-S	0	ineffective
434	Tetra-S	3	effective
439	Tetra-S	3	effective
444	Tetra-S	0	ineffective
449	Tetra-S	0	ineffective
454	Tetra-S	2	bridging
459	Tetra-S	3	effective
464	Tetra-S	2	bridging
469	Tetra-S	4	effective
474	Tetra-S	0	ineffective
479	Tetra-S	2	bridging
484	Tetra-S	2	bridging
489	Tetra-S	0	ineffective
494	Tetra-S	2	bridging
499	Tetra-S	4	effective
509	Tetra-S	2	bridging
514	Tetra-S	2	bridging
519	Tetra-S	0	ineffective
524	Tetra-S	0	ineffective
529	Tetra-S	2	bridging
534	Tetra-S	0	ineffective
539	Tetra-S	2	bridging
544	Tetra-S	3	effective
549	Tetra-S	0	ineffective
554	Tetra-S	2	bridging
559	Tetra-S	0	ineffective
564	Tetra-S	0	ineffective
569	Tetra-S	0	ineffective
574	Tetra-S	2	bridging
584	Tetra-S	3	effective
589	Tetra-S	2	bridging
594	Tetra-S	2	bridging
604	Tetra-S	2	bridging
609	Tetra-S	4	effective
614	Tetra-S	3	effective
619	Tetra-S	3	effective
629	Tetra-S	0	ineffective
634	Tetra-S	0	ineffective
639	Tetra-S	3	effective
644	Tetra-S	0	ineffective
654	Tetra-S	0	ineffective
659	Tetra-S	3	effective
664	Tetra-S	4	effective
669	Tetra-S	3	effective
674	Tetra-S	0	ineffective
679	Tetra-S	0	ineffective
684	Tetra-S	3	effective
694	Tetra-S	0	ineffective
699	Tetra-S	3	effective
704	Tetra-S	3	effective
709	Tetra-S	3	effective
714	Tetra-S	2	bridging
724	Tetra-S	2	bridging
729	Tetra-S	2	bridging
734	Tetra-S	0	ineffective
739	Tetra-S	0	ineffective
744	Tetra-S	3	effective
749	Tetra-S	2	bridging
754	Tetra-S	4	effective
759	Tetra-S	0	ineffective
764	Tetra-S	4	effective
769	Tetra-S	0	ineffective
774	Tetra-S	0	ineffective
779	Tetra-S	0	ineffective
784	Tetra-S	0	ineffective
789	Tetra-S	2	bridging
794	Tetra-S	0	ineffective
799	Tetra-S	2	bridging
804	Tetra-S	4	effective
809	Tetra-S	3	effective
814	Tetra-S	4	effective
819	Tetra-S	2	bridging
824	Tetra-S	2	bridging
829	Tetra-S	0	ineffective
834	Tetra-S	0	ineffective
839	Tetra-S	4	effective
844	Tetra-S	3	effective
849	Tetra-S	0	ineffective
854	Tetra-S	0	ineffective
859	Tetra-S	3	effective
864	Tetra-S	2	bridging
869	Tetra-S	3	effective
874	Tetra-S	0	ineffective
879	Tetra-S	4	effective
884	Tetra-S	3	effective
894	Tetra-S	2	bridging
899	Tetra-S	2	bridging
904	Tetra-S	3	effective
909	Tetra-S	2	bridging
914	Tetra-S	0	ineffective
919	Tetra-S	0	ineffective
924	Tetra-S	2	bridging
929	Tetra-S	0	ineffective
934	Tetra-S	4	effective
939	Tetra-S	2	bridging
944	Tetra-S	3	effective
949	Tetra-S	2	bridging
954	Tetra-S	0	ineffective
959	Tetra-S	0	ineffective
964	Tetra-S	0	ineffective
969	Tetra-S	0	ineffective
974	Tetra-S	0	ineffective
979	Tetra-S	0	ineffective
984	Tetra-S	0	ineffective
989	Tetra-S	2	bridging
994	Tetra-S	0	ineffective
999	Tetra-S	2	bridging
1004	Tetra-S	2	bridging
1009	Tetra-S	3	effective
1014	Tetra-S	0	ineffective
1019	Tetra-S	3	effective
1024	Tetra-S	0	ineffective
1034	Tetra-S	0	ineffective
1039	Tetra-S	2	bridging
1044	Tetra-S	3	effective
1049	Tetra-S	2	bridging
1054	Tetra-S	2	bridging
1059	Tetra-S	0	ineffective
1069	Tetra-S	0	ineffective
1074	Tetra-S	2	bridging
1079	Tetra-S	0	ineffective
1084	Tetra-S	3	effective
1089	Tetra-S	0	ineffective
1094	Tetra-S	3	effective
1099	Tetra-S	0	ineffective
1104	Tetra-S	2	bridging
1109	Tetra-S	0	ineffective
1114	Tetra-S	2	bridging
1119	Tetra-S	0	ineffective
1124	Tetra-S	0	ineffective
1129	Tetra-S	3	effective
1134	Tetra-S	0	ineffective
1139	Tetra-S	3	effective
1144	Tetra-S	0	ineffective
1149	Tetra-S	3	effective
1154	Tetra-S	0	ineffective
1159	Tetra-S	0	ineffective
1164	Tetra-S	0	ineffective
1169	Tetra-S	3	effective
1174	Tetra-S	2	bridging
1179	Tetra-S	2	bridging
1184	Tetra-S	2	bridging
1189	Tetra-S	0	ineffective
1194	Tetra-S	3	effective
1199	Tetra-S	3	effective
1204	Tetra-S	2	bridging
1209	Tetra-S	0	ineffective
1214	Tetra-S	3	effective
1219	Tetra-S	2	bridging
1224	Tetra-S	0	ineffective
1234	Tetra-S	4	effective
1239	Tetra-S	4	effective
1244	Tetra-S	2	bridging
1249	Tetra-S	3	effective
1254	Tetra-S	2	bridging
1259	Tetra-S	4	effective
1264	Tetra-S	2	bridging
1269	Tetra-S	0	ineffective
1274	Tetra-S	2	bridging
1279	Tetra-S	2	bridging
1289	Tetra-S	2	bridging
1294	Tetra-S	0	ineffective
1299	Tetra-S	2	bridging
1309	Tetra-S	2	bridging
1314	Tetra-S	2	bridging
1319	Tetra-S	3	effective
1324	Tetra-S	2	bridging
1329	Tetra-S	0	ineffective
1334	Tetra-S	0	ineffective
1339	Tetra-S	0	ineffective
1344	Tetra-S	2	bridging
1349	Tetra-S	0	ineffective
1354	Tetra-S	0	ineffective
1359	Tetra-S	4	effective
1364	Tetra-S	0	ineffective
1369	Tetra-S	2	bridging
1374	Tetra-S	2	bridging
1379	Tetra-S	3	effective
1384	Tetra-S	2	bridging
1389	Tetra-S	2	bridging
1394	Tetra-S	2	bridging
1399	Tetra-S	0	ineffective
1404	Tetra-S	2	bridging
1409	Tetra-S	2	bridging
1414	Tetra-S	0	ineffective
1419	Tetra-S	2	bridging
1424	Tetra-S	4	effective
1429	Tetra-S	2	bridging
1434	Tetra-S	2	bridging
1444	Tetra-S	3	effective
1454	Tetra-S	3	effective
1464	Tetra-S	2	bridging
1469	Tetra-S	3	effective
1474	Tetra-S	2	bridging
1479	Tetra-S	0	ineffective
1484	Tetra-S	0	ineffective
1489	Tetra-S	0	ineffective
1494	Tetra-S	3	effective
1499	Tetra-S	2	bridging
1504	Tetra-S	2	bridging
1509	Tetra-S	0	ineffective
1514	Tetra-S	3	effective
1519	Tetra-S	2	bridging
1529	Tetra-S	2	bridging
1534	Tetra-S	2	bridging
1539	Tetra-S	0	ineffective
1544	Tetra-S	3	effective
1549	Tetra-S	0	ineffective
1554	Tetra-S	3	effective
1559	Tetra-S	3	effective
1564	Tetra-S	2	bridging
1569	Tetra-S	0	ineffective
1574	Tetra-S	3	effective
1584	Tetra-S	0	ineffective
1589	Tetra-S	4	effective
1594	Tetra-S	2	bridging
1599	Tetra-S	0	ineffective
1609	Tetra-S	0	ineffective
1614	Tetra-S	3	effective
1624	Tetra-S	4	effective
1629	Tetra-S	0	ineffective
1634	Tetra-S	0	ineffective
1639	Tetra-S	0	ineffective
1644	Tetra-S	0	ineffective
1649	Tetra-S	2	bridging
1654	Tetra-S	0	ineffective
1659	Tetra-S	3	effective
1664	Tetra-S	0	ineffective
1669	Tetra-S	3	effective
1674	Tetra-S	0	ineffective
1679	Tetra-S	3	effective
1689	Tetra-S	2	bridging
1694	Tetra-S	0	ineffective
1699	Tetra-S	4	effective
1704	Tetra-S	2	bridging
1709	Tetra-S	0	ineffective
1714	Tetra-S	2	bridging
1719	Tetra-S	0	ineffective
1724	Tetra-S	4	effective
1729	Tetra-S	3	effective
1734	Tetra-S	2	bridging
1744	Tetra-S	0	ineffective
1749	Tetra-S	3	effective
1754	Tetra-S	3	effective
1764	Tetra-S	3	effective
1769	Tetra-S	0	ineffective
1774	Tetra-S	2	bridging
1779	Tetra-S	2	bridging
1789	Tetra-S	3	effective
1799	Tetra-S	3	effective
1804	Tetra-S	0	ineffective
1809	Tetra-S	3	effective
1814	Tetra-S	3	effective
1819	Tetra-S	3	effective
1824	Tetra-S	2	bridging
1829	Tetra-S	3	effective
1834	Tetra-S	2	bridging
1839	Tetra-S	0	ineffective
