largest average
21 3.648143824422134
38 3.691671588895452
53 3.7371442238698878
61 3.783522004963981
69 3.8261401897765532
83 3.8764497922222914
87 3.925386258007788
100 3.9685059368848816
104 4.011553273427471
113 4.056597650418641
145 4.110219650138103
149 4.159733777038269
157 4.2167048981244095
157 4.260395364689844
169 4.315106324219829
193 4.360870778677087
199 4.409482150416255
199 4.4674767691208
201 4.518507807981492
201 4.572390079742483
209 4.625175756678754
209 4.673246597876477
282 4.731622378681203
283 4.797359533312864
342 4.858519900497512
372 4.911591355599215
372 4.967808600270248
382 5.035855289662396
396 5.089991041615766
666 5.150815889236855
676 5.213981813631434
980 5.2854122621564485
998 5.347364818617385
1017 5.415475262109003
1022 5.475251861585633
1046 5.5427456544874065
1128 5.612932195779075
1252 5.694760820045558
1290 5.768875761491601
1314 5.843305908750935
1918 5.916319575918213
2137 5.980288967562912
2352 6.053855094924448
3761 6.123848716441309
4108 6.200396825396825
4384 6.277621534752913
5592 6.350335297703719
5655 6.435337726523888
6222 6.515846538782319
6355 6.59839527027027
6741 6.670224119530416
7050 6.764069264069264
7327 6.86436024162548
10242 6.949849883242522
10407 7.017740848865933
13055 7.094211123723042
14756 7.177308222324299
15109 7.261531311723016
15855 7.350346936375397
17104 7.425448497089224
17406 7.512922226229114
19212 7.615450225417327
19933 7.716049382716049
20526 7.8125
21247 7.926442612555485
21969 8.000512032770096
22125 8.084335790971414
22310 8.174208736594297
22695 8.28582791992576
23074 8.37464826477288
23537 8.47802495930548
24354 8.563990134283365
25545 8.648125086481251
26118 8.748600223964166
26829 8.842671194114319
27298 8.927296100557063
27818 9.03570912245193
28834 9.126752336448599
29339 9.21421200058971
29731 9.30613460393091
30043 9.374531273436329
30673 9.463961235614779
31163 9.5580363970026
31435 9.643573522604536
31871 9.726112667289138
32138 9.831681610822715
32455 9.925361283150707
32934 10.012816404998398
33157 10.082271334086142
33401 10.185788787483702
33590 10.269470916858364
33908 10.378611756891399
34233 10.47076562238231
34491 10.559216083797939
34923 10.667349377026797
35067 10.746217331499313
35346 10.835644937586686
35522 10.922754281719678
35884 11.030709495234733
36489 11.11704019921736
36830 11.24302932182047
37517 11.361570623522995
37805 11.469994494402643
38117 11.584800741427248
38333 11.673515128875607
38590 11.776898436027889
39063 11.9002284843869
39399 12.000768049155146
39682 12.088974854932301
39875 12.173743669653291
40104 12.293469708890637
40244 12.388503468780971
40352 12.470071827613728
40595 12.567866478986527
40808 12.659509823779624
41020 12.794268167860798
41158 12.889255516601361
41277 12.977574750830565
41471 13.058921855411617
41610 13.19679054054054
41714 13.295043607743033
41935 13.39764201500536
42066 13.507672357899287
42232 13.616557734204793
42373 13.706140350877194
42532 13.79690949227373
42779 13.910527487202314
42898 14.00717167189601
43041 14.111537593136148
43119 14.185201997276442
43386 14.305333028152896
43516 14.414206642066421
43689 14.518002322880372
43758 14.589169000933706
43873 14.68515037593985
44025 14.785900165602081
44303 14.838556505223172
44448 14.927155481251493
44524 15.002400384061449
44673 15.08932882665379
44754 15.195720884998785
44912 15.2849107361213
45100 15.386509108813392
45151 15.489467162329616
45323 15.57826520438684
45410 15.672016048144433
45492 15.786814852235413
45559 15.834811249049912
45656 15.931684934998726
45741 16.00922131147541
45873 16.091658084449023
45948 16.170763260025872
46089 16.267568974492452
46154 16.322799686602245
46295 16.395592864637987
46373 16.49076517150396
46444 16.582647917219422
46502 16.662223407091442
46562 16.751541141785044
46617 16.810112963959117
46667 16.901027582477013
46926 17.011431682090365
47063 17.09986320109439
47090 17.146776406035666
47149 17.198679141441936
47204 17.25565985643291
47233 17.32741890767951
47272 17.370761534185657
47376 17.448352875488553
47478 17.566048341765036
47523 17.635440180586908
47631 17.705382436260624
47675 17.75063902300483
47705 17.79106177056647
48040 17.93400286944046
48144 18.027112777617535
48218 18.094962362478284
48260 18.17917393833624
48350 18.26417299824664
48395 18.333822235259607
48453 18.420277040966695
48500 18.46381093057607
48554 18.529498962348057
48610 18.62336114421931
48711 18.684603886397607
48778 18.780048076923077
48854 18.84800965018094
48906 18.94513488936041
48943 19.014298752662
48994 19.072322245956666
49027 19.142419601837673
49147 19.254467036352434
49199 19.302038295243978
49284 19.391870927707107
49353 19.47647242131505
49413 19.580200501253135
49527 19.68503937007874
49571 19.747235387045812
49579 19.77848101265823
49610 19.828680203045685
49620 19.87281399046105
49661 19.96167358671351
49735 20.038473869830074
49761 20.10939510939511
49818 20.18733850129199
49855 20.25931928687196
49964 20.35830618892508
49993 20.411495754408882
50017 20.458265139116204
50034 20.51871306631648
50129 20.606660072535444
50186 20.702219277906593
50196 20.743445071357453
50237 20.805592543275633
50266 20.88205813564985
50276 20.938023450586265
50319 20.973154362416107
50369 21.043771043771045
50428 21.129141311697094
50447 21.179261267366993
50494 21.24405166553365
50516 21.29471890971039
50528 21.323780279768
50579 21.38214163530619
50634 21.42612272883099
50648 21.462912087912088
50704 21.522038567493112
50722 21.581491712707184
50808 21.686328938237335
50898 21.792189679218968
50952 21.906764808973012
51015 21.9760900140647
51074 22.045855379188712
51105 22.116065109695683
51135 22.147413182140326
51159 22.210376687988628
51215 22.281639928698752
51269 22.353361945636625
51320 22.40946575833632
51362 22.44165170556553
51381 22.47393024092053
51403 22.53064167267484
51442 22.571325388226796
51485 22.644927536231883
51500 22.677793904208997
51568 22.776967930029155
51624 22.86027798098025
51648 22.893772893772894
51655 22.910557184750733
51680 22.96949650863653
51699 23.02873986735446
51701 23.054223533751383
51719 23.096821877309683
51734 23.14814814814815
51742 23.19970304380104
51748 23.24284120490889
51754 23.26880119136262
51795 23.35575485799701
51809 23.39071856287425
51910 23.49624060150376
51925 23.540489642184557
51927 23.59380898452246
51978 23.656320968962905
52020 23.719165085388994
52054 23.773297831875237
52075 23.80952380952381
52086 23.84586035864174
52118 23.88230798624379
52127 23.90057361376673
52141 23.937188816545383
52145 23.95553852050594
52188 23.99232245681382
52196 24.019984627209837
52200 24.047710657945363
52212 24.066230265691182
52242 24.14059482425647
52246 24.159257827599536
52268 24.224806201550386
52331 24.31906614785992
52337 24.35697583787997
52395 24.433150899139953
52426 24.481002741872306
52443 24.53867294856694
52451 24.57727093983484
52451 24.57727093983484
52467 24.62568951930654
52483 24.674299249901303
52511 24.723101265822784
52543 24.78191911181602
52589 24.85089463220676
52613 24.87067250298448
52619 24.910322837783976
52659 24.970035956851778
52664 25.0
52670 25.02001601281025
52728 25.100401606425702
52780 25.201612903225808
52808 25.242326332794832
52832 25.303643724696357
52844 25.334414268342115
52869 25.38586515028432
52885 25.45824847250509
52939 25.520620661494487
53001 25.562372188139058
53005 25.614754098360656
53017 25.677896466721446
53035 25.709584533113944
53062 25.77319587628866
53066 25.805119735755575
53114 25.8585022755482
53142 25.901367592208867
53156 25.944375259443753
53169 25.998336106489184
53173 26.030820491461892
53183 26.063386155129276
53210 26.117843710823234
53228 26.16157388028464
53243 26.19446772841576
53268 26.216442953020135
53308 26.304713804713806
53338 26.360185575706453
53361 26.427061310782243
53394 26.483050847457626
53403 26.494277236117
53409 26.528013582342954
53415 26.55055225148683
53446 26.595744680851062
53448 26.629740093736686
53458 26.67520273154076
53488 26.743688489516472
53492 26.778063410454156
53501 26.824034334763947
53551 26.881720430107528
53572 26.939655172413794
53596 26.986183074265977
53600 27.009507346586
53664 27.067994802944998
53704 27.13851498046027
53706 27.150304083405736
53727 27.19756309834639
53735 27.233115468409586
53745 27.292576419213972
53759 27.340332458442695
53785 27.400263042525207
53816 27.448397013614404
53816 27.448397013614404
53838 27.48460861917326
53847 27.508802816901408
53879 27.59381898454746
53893 27.667109340416115
53914 27.70390070921986
53914 27.70390070921986
53952 27.76543758329631
53963 27.802491103202847
53989 27.876895628902766
53991 27.88933511825078
54009 27.95169946332737
54017 27.98925212718316
54025 28.026905829596412
54031 28.052064631956913
54031 28.052064631956913
54078 28.127812781278127
54080 28.14047726249437
54106 28.203971119133573
54117 28.24220515137822
54119 28.25497287522604
54124 28.28054298642534
54130 28.318985047575897
54194 28.43494085532302
54196 28.460837887067395
54198 28.486782133090244
54220 28.56489945155393
54226 28.577960676726107
54235 28.60411899313501
54260 28.656579550664834
54290 28.722426470588236
54331 28.80184331797235
54341 28.841716658975542
54341 28.855032317636194
54374 28.868360277136258
54382 28.908418131359852
54387 28.92179546506247
54391 28.935185185185187
54398 28.96200185356812
54400 29.00232018561485
54404 29.015784586815226
