dangling_strand count
1 767
5 658
7 201
10 24
11 208
13 71
14 14
16 15
17 64
18 2
19 19
20 10
22 9
23 29
24 3
25 4
26 2
28 7
29 14
30 5
31 2
32 1
33 1
34 6
35 1
36 2
37 2
38 4
39 2
40 3
41 3
42 2
43 2
44 1
46 1
47 2
52 1
55 1
62 1
79 1
82 1
primary_loop_size data
6.0 334
12.0 28
13.0 10
18.0 4
20.0 1
24.0 3
25.0 2
27.0 1
30.0 1
secondary_loop_size data
12.0 76
18.0 27
19.0 12
24.0 13
25.0 4
26.0 1
30.0 1
32.0 2
37.0 2
48.0 1
62.0 1
tertiary_loop_size data
12.0 2
18.0 31
24.0 23
25.0 2
30.0 12
31.0 3
32.0 1
36.0 3
37.0 1
38.0 1
42.0 3
43.0 2
48.0 1
55.0 1
quaternary_loop_size data
18.0 4
24.0 23
30.0 15
31.0 4
36.0 16
37.0 6
38.0 1
42.0 12
43.0 2
48.0 2
49.0 5
54.0 5
55.0 2
58.0 1
60.0 2
61.0 2
63.0 1
66.0 1
73.0 1
