dangling_strand data
1 1848
2 500
3 773
4 522
5 49
6 380
7 243
8 31
9 106
10 123
11 26
12 76
13 48
14 13
15 37
16 37
17 14
18 19
19 18
20 8
21 5
22 11
23 9
24 17
25 9
26 5
27 4
28 1
29 3
30 2
31 2
32 3
33 2
34 1
36 2
37 3
38 5
39 1
42 2
43 2
46 1
54 1
56 1
59 1
primary_loop_size data
4.0 26
5.0 29
6.0 39
7.0 12
8.0 8
9.0 4
11.0 3
12.0 5
13.0 2
14.0 1
15.0 1
16.0 1
secondary_loop_size data
3.0 69
4.0 48
5.0 34
6.0 18
7.0 20
8.0 17
9.0 9
10.0 4
11.0 6
12.0 3
13.0 2
14.0 3
15.0 3
16.0 2
20.0 1
22.0 1
25.0 1
tertiary_loop_size data
2.0 26
3.0 34
4.0 30
5.0 32
6.0 34
7.0 19
8.0 10
9.0 19
10.0 18
11.0 11
12.0 4
13.0 7
14.0 4
15.0 5
16.0 1
17.0 2
19.0 1
20.0 3
21.0 1
25.0 1
26.0 1
quaternary_loop_size data
1.0 1
2.0 18
3.0 17
4.0 26
5.0 21
6.0 23
7.0 16
8.0 21
9.0 14
10.0 9
11.0 16
12.0 7
13.0 5
14.0 5
15.0 5
16.0 5
17.0 4
18.0 6
19.0 8
21.0 2
22.0 2
24.0 4
25.0 1
44.0 1
