crosslink_id	type	effective_functionality	scanlan_classification
4	Tetra-S	0	ineffective
9	Tetra-S	2	bridging
14	Tetra-S	2	bridging
19	Tetra-S	2	bridging
24	Tetra-S	2	bridging
29	Tetra-S	0	ineffective
34	Tetra-S	2	bridging
39	Tetra-S	2	bridging
44	Tetra-S	2	bridging
49	Tetra-S	0	ineffective
54	Tetra-S	0	ineffective
59	Tetra-S	2	bridging
64	Tetra-S	2	bridging
69	Tetra-S	2	bridging
74	Tetra-S	3	effective
79	Tetra-S	2	bridging
84	Tetra-S	2	bridging
89	Tetra-S	3	effective
94	Tetra-S	0	ineffective
99	Tetra-S	3	effective
119	Tetra-S	0	ineffective
129	Tetra-S	0	ineffective
144	Tetra-S	3	effective
149	Tetra-S	2	bridging
154	Tetra-S	2	bridging
164	Tetra-S	0	ineffective
169	Tetra-S	2	bridging
174	Tetra-S	3	effective
179	Tetra-S	3	effective
189	Tetra-S	0	ineffective
194	Tetra-S	2	bridging
199	Tetra-S	2	bridging
204	Tetra-S	2	bridging
209	Tetra-S	2	bridging
214	Tetra-S	3	effective
219	Tetra-S	3	effective
224	Tetra-S	0	ineffective
229	Tetra-S	0	ineffective
234	Tetra-S	2	bridging
239	Tetra-S	0	ineffective
249	Tetra-S	0	ineffective
254	Tetra-S	2	bridging
259	Tetra-S	3	effective
264	Tetra-S	2	bridging
274	Tetra-S	2	bridging
284	Tetra-S	2	bridging
294	Tetra-S	0	ineffective
299	Tetra-S	2	bridging
304	Tetra-S	2	bridging
309	Tetra-S	2	bridging
314	Tetra-S	2	bridging
319	Tetra-S	0	ineffective
324	Tetra-S	2	bridging
329	Tetra-S	0	ineffective
334	Tetra-S	0	ineffective
339	Tetra-S	0	ineffective
344	Tetra-S	2	bridging
349	Tetra-S	0	ineffective
354	Tetra-S	3	effective
359	Tetra-S	3	effective
364	Tetra-S	3	effective
369	Tetra-S	0	ineffective
384	Tetra-S	0	ineffective
389	Tetra-S	3	effective
394	Tetra-S	2	bridging
399	Tetra-S	2	bridging
404	Tetra-S	0	ineffective
409	Tetra-S	3	effective
414	Tetra-S	4	effective
419	Tetra-S	0	ineffective
424	Tetra-S	2	bridging
434	Tetra-S	2	bridging
439	Tetra-S	2	bridging
444	Tetra-S	2	bridging
449	Tetra-S	3	effective
454	Tetra-S	2	bridging
459	Tetra-S	0	ineffective
464	Tetra-S	4	effective
469	Tetra-S	0	ineffective
474	Tetra-S	2	bridging
479	Tetra-S	2	bridging
489	Tetra-S	3	effective
494	Tetra-S	0	ineffective
499	Tetra-S	0	ineffective
504	Tetra-S	0	ineffective
514	Tetra-S	0	ineffective
519	Tetra-S	3	effective
524	Tetra-S	0	ineffective
529	Tetra-S	0	ineffective
534	Tetra-S	2	bridging
539	Tetra-S	0	ineffective
544	Tetra-S	0	ineffective
554	Tetra-S	0	ineffective
559	Tetra-S	3	effective
564	Tetra-S	3	effective
569	Tetra-S	2	bridging
574	Tetra-S	3	effective
579	Tetra-S	0	ineffective
584	Tetra-S	3	effective
589	Tetra-S	2	bridging
