dangling_strand count
2 175
3 1215
4 759
6 328
7 43
8 17
9 222
10 150
11 1
12 108
13 14
14 15
15 71
16 72
18 35
19 7
20 6
21 29
22 21
23 1
24 17
25 2
26 2
27 11
28 13
30 11
31 3
33 5
34 6
36 5
37 1
38 1
39 2
40 1
41 1
42 3
45 2
46 1
48 2
52 1
54 2
64 2
128 1
primary_loop_size data
4.0 27
5.0 44
6.0 9
7.0 15
8.0 12
9.0 5
10.0 3
11.0 6
13.0 1
17.0 1
19.0 1
20.0 1
secondary_loop_size data
3.0 44
4.0 37
5.0 21
6.0 21
7.0 12
8.0 6
9.0 10
10.0 13
11.0 3
12.0 8
13.0 8
14.0 5
15.0 3
16.0 1
17.0 2
18.0 2
20.0 3
21.0 1
22.0 1
24.0 3
26.0 1
tertiary_loop_size data
2.0 26
3.0 36
4.0 19
5.0 18
6.0 18
7.0 9
8.0 15
9.0 15
10.0 8
11.0 8
12.0 8
13.0 9
14.0 5
15.0 1
16.0 5
17.0 4
19.0 3
20.0 1
21.0 1
23.0 2
26.0 1
29.0 1
30.0 1
32.0 1
42.0 1
46.0 1
quaternary_loop_size data
2.0 18
3.0 11
4.0 16
5.0 15
6.0 7
7.0 13
8.0 11
9.0 10
10.0 11
11.0 7
12.0 8
13.0 5
14.0 12
15.0 3
16.0 6
17.0 6
18.0 5
19.0 2
20.0 3
21.0 3
23.0 2
26.0 1
28.0 1
30.0 1
32.0 1
37.0 1
48.0 1
