# frame percolation_dimension largest_cluster num_molecules
0 0 0 0
1 0 0 0
2 0 0 0
3 0 0 0
4 0 0 0
5 0 0 0
6 0 0 0
7 0 0 0
8 0 0 0
9 0 0 0
10 0 0 0
11 0 0 0
12 0 0 0
13 0 0 0
14 0 0 0
15 0 0 0
16 0 0 0
17 0 0 0
18 0 0 0
19 0 0 0
20 0 0 0
21 0 0 0
22 0 0 0
23 0 0 0
24 0 0 0
25 0 0 0
26 0 0 0
27 0 0 0
28 0 0 0
29 0 0 0
30 0 0 0
31 0 0 0
32 0 0 0
33 0 0 0
34 0 0 0
35 0 0 0
36 0 0 0
37 0 0 0
38 0 0 0
39 0 0 0
40 0 0 0
41 0 0 0
42 0 0 0
43 0 0 0
44 0 0 0
45 0 0 0
46 0 0 0
47 0 0 0
48 0 0 0
49 0 0 0
50 0 0 0
51 0 0 0
52 0 0 0
53 0 0 0
54 0 0 0
55 0 0 0
56 0 0 0
57 0 0 0
58 0 0 0
59 0 0 0
60 0 0 0
61 0 0 0
62 0 0 0
63 0 0 0
64 0 0 0
65 0 0 0
66 0 0 0
67 0 0 0
68 0 0 0
69 0 0 0
70 0 0 0
71 0 0 0
72 1 14984 9392
73 3 15208 9304
74 3 15424 9221
75 3 16536 9144
76 3 17020 9065
77 3 17690 8984
78 3 18046 8910
79 3 18394 8823
80 3 18636 8763
81 3 21720 8688
82 3 22168 8597
83 3 22390 8540
84 3 22692 8479
85 3 22846 8414
86 3 23188 8339
87 3 23656 8263
88 3 24026 8179
89 3 24766 8107
90 3 25082 8048
91 3 25188 7981
92 3 25726 7920
93 3 26172 7861
94 3 26418 7807
95 3 26696 7742
96 3 27026 7675
97 3 27204 7612
98 3 27376 7551
99 3 27648 7492
100 3 27880 7440
101 3 28220 7386
102 3 28762 7337
103 3 28880 7302
104 3 29294 7237
105 3 29756 7186
106 3 29880 7145
107 3 30082 7099
108 3 30220 7069
109 3 30398 7023
110 3 30554 6968
111 3 30860 6929
112 3 31044 6895
113 3 31456 6854
114 3 31546 6820
115 3 31660 6775
116 3 31716 6742
117 3 31904 6700
118 3 32070 6654
119 3 32156 6608
120 3 32430 6565
121 3 32780 6533
122 3 32924 6487
123 3 33050 6448
124 3 33298 6405
125 3 33588 6363
126 3 33918 6329
127 3 34020 6294
128 3 34234 6254
129 3 34474 6225
130 3 34972 6193
131 3 35152 6164
132 3 35274 6136
133 3 35438 6100
134 3 35506 6077
135 3 35688 6046
136 3 35748 6020
137 3 35806 5998
138 3 36028 5972
139 3 36132 5945
140 3 36176 5920
141 3 36244 5898
142 3 36654 5869
143 3 36888 5846
144 3 37008 5821
145 3 37066 5791
146 3 37580 5764
147 3 37708 5737
148 3 38182 5708
149 3 38222 5690
150 3 38276 5664
151 3 38464 5630
152 3 38650 5599
153 3 38818 5565
154 3 38902 5538
155 3 39076 5506
156 3 39180 5481
157 3 39244 5453
158 3 39452 5434
159 3 39504 5410
160 3 39702 5387
161 3 39744 5370
162 3 39826 5350
163 3 40014 5330
164 3 40094 5306
165 3 40170 5275
166 3 40214 5256
167 3 40262 5237
168 3 40384 5212
169 3 40414 5196
170 3 40508 5179
171 3 40548 5163
172 3 40732 5147
173 3 40814 5128
174 3 40898 5110
175 3 40976 5089
176 3 41084 5065
177 3 41190 5041
178 3 41260 5022
179 3 41446 4999
180 3 41536 4981
181 3 41570 4969
182 3 41602 4959
183 3 41624 4947
184 3 41658 4937
185 3 41696 4925
186 3 41732 4906
187 3 41770 4890
188 3 42052 4874
189 3 42124 4864
190 3 42350 4842
191 3 42370 4832
192 3 42432 4817
193 3 42448 4802
194 3 42724 4786
195 3 42812 4772
196 3 42874 4760
197 3 42912 4745
198 3 42952 4730
199 3 43004 4721
