largest average
14 4.36388049681101
18 4.405883549108656
18 4.431113231985821
21 4.457550404608422
22 4.480595574550217
26 4.504192363661562
26 4.533723931087397
48 4.562043795620438
52 4.58909912454109
52 4.615166145981255
52 4.641862458044705
52 4.660166332090622
52 4.686373467916367
52 4.708097928436912
52 4.730024741667879
52 4.7497259773474605
52 4.778006468685681
52 4.800590841949778
52 4.820528033224562
52 4.844600134158157
53 4.865633655213713
53 4.890527424573019
62 4.910478205031351
70 4.929844520288206
70 4.949741090466037
70 4.975124378109452
74 4.997693372289713
78 5.0212437234453455
78 5.044625533566162
78 5.071785268414482
78 5.097239648682559
78 5.122950819672131
78 5.1460691948380965
84 5.17104216388226
140 5.196258693740507
140 5.223820622036486
140 5.25082801518701
140 5.274261603375527
140 5.303957568339453
140 5.331802149126405
140 5.357731618859216
144 5.387037957898227
144 5.409454061251664
144 5.437055625261397
144 5.464021519838601
144 5.48847420417124
144 5.516421963846219
153 5.542764560416134
171 5.567928730512249
171 5.596693645600138
171 5.625270445694505
171 5.644811115935736
171 5.671407381554838
171 5.693763139453399
175 5.723846424797464
175 5.756287637265321
175 5.791677804508598
215 5.817075353499194
215 5.8463752473466455
215 5.871725383920506
228 5.902651652742462
228 5.935531001735002
228 5.963849894485732
228 5.989679321784003
228 6.010171058714748
228 6.03584362522054
228 6.068527681822426
228 6.091846298031865
228 6.120527306967985
228 6.1454098515647155
228 6.176945737907441
228 6.207028265851795
228 6.239800326389555
228 6.272314966708482
228 6.300891818534316
228 6.326034063260341
228 6.358833887693211
228 6.3869509678687235
259 6.414051707124531
263 6.4407451446690445
263 6.466374850775965
329 6.500650065006501
329 6.528726396143029
329 6.553079947575361
333 6.588282992094061
342 6.629270780214177
342 6.656426011264721
355 6.694819239880523
355 6.726689433923212
359 6.76942303686732
368 6.804145294671831
403 6.845708267509216
403 6.879034818499312
407 6.9075451647183845
407 6.946670941541092
411 6.9742489270386265
411 7.009597756928718
411 7.0453067418166055
429 7.092198581560283
429 7.129538225293408
429 7.163323782234957
539 7.206208425720621
543 7.2383073496659245
548 7.2755764495186925
548 7.30911953221635
548 7.357102433503113
548 7.388882573604638
548 7.422633321913898
548 7.458405048766495
548 7.497981312723497
548 7.538854094177685
548 7.572227399813607
561 7.624633431085044
561 7.667807007195942
561 7.709642984224884
604 7.746394946966989
617 7.790962483519118
617 7.829438689472417
617 7.8749697116549555
617 7.907542579075426
617 7.946210268948655
621 7.980356046654389
621 8.00689825080069
621 8.039579468150897
630 8.082566525739866
669 8.129064532266133
669 8.18021646111251
669 8.214330847971691
678 8.257113821138212
687 8.289758959316414
687 8.329062019477192
687 8.362279686092885
687 8.400103385887826
704 8.445945945945946
704 8.488964346349745
789 8.531303320645755
789 8.569545154911008
789 8.596746462108186
841 8.635578583765112
845 8.684034736138944
845 8.730691739422431
993 8.773113780537184
997 8.823130175105199
1001 8.867667121418826
1027 8.928571428571429
1049 8.980381320806853
1049 9.021512838306732
1049 9.063022866703848
1066 9.103641456582633
1066 9.151062931155849
1075 9.202888291094435
1075 9.252669039145907
1097 9.292351679771265
1102 9.339080459770114
1115 9.386281588447654
1129 9.432593237556233
1129 9.477981918926801
1246 9.540584177308087
1251 9.591264571344253
1251 9.63248369887374
1251 9.668302840993604
1474 9.720352923583071
1479 9.76709241172051
1479 9.818731117824774
1479 9.852963468243141
1479 9.89194947496576
1479 9.940357852882704
2429 10.007698229407236
2456 10.061919504643964
2534 10.105721393034825
2570 10.172143974960877
2570 10.218519100770319
2570 10.265319014529375
2623 10.306009196131283
2786 10.36682615629984
2907 10.435061807673783
2907 10.470360824742269
2907 10.51950153746561
2925 10.579427083333334
2938 10.620915032679738
2938 10.662729658792651
2951 10.713697049612659
3088 10.775862068965518
3088 10.82791937364651
3101 10.871383174443887
3136 10.918864438098439
3136 10.976021614319487
3140 11.02629346904156
3249 11.101622544833475
3305 11.164548265200962
3318 11.239840913020924
3322 11.292564280750522
3459 11.347765363128492
3468 11.397510082412765
3476 11.441647597254004
3508 11.492220650636492
4815 11.553501599715606
4823 11.632068718682891
4827 11.67804527488322
4827 11.741329479768787
4898 11.781765452238535
5041 11.826783114992722
5050 11.878654970760234
5058 11.928794274178749
5062 11.98598561681726
5062 12.061606977175728
5967 12.135922330097088
5971 12.224938875305623
7037 12.275731822474032
7116 12.322274881516588
7229 12.392755004766444
7281 12.46165644171779
10885 12.524084778420038
11217 12.577399380804954
11375 12.645914396887159
11435 12.697792537605
11439 12.775157232704403
11680 12.845849802371541
11692 12.914762567057421
12252 12.976642044320224
12330 13.033888109083618
12378 13.089005235602095
12420 13.136620856911884
13474 13.208697419223736
13612 13.284283670549765
13625 13.363486842105264
13651 13.410356921807303
13676 13.479883865615927
13820 13.541666666666666
13973 13.595482116711985
15310 13.66694701429773
15475 13.72176483006122
15699 13.785790031813361
15884 13.862230752825763
16009 13.942513942513942
16178 14.017683847315075
16405 14.09366869037294
16455 14.142732811140123
16528 14.229422066549912
16669 14.314027747192249
16695 14.38689685701638
17111 14.463729417000446
17595 14.560931899641577
17797 14.666064981949459
18146 14.759309718437784
18228 14.826642335766424
18336 14.887769125057261
18548 14.990774907749078
18716 15.091711167866265
18837 15.169194865810969
18922 15.236755743084856
18966 15.297717109908215
19109 15.373699148533586
19209 15.46882436934793
19257 15.55023923444976
19317 15.617491590581452
20578 15.67398119122257
21232 15.769044153323629
21375 15.869140625
21491 15.935278254474136
21491 15.998031011567807
21576 16.097077761267954
21648 16.16915422885572
21734 16.262196647485613
22118 16.36455186304129
22178 16.44736842105263
23794 16.51003302006604
24954 16.590096988259315
25049 16.662394257882593
25458 16.73963430337368
25519 16.821946169772257
25597 16.90507152145644
25669 16.9845832244578
25708 17.069327731092436
25831 17.13683100448194
26000 17.209425469949696
26215 17.25511016724184
27010 17.3287123433751
27408 17.42627345844504
27568 17.548596112311014
27986 17.639077340569877
28051 17.715998909784684
28094 17.778993435448577
28151 17.857142857142858
28220 17.95084230875449
28983 18.055555555555557
29005 18.14122243929668
29342 18.212384421406558
29390 18.26355717898286
29481 18.361581920903955
29643 18.46590909090909
30114 18.56612396458155
30219 18.60864586315488
30791 18.71042026482441
31150 18.829663962920048
31258 18.88985759953502
31553 18.944914019236375
31953 19.06158357771261
31990 19.134530468060053
32054 19.23076923076923
32078 19.293558919560702
32221 19.4377990430622
32251 19.5078031212485
32364 19.60193003618818
32466 19.655276685817963
32748 19.726858877086496
33207 19.804996953077392
33396 19.91421568627451
33477 20.01231527093596
33789 20.080321285140563
34561 20.16754576481539
34710 20.268163392578735
34774 20.36340852130326
34817 20.453115166771553
35079 20.5112022720101
35523 20.628371945414155
35563 20.7138304652645
35685 20.833333333333332
35810 20.92050209205021
35930 21.021992238033636
35952 21.11075024358558
36056 21.151968760169215
36096 21.221025138752857
36105 21.24877410918601
36469 21.33946158896914
36740 21.466314398943197
37088 21.57318287421175
37166 21.69559412550067
37252 21.804763502180478
37609 21.92982456140351
37634 22.05632846963013
37764 22.131426625808647
37890 22.23742730071844
37986 22.35213204951857
38056 22.42152466367713
38164 22.483569699066067
38282 22.569444444444443
38380 22.67969295184927
38475 22.79102384291725
38665 22.92768959435626
38739 23.008849557522122
38895 23.10700319943121
39057 23.1811697574893
39134 23.280802292263612
39205 23.364485981308412
39267 23.457235654998197
39334 23.55926060166727
39375 23.662176920276664
39434 23.792093704245975
39503 23.914643119941132
39874 24.02069475240207
39931 24.12769116555308
40070 24.24468481909735
40114 24.32634730538922
40165 24.4085617724371
40204 24.48210922787194
40454 24.583963691376702
40563 24.696048632218844
40576 24.761904761904763
40681 24.8565965583174
40789 24.9424405218726
40967 25.038520801232664
41176 25.154798761609907
41245 25.24271844660194
41340 25.341130604288498
42027 25.510204081632654
42070 25.630914826498422
42183 25.762980578676178
42200 25.82439411998411
42431 25.96883739512585
42529 26.073004412354592
42602 26.188557614826752
42636 26.241421073879692
42827 26.33711507293355
42978 26.476578411405296
43143 26.639344262295083
43235 26.782035434693036
43243 26.82624845233182
43259 26.89284236657013
43292 26.970954356846473
43397 27.105921601334444
43432 27.17391304347826
43551 27.230833682446587
43619 27.3224043715847
43982 27.39148756847872
43991 27.495769881556683
44065 27.659574468085108
44143 27.765912003417345
44156 27.80153977758768
44257 27.861123017573938
44288 27.920962199312715
44479 28.041415012942192
44545 28.175119202427396
44562 28.285465622280245
44770 28.446389496717725
44847 28.54633289415898
44914 28.67225408028231
45061 28.77379371403276
45112 28.92745883400089
45250 29.017857142857142
45427 29.1349170775437
45570 29.29247408742677
45688 29.425079221367135
45739 29.518619436875568
45795 29.59927140255009
46020 29.680365296803654
46277 29.802842732691428
46386 29.940119760479043
46456 30.023094688221708
46750 30.162412993039442
46793 30.288909599254428
46852 30.388031790556333
46912 30.50211168465509
46995 30.617051342439943
47021 30.703826169107227
47041 30.791094268119373
47097 30.893536121673005
47202 30.99666189794945
47324 31.055900621118013
47365 31.17505995203837
47521 31.310211946050096
47648 31.385803959439883
47652 31.40096618357488
47676 31.553398058252426
48023 31.73828125
48113 31.878371750858264
48204 32.03548546081814
48221 32.08292201382034
48287 32.16229589312222
48331 32.242063492063494
48451 32.467532467532465
48485 32.532532532532535
48524 32.630522088353416
48553 32.72910372608258
48570 32.77861825516894
48604 32.92806484295846
48616 33.02845528455285
48784 33.19713993871297
48984 33.38469440164356
49019 33.470648815653966
49032 33.539731682146545
49384 33.73118837571354
49520 33.92484342379958
49690 34.04924044002095
49867 34.26462836056932
49911 34.35517970401691
49937 34.44621091679915
50007 34.50106157112526
50019 34.59286854709952
50027 34.629728289824186
50108 34.75935828877005
50168 34.85254691689008
50217 34.983853606027985
50299 35.19220357336221
50381 35.364526659412405
50402 35.44165757906216
50428 35.57744937055282
50475 35.77325261419923
50488 35.83241455347299
50546 35.97122302158273
