crosslink_id	type	effective_functionality	scanlan_classification
4	Tetra-S	4	effective
9	Tetra-S	3	effective
14	Tetra-S	2	bridging
19	Tetra-S	3	effective
24	Tetra-S	2	bridging
29	Tetra-S	2	bridging
34	Tetra-S	0	ineffective
39	Tetra-S	3	effective
44	Tetra-S	0	ineffective
49	Tetra-S	2	bridging
54	Tetra-S	0	ineffective
59	Tetra-S	2	bridging
64	Tetra-S	2	bridging
69	Tetra-S	2	bridging
74	Tetra-S	0	ineffective
79	Tetra-S	2	bridging
84	Tetra-S	2	bridging
89	Tetra-S	2	bridging
99	Tetra-S	2	bridging
104	Tetra-S	2	bridging
109	Tetra-S	2	bridging
114	Tetra-S	0	ineffective
119	Tetra-S	0	ineffective
124	Tetra-S	2	bridging
129	Tetra-S	3	effective
134	Tetra-S	2	bridging
139	Tetra-S	2	bridging
144	Tetra-S	0	ineffective
149	Tetra-S	0	ineffective
154	Tetra-S	0	ineffective
159	Tetra-S	2	bridging
164	Tetra-S	3	effective
169	Tetra-S	0	ineffective
174	Tetra-S	0	ineffective
179	Tetra-S	2	bridging
184	Tetra-S	3	effective
189	Tetra-S	2	bridging
194	Tetra-S	3	effective
199	Tetra-S	0	ineffective
204	Tetra-S	0	ineffective
209	Tetra-S	2	bridging
214	Tetra-S	2	bridging
219	Tetra-S	3	effective
224	Tetra-S	3	effective
229	Tetra-S	3	effective
234	Tetra-S	0	ineffective
239	Tetra-S	2	bridging
249	Tetra-S	0	ineffective
254	Tetra-S	3	effective
259	Tetra-S	0	ineffective
264	Tetra-S	0	ineffective
269	Tetra-S	2	bridging
274	Tetra-S	0	ineffective
279	Tetra-S	2	bridging
284	Tetra-S	2	bridging
289	Tetra-S	0	ineffective
294	Tetra-S	3	effective
299	Tetra-S	2	bridging
304	Tetra-S	2	bridging
309	Tetra-S	0	ineffective
319	Tetra-S	2	bridging
324	Tetra-S	3	effective
329	Tetra-S	2	bridging
334	Tetra-S	2	bridging
339	Tetra-S	2	bridging
344	Tetra-S	0	ineffective
349	Tetra-S	2	bridging
354	Tetra-S	3	effective
359	Tetra-S	0	ineffective
364	Tetra-S	0	ineffective
369	Tetra-S	4	effective
374	Tetra-S	0	ineffective
379	Tetra-S	3	effective
384	Tetra-S	3	effective
389	Tetra-S	3	effective
394	Tetra-S	0	ineffective
399	Tetra-S	0	ineffective
404	Tetra-S	2	bridging
414	Tetra-S	2	bridging
419	Tetra-S	0	ineffective
424	Tetra-S	3	effective
429	Tetra-S	3	effective
434	Tetra-S	0	ineffective
439	Tetra-S	3	effective
444	Tetra-S	0	ineffective
449	Tetra-S	0	ineffective
454	Tetra-S	3	effective
459	Tetra-S	2	bridging
469	Tetra-S	2	bridging
474	Tetra-S	2	bridging
479	Tetra-S	2	bridging
484	Tetra-S	2	bridging
489	Tetra-S	2	bridging
494	Tetra-S	3	effective
499	Tetra-S	2	bridging
504	Tetra-S	0	ineffective
509	Tetra-S	0	ineffective
514	Tetra-S	4	effective
519	Tetra-S	2	bridging
524	Tetra-S	0	ineffective
529	Tetra-S	3	effective
534	Tetra-S	3	effective
544	Tetra-S	2	bridging
554	Tetra-S	2	bridging
559	Tetra-S	2	bridging
564	Tetra-S	0	ineffective
569	Tetra-S	0	ineffective
574	Tetra-S	0	ineffective
579	Tetra-S	2	bridging
584	Tetra-S	2	bridging
594	Tetra-S	0	ineffective
599	Tetra-S	0	ineffective
604	Tetra-S	3	effective
609	Tetra-S	0	ineffective
614	Tetra-S	2	bridging
619	Tetra-S	0	ineffective
624	Tetra-S	3	effective
629	Tetra-S	2	bridging
634	Tetra-S	3	effective
639	Tetra-S	0	ineffective
644	Tetra-S	0	ineffective
649	Tetra-S	0	ineffective
654	Tetra-S	0	ineffective
659	Tetra-S	2	bridging
664	Tetra-S	2	bridging
669	Tetra-S	2	bridging
674	Tetra-S	0	ineffective
679	Tetra-S	3	effective
684	Tetra-S	2	bridging
689	Tetra-S	2	bridging
699	Tetra-S	3	effective
704	Tetra-S	2	bridging
709	Tetra-S	2	bridging
714	Tetra-S	3	effective
719	Tetra-S	0	ineffective
724	Tetra-S	3	effective
729	Tetra-S	0	ineffective
734	Tetra-S	0	ineffective
739	Tetra-S	0	ineffective
744	Tetra-S	2	bridging
749	Tetra-S	0	ineffective
754	Tetra-S	2	bridging
759	Tetra-S	0	ineffective
764	Tetra-S	0	ineffective
769	Tetra-S	0	ineffective
774	Tetra-S	2	bridging
779	Tetra-S	0	ineffective
784	Tetra-S	4	effective
794	Tetra-S	0	ineffective
799	Tetra-S	0	ineffective
809	Tetra-S	0	ineffective
814	Tetra-S	3	effective
819	Tetra-S	0	ineffective
824	Tetra-S	2	bridging
829	Tetra-S	3	effective
834	Tetra-S	0	ineffective
844	Tetra-S	0	ineffective
849	Tetra-S	2	bridging
854	Tetra-S	0	ineffective
859	Tetra-S	2	bridging
864	Tetra-S	2	bridging
879	Tetra-S	4	effective
884	Tetra-S	0	ineffective
889	Tetra-S	3	effective
894	Tetra-S	2	bridging
899	Tetra-S	0	ineffective
904	Tetra-S	4	effective
909	Tetra-S	0	ineffective
914	Tetra-S	2	bridging
919	Tetra-S	3	effective
924	Tetra-S	2	bridging
929	Tetra-S	2	bridging
934	Tetra-S	2	bridging
939	Tetra-S	3	effective
944	Tetra-S	4	effective
949	Tetra-S	0	ineffective
959	Tetra-S	2	bridging
964	Tetra-S	3	effective
974	Tetra-S	0	ineffective
979	Tetra-S	3	effective
984	Tetra-S	3	effective
989	Tetra-S	2	bridging
994	Tetra-S	2	bridging
999	Tetra-S	0	ineffective
1004	Tetra-S	4	effective
1009	Tetra-S	0	ineffective
1014	Tetra-S	2	bridging
1024	Tetra-S	2	bridging
1029	Tetra-S	3	effective
1034	Tetra-S	0	ineffective
1039	Tetra-S	0	ineffective
1044	Tetra-S	2	bridging
1049	Tetra-S	0	ineffective
1054	Tetra-S	0	ineffective
1059	Tetra-S	2	bridging
1064	Tetra-S	2	bridging
1069	Tetra-S	2	bridging
1074	Tetra-S	2	bridging
1079	Tetra-S	0	ineffective
1084	Tetra-S	3	effective
1089	Tetra-S	3	effective
1094	Tetra-S	3	effective
1099	Tetra-S	2	bridging
1104	Tetra-S	2	bridging
1109	Tetra-S	0	ineffective
1119	Tetra-S	0	ineffective
1124	Tetra-S	0	ineffective
1129	Tetra-S	2	bridging
1134	Tetra-S	3	effective
1139	Tetra-S	2	bridging
1144	Tetra-S	2	bridging
1149	Tetra-S	3	effective
1154	Tetra-S	0	ineffective
1159	Tetra-S	0	ineffective
1164	Tetra-S	3	effective
1169	Tetra-S	0	ineffective
1174	Tetra-S	2	bridging
1179	Tetra-S	2	bridging
1184	Tetra-S	2	bridging
1189	Tetra-S	3	effective
1199	Tetra-S	0	ineffective
1204	Tetra-S	0	ineffective
1214	Tetra-S	2	bridging
1219	Tetra-S	2	bridging
1224	Tetra-S	0	ineffective
1229	Tetra-S	4	effective
1239	Tetra-S	0	ineffective
1249	Tetra-S	4	effective
1259	Tetra-S	4	effective
1264	Tetra-S	3	effective
1269	Tetra-S	0	ineffective
1274	Tetra-S	2	bridging
1279	Tetra-S	2	bridging
1284	Tetra-S	0	ineffective
1289	Tetra-S	0	ineffective
1294	Tetra-S	0	ineffective
1299	Tetra-S	2	bridging
1304	Tetra-S	3	effective
1309	Tetra-S	3	effective
1319	Tetra-S	0	ineffective
1324	Tetra-S	0	ineffective
1329	Tetra-S	3	effective
1334	Tetra-S	0	ineffective
1339	Tetra-S	0	ineffective
1344	Tetra-S	2	bridging
1349	Tetra-S	2	bridging
1354	Tetra-S	2	bridging
1359	Tetra-S	0	ineffective
1369	Tetra-S	3	effective
1374	Tetra-S	2	bridging
1379	Tetra-S	3	effective
1384	Tetra-S	0	ineffective
1389	Tetra-S	0	ineffective
1394	Tetra-S	0	ineffective
1399	Tetra-S	4	effective
1404	Tetra-S	2	bridging
1409	Tetra-S	0	ineffective
1414	Tetra-S	3	effective
1419	Tetra-S	0	ineffective
1424	Tetra-S	3	effective
1429	Tetra-S	2	bridging
1434	Tetra-S	0	ineffective
1439	Tetra-S	0	ineffective
1444	Tetra-S	0	ineffective
1449	Tetra-S	4	effective
1454	Tetra-S	2	bridging
1464	Tetra-S	3	effective
1469	Tetra-S	0	ineffective
1474	Tetra-S	2	bridging
1484	Tetra-S	0	ineffective
1499	Tetra-S	0	ineffective
1504	Tetra-S	3	effective
1509	Tetra-S	2	bridging
1514	Tetra-S	2	bridging
1524	Tetra-S	2	bridging
1529	Tetra-S	2	bridging
1534	Tetra-S	3	effective
1539	Tetra-S	0	ineffective
1544	Tetra-S	3	effective
1549	Tetra-S	0	ineffective
1554	Tetra-S	0	ineffective
1559	Tetra-S	2	bridging
1564	Tetra-S	3	effective
1569	Tetra-S	2	bridging
1579	Tetra-S	3	effective
1584	Tetra-S	2	bridging
1589	Tetra-S	2	bridging
1594	Tetra-S	2	bridging
1599	Tetra-S	3	effective
1604	Tetra-S	2	bridging
1609	Tetra-S	0	ineffective
1614	Tetra-S	0	ineffective
1619	Tetra-S	2	bridging
1624	Tetra-S	4	effective
1634	Tetra-S	0	ineffective
1639	Tetra-S	0	ineffective
1644	Tetra-S	2	bridging
1649	Tetra-S	0	ineffective
1654	Tetra-S	2	bridging
1659	Tetra-S	3	effective
1664	Tetra-S	0	ineffective
1669	Tetra-S	2	bridging
1674	Tetra-S	3	effective
1679	Tetra-S	0	ineffective
1684	Tetra-S	0	ineffective
1689	Tetra-S	3	effective
1694	Tetra-S	0	ineffective
1699	Tetra-S	0	ineffective
1704	Tetra-S	3	effective
1709	Tetra-S	3	effective
1714	Tetra-S	3	effective
1719	Tetra-S	2	bridging
1724	Tetra-S	3	effective
1729	Tetra-S	2	bridging
1734	Tetra-S	2	bridging
1744	Tetra-S	0	ineffective
1749	Tetra-S	2	bridging
1754	Tetra-S	2	bridging
1759	Tetra-S	2	bridging
1769	Tetra-S	2	bridging
1774	Tetra-S	3	effective
1779	Tetra-S	2	bridging
1784	Tetra-S	3	effective
1789	Tetra-S	0	ineffective
1794	Tetra-S	2	bridging
1804	Tetra-S	0	ineffective
1809	Tetra-S	2	bridging
1814	Tetra-S	0	ineffective
1819	Tetra-S	0	ineffective
1829	Tetra-S	0	ineffective
1834	Tetra-S	0	ineffective
1839	Tetra-S	2	bridging
1844	Tetra-S	4	effective
1854	Tetra-S	4	effective
1864	Tetra-S	3	effective
1869	Tetra-S	0	ineffective
1874	Tetra-S	3	effective
1879	Tetra-S	2	bridging
1884	Tetra-S	3	effective
1889	Tetra-S	3	effective
1894	Tetra-S	2	bridging
1899	Tetra-S	0	ineffective
1904	Tetra-S	2	bridging
1909	Tetra-S	0	ineffective
1919	Tetra-S	2	bridging
1924	Tetra-S	3	effective
1934	Tetra-S	3	effective
1939	Tetra-S	0	ineffective
1944	Tetra-S	0	ineffective
1949	Tetra-S	3	effective
1954	Tetra-S	3	effective
1959	Tetra-S	3	effective
1964	Tetra-S	2	bridging
1969	Tetra-S	0	ineffective
1974	Tetra-S	3	effective
1979	Tetra-S	0	ineffective
1984	Tetra-S	0	ineffective
1989	Tetra-S	0	ineffective
1994	Tetra-S	2	bridging
2004	Tetra-S	0	ineffective
2009	Tetra-S	0	ineffective
2014	Tetra-S	0	ineffective
2019	Tetra-S	4	effective
2024	Tetra-S	4	effective
2029	Tetra-S	0	ineffective
2034	Tetra-S	0	ineffective
2039	Tetra-S	2	bridging
2044	Tetra-S	2	bridging
2049	Tetra-S	3	effective
2054	Tetra-S	3	effective
2059	Tetra-S	2	bridging
2064	Tetra-S	3	effective
2079	Tetra-S	4	effective
