# frame percolation_dimension largest_cluster num_molecules
0 0 0 0
1 0 0 0
2 0 0 0
3 0 0 0
4 0 0 0
5 0 0 0
6 0 0 0
7 0 0 0
8 0 0 0
9 0 0 0
10 0 0 0
11 0 0 0
12 0 0 0
13 0 0 0
14 0 0 0
15 0 0 0
16 0 0 0
17 0 0 0
18 0 0 0
19 0 0 0
20 0 0 0
21 0 0 0
22 0 0 0
23 0 0 0
24 0 0 0
25 0 0 0
26 0 0 0
27 0 0 0
28 0 0 0
29 0 0 0
30 0 0 0
31 0 0 0
32 0 0 0
33 0 0 0
34 0 0 0
35 0 0 0
36 0 0 0
37 0 0 0
38 0 0 0
39 0 0 0
40 0 0 0
41 0 0 0
42 0 0 0
43 0 0 0
44 0 0 0
45 0 0 0
46 0 0 0
47 0 0 0
48 0 0 0
49 0 0 0
50 0 0 0
51 0 0 0
52 0 0 0
53 0 0 0
54 0 0 0
55 0 0 0
56 0 0 0
57 0 0 0
58 0 0 0
59 0 0 0
60 0 0 0
61 0 0 0
62 0 0 0
63 0 0 0
64 0 0 0
65 1 21136 7394
66 2 21432 7315
67 2 22103 7230
68 2 23047 7164
69 2 23467 7076
70 2 24001 6990
71 3 24815 6919
72 3 25197 6843
73 3 26173 6767
74 3 26417 6704
75 3 26797 6638
76 3 27240 6581
77 3 27576 6499
78 3 29541 6417
79 3 29911 6353
80 3 30055 6287
81 3 30540 6225
82 3 30608 6174
83 3 31012 6110
84 3 31546 6037
85 3 31837 5978
86 3 32323 5891
87 3 32879 5824
88 3 33369 5760
89 3 33684 5704
90 3 34253 5632
91 3 34589 5563
92 3 35109 5505
93 3 35314 5466
94 3 35596 5412
95 3 35874 5350
96 3 36134 5299
97 3 36429 5243
98 3 36682 5184
99 3 36857 5147
100 3 37127 5098
101 3 37500 5050
102 3 37742 5010
103 3 37879 4968
104 3 38141 4931
105 3 38353 4896
106 3 38486 4856
107 3 38784 4811
108 3 39018 4765
109 3 39295 4724
110 3 39495 4694
111 3 39890 4651
112 3 40289 4620
113 3 40578 4579
114 3 41088 4540
115 3 41220 4508
116 3 41481 4480
117 3 41660 4440
118 3 41866 4406
119 3 42086 4377
120 3 42153 4353
121 3 42317 4323
122 3 42569 4294
123 3 42636 4272
124 3 42796 4247
125 3 42966 4224
126 3 43072 4201
127 3 43149 4175
128 3 43481 4143
129 3 43822 4112
130 3 43917 4088
131 3 44101 4057
132 3 44252 4028
133 3 44312 4009
134 3 44405 3986
135 3 44513 3962
136 3 44709 3936
137 3 44823 3909
138 3 45155 3880
139 3 45273 3854
140 3 45438 3828
141 3 45532 3809
142 3 45573 3788
143 3 45667 3770
144 3 45730 3750
145 3 45796 3736
146 3 45822 3724
147 3 45917 3704
148 3 45988 3684
149 3 46074 3665
150 3 46124 3645
151 3 46271 3627
152 3 46336 3613
153 3 46470 3594
154 3 46551 3577
155 3 46646 3563
156 3 46870 3547
157 3 46925 3534
158 3 46995 3519
159 3 47046 3506
160 3 47128 3486
161 3 47235 3465
162 3 47273 3453
163 3 47383 3439
164 3 47416 3425
165 3 47478 3411
166 3 47679 3393
167 3 47739 3377
168 3 47970 3352
169 3 48045 3333
170 3 48294 3312
171 3 48436 3295
172 3 48552 3278
173 3 48637 3262
174 3 48737 3249
175 3 48810 3231
176 3 48933 3215
177 3 48968 3206
178 3 49057 3184
179 3 49127 3167
180 3 49190 3155
181 3 49288 3141
182 3 49306 3133
183 3 49334 3124
184 3 49396 3103
185 3 49478 3088
186 3 49540 3074
187 3 49696 3063
188 3 49767 3051
189 3 49858 3035
190 3 49908 3021
191 3 50010 2999
192 3 50100 2983
193 3 50168 2973
194 3 50224 2963
195 3 50293 2953
196 3 50361 2944
197 3 50421 2931
198 3 50457 2922
