crosslink_id	type	effective_functionality	scanlan_classification
4	Tetra-S	0	ineffective
9	Tetra-S	4	effective
14	Tetra-S	2	bridging
19	Tetra-S	2	bridging
29	Tetra-S	3	effective
34	Tetra-S	3	effective
39	Tetra-S	3	effective
44	Tetra-S	4	effective
49	Tetra-S	2	bridging
54	Tetra-S	3	effective
59	Tetra-S	2	bridging
64	Tetra-S	0	ineffective
69	Tetra-S	3	effective
74	Tetra-S	0	ineffective
79	Tetra-S	4	effective
84	Tetra-S	2	bridging
89	Tetra-S	0	ineffective
94	Tetra-S	2	bridging
99	Tetra-S	3	effective
104	Tetra-S	3	effective
109	Tetra-S	3	effective
114	Tetra-S	4	effective
119	Tetra-S	3	effective
124	Tetra-S	4	effective
129	Tetra-S	0	ineffective
134	Tetra-S	2	bridging
139	Tetra-S	2	bridging
144	Tetra-S	4	effective
149	Tetra-S	2	bridging
154	Tetra-S	3	effective
159	Tetra-S	0	ineffective
164	Tetra-S	4	effective
169	Tetra-S	0	ineffective
174	Tetra-S	3	effective
179	Tetra-S	2	bridging
184	Tetra-S	0	ineffective
189	Tetra-S	2	bridging
194	Tetra-S	2	bridging
199	Tetra-S	2	bridging
204	Tetra-S	0	ineffective
209	Tetra-S	3	effective
214	Tetra-S	0	ineffective
219	Tetra-S	2	bridging
224	Tetra-S	3	effective
229	Tetra-S	3	effective
234	Tetra-S	0	ineffective
239	Tetra-S	3	effective
244	Tetra-S	2	bridging
249	Tetra-S	0	ineffective
254	Tetra-S	2	bridging
259	Tetra-S	4	effective
264	Tetra-S	2	bridging
269	Tetra-S	2	bridging
274	Tetra-S	3	effective
279	Tetra-S	2	bridging
284	Tetra-S	2	bridging
289	Tetra-S	0	ineffective
294	Tetra-S	3	effective
299	Tetra-S	4	effective
304	Tetra-S	4	effective
309	Tetra-S	2	bridging
314	Tetra-S	0	ineffective
319	Tetra-S	2	bridging
324	Tetra-S	3	effective
329	Tetra-S	2	bridging
339	Tetra-S	4	effective
344	Tetra-S	2	bridging
354	Tetra-S	4	effective
359	Tetra-S	2	bridging
364	Tetra-S	2	bridging
369	Tetra-S	3	effective
374	Tetra-S	4	effective
379	Tetra-S	3	effective
384	Tetra-S	3	effective
394	Tetra-S	0	ineffective
399	Tetra-S	0	ineffective
404	Tetra-S	2	bridging
414	Tetra-S	2	bridging
419	Tetra-S	2	bridging
424	Tetra-S	2	bridging
429	Tetra-S	2	bridging
434	Tetra-S	3	effective
439	Tetra-S	2	bridging
444	Tetra-S	4	effective
449	Tetra-S	4	effective
454	Tetra-S	0	ineffective
459	Tetra-S	2	bridging
464	Tetra-S	2	bridging
469	Tetra-S	4	effective
474	Tetra-S	2	bridging
479	Tetra-S	2	bridging
484	Tetra-S	3	effective
494	Tetra-S	3	effective
499	Tetra-S	3	effective
504	Tetra-S	4	effective
509	Tetra-S	4	effective
514	Tetra-S	2	bridging
519	Tetra-S	3	effective
524	Tetra-S	3	effective
529	Tetra-S	4	effective
534	Tetra-S	3	effective
539	Tetra-S	2	bridging
549	Tetra-S	2	bridging
554	Tetra-S	4	effective
559	Tetra-S	0	ineffective
564	Tetra-S	0	ineffective
569	Tetra-S	2	bridging
574	Tetra-S	4	effective
579	Tetra-S	0	ineffective
584	Tetra-S	3	effective
589	Tetra-S	2	bridging
594	Tetra-S	0	ineffective
599	Tetra-S	0	ineffective
604	Tetra-S	2	bridging
609	Tetra-S	2	bridging
614	Tetra-S	3	effective
619	Tetra-S	2	bridging
624	Tetra-S	2	bridging
629	Tetra-S	4	effective
634	Tetra-S	3	effective
639	Tetra-S	0	ineffective
644	Tetra-S	2	bridging
649	Tetra-S	4	effective
654	Tetra-S	2	bridging
659	Tetra-S	2	bridging
664	Tetra-S	3	effective
669	Tetra-S	4	effective
674	Tetra-S	3	effective
679	Tetra-S	4	effective
689	Tetra-S	0	ineffective
694	Tetra-S	2	bridging
699	Tetra-S	2	bridging
704	Tetra-S	0	ineffective
709	Tetra-S	4	effective
714	Tetra-S	4	effective
719	Tetra-S	2	bridging
724	Tetra-S	2	bridging
729	Tetra-S	3	effective
734	Tetra-S	4	effective
739	Tetra-S	3	effective
