# frame percolation_dimension largest_cluster num_molecules
0 0 0 0
1 0 0 0
2 0 0 0
3 0 0 0
4 0 0 0
5 0 0 0
6 0 0 0
7 0 0 0
8 0 0 0
9 0 0 0
10 0 0 0
11 0 0 0
12 0 0 0
13 0 0 0
14 0 0 0
15 0 0 0
16 0 0 0
17 0 0 0
18 0 0 0
19 0 0 0
20 0 0 0
21 0 0 0
22 0 0 0
23 0 0 0
24 0 0 0
25 0 0 0
26 0 0 0
27 0 0 0
28 0 0 0
29 0 0 0
30 0 0 0
31 0 0 0
32 0 0 0
33 0 0 0
34 0 0 0
35 0 0 0
36 0 0 0
37 0 0 0
38 0 0 0
39 0 0 0
40 0 0 0
41 0 0 0
42 0 0 0
43 0 0 0
44 0 0 0
45 0 0 0
46 0 0 0
47 0 0 0
48 0 0 0
49 0 0 0
50 0 0 0
51 0 0 0
52 0 0 0
53 0 0 0
54 0 0 0
55 0 0 0
56 0 0 0
57 0 0 0
58 0 0 0
59 0 0 0
60 0 0 0
61 2 16424 7594
62 2 18943 7503
63 2 20202 7409
64 2 21366 7311
65 2 21994 7226
66 2 22329 7147
67 3 22823 7051
68 3 24165 6968
69 3 25531 6890
70 3 25792 6821
71 3 26001 6758
72 3 26520 6680
73 3 26851 6594
74 3 28342 6503
75 3 28572 6442
76 3 28953 6385
77 3 29274 6300
78 3 31098 6228
79 3 31906 6148
80 3 32324 6083
81 3 32761 6022
82 3 32994 5960
83 3 33326 5908
84 3 33722 5842
85 3 33981 5786
86 3 34231 5725
87 3 34469 5664
88 3 34761 5604
89 3 35143 5546
90 3 35621 5491
91 3 35978 5427
92 3 36249 5375
93 3 36465 5326
94 3 36655 5275
95 3 36898 5227
96 3 37035 5186
97 3 37426 5142
98 3 37817 5093
99 3 38072 5034
100 3 38367 4983
101 3 38636 4930
102 3 38708 4909
103 3 39107 4869
104 3 39398 4827
105 3 39605 4787
106 3 39898 4753
107 3 40483 4704
108 3 40555 4675
109 3 40820 4639
110 3 40941 4608
111 3 41271 4571
112 3 41380 4540
113 3 41606 4503
114 3 41840 4464
115 3 42032 4424
116 3 42170 4397
117 3 42777 4370
118 3 42914 4342
119 3 43131 4304
120 3 43350 4265
121 3 43528 4236
122 3 43594 4203
123 3 43802 4173
124 3 44014 4143
125 3 44116 4115
126 3 44428 4077
127 3 44830 4030
128 3 45000 3982
129 3 45351 3951
130 3 45423 3927
131 3 45657 3886
132 3 45778 3860
133 3 45900 3840
134 3 46071 3806
135 3 46208 3782
136 3 46292 3763
137 3 46363 3749
138 3 46461 3729
139 3 46494 3713
140 3 46576 3688
141 3 46645 3667
142 3 46751 3640
143 3 46963 3613
144 3 47017 3596
145 3 47117 3578
146 3 47262 3558
147 3 47511 3538
148 3 47621 3518
149 3 47727 3500
150 3 47814 3479
151 3 47876 3463
152 3 47975 3451
153 3 48047 3430
154 3 48114 3410
155 3 48151 3396
156 3 48268 3373
157 3 48340 3352
158 3 48413 3337
159 3 48463 3325
160 3 48543 3307
161 3 48604 3290
162 3 48662 3276
163 3 48742 3255
164 3 48790 3243
165 3 48908 3233
166 3 49028 3216
167 3 49120 3202
168 3 49269 3189
169 3 49313 3182
170 3 49426 3167
171 3 49452 3158
172 3 49565 3144
173 3 49605 3129
174 3 49749 3108
175 3 49835 3097
176 3 49878 3083
177 3 49986 3067
178 3 50068 3050
179 3 50161 3038
180 3 50238 3021
181 3 50302 3007
182 3 50353 2998
183 3 50370 2988
184 3 50384 2982
185 3 50444 2971
186 3 50467 2955
187 3 50594 2939
188 3 50706 2929
189 3 50799 2913
190 3 50835 2903
191 3 50860 2894
192 3 50883 2884
193 3 50993 2866
194 3 51013 2855
195 3 51075 2842
196 3 51113 2834
197 3 51135 2824
