crosslink_id	type	effective_functionality	scanlan_classification
4	Tetra-S	0	ineffective
9	Tetra-S	3	effective
14	Tetra-S	0	ineffective
19	Tetra-S	2	bridging
24	Tetra-S	4	effective
29	Tetra-S	0	ineffective
34	Tetra-S	0	ineffective
39	Tetra-S	2	bridging
44	Tetra-S	0	ineffective
49	Tetra-S	0	ineffective
54	Tetra-S	2	bridging
59	Tetra-S	2	bridging
69	Tetra-S	0	ineffective
74	Tetra-S	3	effective
79	Tetra-S	3	effective
84	Tetra-S	0	ineffective
89	Tetra-S	4	effective
94	Tetra-S	0	ineffective
99	Tetra-S	3	effective
104	Tetra-S	2	bridging
109	Tetra-S	3	effective
114	Tetra-S	0	ineffective
119	Tetra-S	0	ineffective
124	Tetra-S	0	ineffective
129	Tetra-S	0	ineffective
134	Tetra-S	3	effective
139	Tetra-S	3	effective
144	Tetra-S	0	ineffective
149	Tetra-S	0	ineffective
154	Tetra-S	2	bridging
159	Tetra-S	2	bridging
164	Tetra-S	0	ineffective
174	Tetra-S	2	bridging
179	Tetra-S	2	bridging
184	Tetra-S	3	effective
189	Tetra-S	0	ineffective
194	Tetra-S	0	ineffective
199	Tetra-S	3	effective
204	Tetra-S	3	effective
209	Tetra-S	3	effective
219	Tetra-S	0	ineffective
224	Tetra-S	2	bridging
229	Tetra-S	2	bridging
234	Tetra-S	2	bridging
239	Tetra-S	2	bridging
244	Tetra-S	0	ineffective
249	Tetra-S	0	ineffective
254	Tetra-S	3	effective
259	Tetra-S	3	effective
274	Tetra-S	3	effective
279	Tetra-S	4	effective
294	Tetra-S	2	bridging
299	Tetra-S	2	bridging
304	Tetra-S	0	ineffective
309	Tetra-S	0	ineffective
319	Tetra-S	3	effective
324	Tetra-S	3	effective
329	Tetra-S	0	ineffective
334	Tetra-S	0	ineffective
339	Tetra-S	0	ineffective
344	Tetra-S	3	effective
349	Tetra-S	2	bridging
354	Tetra-S	0	ineffective
359	Tetra-S	3	effective
364	Tetra-S	2	bridging
369	Tetra-S	2	bridging
374	Tetra-S	4	effective
379	Tetra-S	2	bridging
384	Tetra-S	2	bridging
389	Tetra-S	3	effective
394	Tetra-S	3	effective
399	Tetra-S	3	effective
404	Tetra-S	0	ineffective
409	Tetra-S	3	effective
414	Tetra-S	2	bridging
419	Tetra-S	0	ineffective
424	Tetra-S	2	bridging
429	Tetra-S	0	ineffective
439	Tetra-S	2	bridging
449	Tetra-S	0	ineffective
454	Tetra-S	0	ineffective
459	Tetra-S	2	bridging
464	Tetra-S	0	ineffective
469	Tetra-S	2	bridging
474	Tetra-S	0	ineffective
479	Tetra-S	2	bridging
484	Tetra-S	2	bridging
489	Tetra-S	3	effective
494	Tetra-S	0	ineffective
499	Tetra-S	2	bridging
514	Tetra-S	2	bridging
519	Tetra-S	2	bridging
524	Tetra-S	3	effective
529	Tetra-S	3	effective
534	Tetra-S	0	ineffective
539	Tetra-S	0	ineffective
544	Tetra-S	0	ineffective
549	Tetra-S	0	ineffective
554	Tetra-S	2	bridging
559	Tetra-S	3	effective
564	Tetra-S	0	ineffective
569	Tetra-S	4	effective
574	Tetra-S	0	ineffective
579	Tetra-S	0	ineffective
