dangling_strand data
1 615
5 447
7 193
10 20
11 191
13 85
14 11
16 6
17 91
18 8
19 29
20 17
22 9
23 42
24 11
25 12
26 13
28 10
29 12
30 8
31 11
32 5
34 6
35 11
36 4
37 3
38 8
40 2
41 11
42 4
43 3
44 3
45 1
46 2
47 3
48 10
49 3
50 8
51 3
52 1
53 3
54 4
55 1
57 1
58 3
59 1
60 1
62 2
63 2
64 2
65 2
66 2
69 2
70 1
72 1
74 1
75 2
77 2
80 1
81 1
83 2
84 1
94 1
105 1
106 1
111 1
116 1
117 1
125 1
128 1
primary_loop_size data
6.0 235
12.0 40
13.0 6
18.0 9
19.0 6
20.0 1
24.0 4
26.0 1
30.0 1
secondary_loop_size data
12.0 28
18.0 10
19.0 4
24.0 8
25.0 1
26.0 1
30.0 3
31.0 2
37.0 3
38.0 1
39.0 1
42.0 1
43.0 1
48.0 1
tertiary_loop_size data
18.0 8
24.0 11
25.0 1
30.0 5
31.0 2
36.0 3
37.0 5
38.0 1
43.0 3
45.0 1
48.0 2
51.0 1
54.0 1
55.0 2
60.0 2
61.0 2
88.0 1
quaternary_loop_size data
24.0 3
30.0 8
31.0 1
36.0 2
37.0 3
42.0 9
43.0 1
44.0 2
48.0 3
49.0 2
54.0 2
55.0 1
56.0 1
61.0 3
62.0 1
67.0 2
73.0 1
74.0 1
81.0 1
