largest average
14 3.984125992125492
18 4.001632038164585
22 4.023351214894288
26 4.042998477929984
26 4.061285595973753
26 4.080783510434003
26 4.102316602316602
26 4.121411947245927
28 4.139072847682119
28 4.157156830779263
28 4.1784099102051515
30 4.1993281075028
30 4.217664571617599
40 4.236443381180223
51 4.251984259321016
51 4.27250184304001
51 4.294375210508589
51 4.311510888678479
51 4.328196075768891
51 4.347381342062193
59 4.368233520624915
59 4.388078193832599
59 4.409323557891825
59 4.425546685178757
59 4.444986752196346
88 4.459913250314817
88 4.4755686604886264
106 4.495451660672731
106 4.5212765957446805
106 4.543187001140251
106 4.561717352415027
106 4.581716257007331
128 4.602555772146415
128 4.619565217391305
128 4.6404134517397
128 4.663155584814571
128 4.684400029392314
128 4.703755626060651
128 4.723271838186264
128 4.749664729548503
132 4.775638624616076
136 4.796478820254308
136 4.816773706082357
136 4.840914268357507
136 4.8608463591307665
136 4.882438538714865
136 4.903468963925852
136 4.925822902178952
136 4.946461824953445
136 4.969210382726635
140 4.9886532592534625
140 5.007855459544383
140 5.029189018617861
140 5.046706776440785
140 5.073617190608834
140 5.100408032642611
140 5.121304627249358
140 5.141543672876845
140 5.166963851515643
140 5.193905817174516
140 5.213444553483808
140 5.240874712265702
140 5.26685393258427
140 5.29089551000083
140 5.316044029352902
140 5.340985254691689
140 5.3724928366762175
140 5.395226811103588
140 5.426455566905005
140 5.453378956372968
140 5.478686833963561
140 5.50280535174795
140 5.525699921990118
140 5.552652207995819
140 5.578892097663429
140 5.602425520696019
140 5.631625441696113
140 5.662136957100986
140 5.693489327498437
140 5.718001614494574
140 5.7468673938519785
149 5.774456521739131
149 5.809185347184254
149 5.834706205381658
149 5.860991082099844
149 5.885883113285939
149 5.912632164718976
149 5.94793804814331
149 5.974695407685099
149 5.999435347261434
149 6.022673594709494
149 6.0455192034139404
149 6.07837528604119
149 6.104567652973284
149 6.137479541734861
149 6.170150987224158
149 6.194733262073656
149 6.231671554252199
149 6.261048909840896
149 6.285122744750074
149 6.320015862000595
165 6.343914817394766
165 6.374362563743626
165 6.4141261696347724
165 6.433545261883136
195 6.473395613322502
195 6.501121762186417
200 6.528417818740399
200 6.559991767853468
213 6.590509666080844
213 6.621312837557125
213 6.654488517745302
217 6.686595342983008
263 6.726812282367838
273 6.750317662007624
273 6.778309409888357
273 6.809442426831874
273 6.852628184456627
281 6.882219583288352
287 6.914316702819956
291 6.936133173756936
291 6.9649295313012125
306 7.000878541620909
306 7.031767041694242
306 7.066844030595278
306 7.087270705947748
310 7.13007493568952
310 7.154079227920548
319 7.183908045977011
324 7.222159284014954
328 7.255861597996813
328 7.284881727802537
328 7.320013778849466
328 7.348703170028818
328 7.381035081625565
328 7.413652750319804
328 7.4500409021853455
328 7.481516253960803
328 7.510603204524034
328 7.540809084457062
328 7.582064700285442
349 7.618307839388145
349 7.65214259992798
349 7.687206077414687
349 7.72259236826166
366 7.753587934809049
366 7.793398533007335
366 7.829771554900516
370 7.864544781643227
370 7.896692679301375
370 7.933051269288203
376 7.9637726420986885
376 8.0047714716223
376 8.043149129447388
376 8.093182683762853
376 8.137605310186368
376 8.172029227022177
376 8.221563064224917
376 8.259911894273127
376 8.29646017699115
376 8.337692911326183
390 8.38484808628173
390 8.409180846853976
449 8.438120450033091
449 8.475139590534432
500 8.515896339834358
545 8.566245632894383
549 8.61719383617194
549 8.649932157394844
549 8.692391600763568
549 8.742457487657708
553 8.782201405152225
553 8.827194682913321
557 8.883779264214047
557 8.923572228443449
557 8.964983827872311
557 9.006781576716586
557 9.02590967011185
557 9.063121978959341
580 9.105842022568204
580 9.145029407545547
580 9.180587557603687
580 9.209765963594338
580 9.252539912917271
593 9.302495257551437
593 9.34476693051891
611 9.376378879246948
611 9.415152857775809
611 9.462668843698976
623 9.502161275898047
628 9.540556719545046
635 9.57494743166116
635 9.611035730438715
667 9.660554629489317
697 9.698767685988134
697 9.752179899036255
697 9.800153727901614
701 9.834927491514964
701 9.87453531598513
701 9.916005599626692
701 9.96249413970933
705 10.012564787183917
705 10.05361930294906
705 10.106214331008243
705 10.16260162601626
709 10.2228992944195
709 10.262395363811978
1199 10.322215025906736
1199 10.357432981316004
1746 10.408163265306122
1905 10.467980295566502
1909 10.509396636993076
1935 10.547650562541364
1935 10.584426365598539
1944 10.617921385742838
1944 10.656970912738215
1954 10.712485296588808
2006 10.759493670886076
2006 10.819755600814664
2006 10.854759066916397
2006 10.91422701592193
2016 10.966798554963013
2016 11.02369012623206
2016 11.073475768629494
2041 11.10433722348023
2047 11.162668534407285
2047 11.201897733263047
2047 11.255296610169491
2047 11.315228966986156
2335 11.363636363636363
2394 11.424731182795698
2394 11.447297539953313
2614 11.507220216606498
2614 11.542639869636067
2614 11.586695747001091
2618 11.62472647702407
2618 11.671548883192969
2618 11.73384870237438
2618 11.796817172464841
2622 11.842838565855471
2996 11.89587609628662
2996 11.947151424287856
3302 11.989843896934362
3302 12.039660056657224
3304 12.094479225953329
3313 12.149799885648942
3322 12.200956937799043
3326 12.252546607726313
3334 12.306949806949808
3334 12.35225731447394
3334 12.397899649941657
3338 12.456037514654161
3338 12.490203761755486
3353 12.54180602006689
3353 12.596324836988737
3357 12.63877874702617
4898 12.673956262425447
4915 12.739808153477219
4946 12.806347930895942
5005 12.878787878787879
5025 12.949421084704449
5029 13.01285976729945
7077 13.068880688806889
7226 13.122684232194318
7677 13.179656812073599
7943 13.237126245847175
8651 13.289555972482802
8651 13.353581901969
8735 13.409760201935212
8741 13.480651300486361
8839 13.537906137184116
8889 13.59275053304904
8908 13.648041104688504
9028 13.697894284486463
9068 13.771872974724563
9087 13.825634352635003
9212 13.891915449989105
9212 14.001757083241818
9272 14.079063604240282
10655 14.128989361702128
10693 14.195056780227121
11226 14.274518584863413
11294 14.316191331686504
12185 14.380780509812768
12191 14.436141304347826
12583 14.511723195993627
12667 14.57809284244226
12712 14.631627266467753
12729 14.695712309820193
12729 14.75352927563064
12839 14.811802973977695
13358 14.856676765322769
13362 14.905307458498948
13404 14.968302418408078
13513 15.007062146892656
13547 15.063799621928167
13679 15.13892187128948
14818 15.229335881509794
14848 15.32083633741889
14864 15.40599323344611
15340 15.462042202279893
15385 15.507175869618099
15670 15.575372587344246
15806 15.6480117820324
15868 15.701970443349754
16232 15.779702970297029
17882 15.85820895522388
17910 15.921578421578422
18058 15.997490589711418
18254 16.05389070763032
18403 16.114762386248735
18484 16.17609743719868
18625 16.262755102040817
18787 16.350346242626316
18808 16.413491246138
20958 16.451612903225808
21007 16.541255838090297
21139 16.62754303599374
21230 16.70159811370186
21748 16.763081777544045
21999 16.811708860759495
22059 16.874007411328744
22204 16.972843450479232
22291 17.081993569131832
22295 17.132491265788765
22308 17.178658043654
22315 17.24371111712199
22354 17.30456026058632
22558 17.403767403767404
22773 17.45618838992333
22916 17.528182568050592
22958 17.625103677080453
23339 17.708333333333332
23494 17.782426778242677
23771 17.85214225707085
23807 17.947635135135137
24124 18.023748939779473
24329 18.07997731140102
24786 18.157220165195103
25949 18.24556382369777
26247 18.324231100891062
26286 18.3982683982684
26718 18.48361844012757
26744 18.569764054762597
26986 18.667642752562227
27249 18.727967097532314
27270 18.805309734513273
27354 18.894487255483106
28006 19.00149031296572
28064 19.098262432594368
28106 19.14989486332232
28226 19.23076923076923
28333 19.28895612708018
28357 19.329896907216494
28421 19.424131627056674
28532 19.48349633251834
28613 19.54921803127875
28794 19.615384615384617
29323 19.712430426716143
29325 19.767441860465116
29399 19.853628153223294
29820 19.9468085106383
30129 20.04086765168186
30205 20.097730138713747
30284 20.180436847103515
30306 20.257387988560534
30466 20.33492822966507
30690 20.432692307692307
30742 20.524790727623955
30783 20.61772315653299
30870 20.684620376378973
30940 20.779009126466754
30975 20.88110055682935
31038 20.96349884906281
31093 21.01879327398615
31097 21.102284011916584
31305 21.22877122877123
32340 21.306818181818183
32432 21.414175344306347
32543 21.508097165991902
32580 21.610169491525422
32597 21.713215258855588
32706 21.78742310321258
32883 21.877144818119422
33452 21.960041336548397
34078 22.05119335869941
34673 22.17391304347826
34822 22.25130890052356
34935 22.376272376272375
35020 22.447183098591548
35054 22.510593220338983
35130 22.606382978723403
35568 22.70299145299145
35671 22.808586762075134
35770 22.915168943206325
36046 23.022751895991334
36082 23.1145757795504
36162 23.173391494002182
36172 23.240977032446228
36378 23.317483540599852
36485 23.377337733773377
36550 23.48931466470155
36753 23.54135893648449
36816 23.619859207113745
36883 23.716517857142858
36920 23.778440880268555
36936 23.858532934131738
36944 23.90326209223847
37265 23.966165413533833
37420 24.07477341389728
37718 24.15687760515347
38163 24.248763788512743
38262 24.322777565814576
38286 24.369266055045873
38409 24.444018404907975
38592 24.53810623556582
38699 24.613899613899616
38784 24.690162664601086
38841 24.766899766899765
38888 24.873195474053844
38938 24.980407523510973
39094 25.088547815820544
39113 25.15785319652723
39142 25.247524752475247
39152 25.317712470214456
39169 25.378184713375795
39219 25.449101796407184
39385 25.53063676411694
39564 25.622990353697748
39645 25.716014521984672
39662 25.799271549979764
39771 25.89358245329001
40188 25.988585405625763
40304 26.15921214608125
40346 26.245368464388637
40456 26.34297520661157
40538 26.463262764632628
40546 26.507276507276508
40559 26.57357232180075
40735 26.74077181208054
40772 26.853411962931762
40803 26.94420963651733
40830 27.03562340966921
41053 27.16233489561142
41136 27.266894781864842
41153 27.31362467866324
41185 27.395788568972925
41191 27.490297542043983
41203 27.525906735751295
41299 27.609354699003898
41347 27.753591641271225
41475 27.862762237762237
41554 27.98507462686567
41662 28.058978873239436
41944 28.14569536423841
41999 28.232949512843224
42012 28.29560585885486
42041 28.371161548731642
42066 28.459821428571427
42159 28.561827956989248
42688 28.625954198473284
42702 28.716216216216218
42729 28.75507442489851
42755 28.846153846153847
43197 28.950953678474114
43347 29.016841147018663
43375 29.0963030579644
43454 29.22971114167813
43581 29.310344827586206
43652 29.377880184331797
43837 29.459334565619223
44041 29.554937413073713
44118 29.637377963737798
44148 29.72027972027972
44346 29.81758652946679
44715 29.929577464788732
44908 30.02826189354687
45079 30.17037387600568
45124 30.241935483870968
45137 30.313837375178316
45301 30.3860819828408
45370 30.54623862002875
45394 30.64903846153846
45433 30.72289156626506
45537 30.931586608442505
45684 31.097560975609756
45703 31.158357771261
45795 31.25
45931 31.31139489194499
45931 31.342182890855458
45966 31.543790202869868
46034 31.606346058502726
46053 31.669150521609538
46071 31.779661016949152
46090 31.843156843156844
