# frame percolation_dimension largest_cluster num_molecules
0 0 0 0
1 0 0 0
2 0 0 0
3 0 0 0
4 0 0 0
5 0 0 0
6 0 0 0
7 0 0 0
8 0 0 0
9 0 0 0
10 0 0 0
11 0 0 0
12 0 0 0
13 0 0 0
14 0 0 0
15 0 0 0
16 0 0 0
17 0 0 0
18 0 0 0
19 0 0 0
20 0 0 0
21 0 0 0
22 0 0 0
23 0 0 0
24 0 0 0
25 0 0 0
26 0 0 0
27 0 0 0
28 0 0 0
29 0 0 0
30 0 0 0
31 0 0 0
32 0 0 0
33 0 0 0
34 0 0 0
35 0 0 0
36 0 0 0
37 0 0 0
38 0 0 0
39 0 0 0
40 0 0 0
41 0 0 0
42 0 0 0
43 0 0 0
44 0 0 0
45 0 0 0
46 0 0 0
47 1 14193 7939
48 1 15185 7840
49 2 17304 7757
50 2 17816 7645
51 2 19221 7535
52 2 19677 7449
53 2 20505 7352
54 3 21378 7259
55 3 21922 7148
56 3 22607 7072
57 3 23526 6977
58 3 23772 6891
59 3 24385 6809
60 3 24807 6710
61 3 25593 6622
62 3 26038 6525
63 3 26302 6448
64 3 26751 6367
65 3 27222 6288
66 3 27563 6205
67 3 27884 6127
68 3 28640 6050
69 3 28911 5987
70 3 29770 5912
71 3 30305 5835
72 3 30621 5767
73 3 30974 5689
74 3 31527 5595
75 3 32236 5525
76 3 33106 5443
77 3 33690 5388
78 3 33970 5330
79 3 34220 5270
80 3 34630 5212
81 3 35079 5143
82 3 35271 5087
83 3 35625 5024
84 3 35874 4966
85 3 36018 4919
86 3 36330 4863
87 3 36545 4815
88 3 36819 4768
89 3 36995 4707
90 3 37492 4653
91 3 37979 4592
92 3 38369 4543
93 3 38670 4494
94 3 38899 4441
95 3 39270 4391
96 3 39544 4336
97 3 40247 4288
98 3 40435 4253
99 3 40876 4204
100 3 41106 4164
101 3 41355 4115
102 3 41641 4070
103 3 41867 4029
104 3 42072 3992
105 3 42237 3953
106 3 42529 3903
107 3 42643 3862
108 3 42761 3836
109 3 43195 3791
110 3 43337 3759
111 3 43550 3723
112 3 43705 3690
113 3 43953 3649
114 3 44061 3620
115 3 44261 3578
116 3 44445 3551
117 3 44586 3516
118 3 44752 3488
119 3 44958 3460
120 3 45175 3434
121 3 45334 3403
122 3 45473 3380
123 3 45570 3359
124 3 45805 3334
125 3 45939 3311
126 3 46014 3285
127 3 46211 3263
128 3 46377 3239
129 3 46501 3211
130 3 46703 3187
131 3 46839 3161
132 3 47013 3131
133 3 47143 3102
134 3 47247 3083
135 3 47486 3052
136 3 47611 3025
137 3 47808 3001
138 3 47923 2979
139 3 48129 2949
140 3 48228 2924
141 3 48318 2906
142 3 48392 2893
143 3 48531 2871
144 3 48595 2855
145 3 48685 2835
146 3 48788 2816
147 3 48849 2802
148 3 49025 2778
149 3 49212 2768
150 3 49371 2748
151 3 49443 2735
152 3 49506 2720
153 3 49618 2698
154 3 49678 2685
155 3 49753 2669
156 3 49861 2651
157 3 49924 2639
158 3 50007 2630
159 3 50112 2611
160 3 50218 2596
161 3 50292 2579
162 3 50347 2567
163 3 50424 2550
164 3 50559 2537
165 3 50665 2519
166 3 50712 2506
167 3 50895 2491
168 3 50990 2473
169 3 51048 2460
170 3 51197 2443
171 3 51313 2427
172 3 51444 2408
173 3 51502 2396
174 3 51551 2384
175 3 51584 2376
176 3 51652 2362
177 3 51770 2354
178 3 51823 2341
179 3 51853 2331
180 3 51881 2322
181 3 51931 2316
182 3 51970 2307
183 3 52073 2296
184 3 52171 2287
185 3 52224 2278
186 3 52299 2263
187 3 52348 2254
188 3 52438 2244
189 3 52470 2237
190 3 52498 2229
191 3 52530 2224
192 3 52534 2220
193 3 52540 2216
194 3 52580 2210
