crosslink_id	type	effective_functionality	scanlan_classification
4	Tetra-S	2	bridging
9	Tetra-S	4	effective
19	Tetra-S	2	bridging
24	Tetra-S	0	ineffective
29	Tetra-S	3	effective
34	Tetra-S	2	bridging
39	Tetra-S	0	ineffective
44	Tetra-S	0	ineffective
49	Tetra-S	2	bridging
54	Tetra-S	0	ineffective
59	Tetra-S	2	bridging
64	Tetra-S	2	bridging
69	Tetra-S	3	effective
74	Tetra-S	0	ineffective
79	Tetra-S	2	bridging
84	Tetra-S	3	effective
89	Tetra-S	4	effective
94	Tetra-S	4	effective
99	Tetra-S	2	bridging
104	Tetra-S	2	bridging
109	Tetra-S	0	ineffective
114	Tetra-S	0	ineffective
124	Tetra-S	0	ineffective
129	Tetra-S	0	ineffective
134	Tetra-S	0	ineffective
149	Tetra-S	3	effective
154	Tetra-S	3	effective
159	Tetra-S	0	ineffective
164	Tetra-S	0	ineffective
169	Tetra-S	2	bridging
174	Tetra-S	2	bridging
184	Tetra-S	0	ineffective
189	Tetra-S	2	bridging
194	Tetra-S	2	bridging
199	Tetra-S	2	bridging
204	Tetra-S	3	effective
209	Tetra-S	0	ineffective
214	Tetra-S	0	ineffective
219	Tetra-S	4	effective
229	Tetra-S	3	effective
239	Tetra-S	3	effective
244	Tetra-S	0	ineffective
249	Tetra-S	2	bridging
254	Tetra-S	0	ineffective
259	Tetra-S	3	effective
264	Tetra-S	2	bridging
269	Tetra-S	3	effective
274	Tetra-S	2	bridging
279	Tetra-S	3	effective
284	Tetra-S	2	bridging
294	Tetra-S	2	bridging
299	Tetra-S	2	bridging
304	Tetra-S	2	bridging
309	Tetra-S	0	ineffective
314	Tetra-S	4	effective
319	Tetra-S	0	ineffective
324	Tetra-S	0	ineffective
329	Tetra-S	0	ineffective
334	Tetra-S	3	effective
339	Tetra-S	0	ineffective
344	Tetra-S	4	effective
349	Tetra-S	0	ineffective
354	Tetra-S	3	effective
359	Tetra-S	3	effective
364	Tetra-S	3	effective
369	Tetra-S	4	effective
374	Tetra-S	2	bridging
379	Tetra-S	2	bridging
384	Tetra-S	2	bridging
389	Tetra-S	0	ineffective
394	Tetra-S	0	ineffective
399	Tetra-S	2	bridging
409	Tetra-S	2	bridging
414	Tetra-S	2	bridging
419	Tetra-S	4	effective
424	Tetra-S	2	bridging
429	Tetra-S	0	ineffective
434	Tetra-S	0	ineffective
439	Tetra-S	3	effective
