crosslink_id	type	effective_functionality	scanlan_classification
4	Tetra-S	2	bridging
9	Tetra-S	2	bridging
19	Tetra-S	3	effective
24	Tetra-S	2	bridging
29	Tetra-S	0	ineffective
34	Tetra-S	0	ineffective
39	Tetra-S	0	ineffective
44	Tetra-S	0	ineffective
49	Tetra-S	2	bridging
54	Tetra-S	2	bridging
59	Tetra-S	2	bridging
64	Tetra-S	3	effective
69	Tetra-S	0	ineffective
74	Tetra-S	2	bridging
79	Tetra-S	3	effective
89	Tetra-S	3	effective
94	Tetra-S	2	bridging
99	Tetra-S	4	effective
109	Tetra-S	3	effective
114	Tetra-S	3	effective
124	Tetra-S	0	ineffective
129	Tetra-S	3	effective
134	Tetra-S	4	effective
144	Tetra-S	2	bridging
149	Tetra-S	0	ineffective
154	Tetra-S	2	bridging
159	Tetra-S	4	effective
164	Tetra-S	4	effective
169	Tetra-S	0	ineffective
174	Tetra-S	2	bridging
179	Tetra-S	0	ineffective
184	Tetra-S	3	effective
189	Tetra-S	2	bridging
194	Tetra-S	2	bridging
199	Tetra-S	0	ineffective
204	Tetra-S	2	bridging
209	Tetra-S	2	bridging
214	Tetra-S	2	bridging
219	Tetra-S	2	bridging
224	Tetra-S	0	ineffective
229	Tetra-S	4	effective
234	Tetra-S	2	bridging
244	Tetra-S	2	bridging
254	Tetra-S	3	effective
259	Tetra-S	2	bridging
264	Tetra-S	3	effective
269	Tetra-S	0	ineffective
274	Tetra-S	3	effective
279	Tetra-S	2	bridging
284	Tetra-S	3	effective
289	Tetra-S	2	bridging
294	Tetra-S	4	effective
299	Tetra-S	2	bridging
304	Tetra-S	0	ineffective
309	Tetra-S	2	bridging
314	Tetra-S	3	effective
319	Tetra-S	2	bridging
324	Tetra-S	2	bridging
329	Tetra-S	0	ineffective
334	Tetra-S	3	effective
339	Tetra-S	2	bridging
344	Tetra-S	0	ineffective
349	Tetra-S	0	ineffective
354	Tetra-S	4	effective
359	Tetra-S	3	effective
364	Tetra-S	2	bridging
369	Tetra-S	0	ineffective
374	Tetra-S	2	bridging
379	Tetra-S	2	bridging
384	Tetra-S	0	ineffective
394	Tetra-S	0	ineffective
404	Tetra-S	3	effective
409	Tetra-S	3	effective
414	Tetra-S	0	ineffective
419	Tetra-S	0	ineffective
424	Tetra-S	3	effective
429	Tetra-S	3	effective
434	Tetra-S	2	bridging
439	Tetra-S	2	bridging
444	Tetra-S	0	ineffective
449	Tetra-S	3	effective
454	Tetra-S	0	ineffective
464	Tetra-S	3	effective
469	Tetra-S	2	bridging
474	Tetra-S	2	bridging
479	Tetra-S	2	bridging
484	Tetra-S	4	effective
494	Tetra-S	0	ineffective
499	Tetra-S	2	bridging
504	Tetra-S	0	ineffective
509	Tetra-S	2	bridging
514	Tetra-S	2	bridging
519	Tetra-S	3	effective
529	Tetra-S	0	ineffective
534	Tetra-S	2	bridging
539	Tetra-S	0	ineffective
544	Tetra-S	0	ineffective
549	Tetra-S	2	bridging
554	Tetra-S	0	ineffective
559	Tetra-S	0	ineffective
564	Tetra-S	2	bridging
569	Tetra-S	2	bridging
574	Tetra-S	4	effective
579	Tetra-S	3	effective
584	Tetra-S	2	bridging
589	Tetra-S	3	effective
594	Tetra-S	0	ineffective
599	Tetra-S	0	ineffective
609	Tetra-S	0	ineffective
614	Tetra-S	0	ineffective
619	Tetra-S	0	ineffective
624	Tetra-S	3	effective
629	Tetra-S	3	effective
634	Tetra-S	0	ineffective
644	Tetra-S	2	bridging
649	Tetra-S	2	bridging
654	Tetra-S	0	ineffective
659	Tetra-S	3	effective
664	Tetra-S	0	ineffective
669	Tetra-S	0	ineffective
674	Tetra-S	4	effective
679	Tetra-S	2	bridging
684	Tetra-S	0	ineffective
689	Tetra-S	2	bridging
694	Tetra-S	3	effective
699	Tetra-S	0	ineffective
704	Tetra-S	0	ineffective
714	Tetra-S	2	bridging
719	Tetra-S	0	ineffective
724	Tetra-S	4	effective
729	Tetra-S	0	ineffective
734	Tetra-S	0	ineffective
739	Tetra-S	2	bridging
744	Tetra-S	0	ineffective
754	Tetra-S	3	effective
759	Tetra-S	2	bridging
764	Tetra-S	3	effective
769	Tetra-S	0	ineffective
774	Tetra-S	3	effective
779	Tetra-S	0	ineffective
784	Tetra-S	3	effective
789	Tetra-S	2	bridging
794	Tetra-S	0	ineffective
799	Tetra-S	0	ineffective
809	Tetra-S	2	bridging
824	Tetra-S	2	bridging
829	Tetra-S	0	ineffective
834	Tetra-S	0	ineffective
839	Tetra-S	2	bridging
844	Tetra-S	2	bridging
849	Tetra-S	0	ineffective
854	Tetra-S	2	bridging
859	Tetra-S	0	ineffective
864	Tetra-S	4	effective
869	Tetra-S	2	bridging
874	Tetra-S	0	ineffective
879	Tetra-S	2	bridging
884	Tetra-S	2	bridging
889	Tetra-S	3	effective
894	Tetra-S	0	ineffective
899	Tetra-S	2	bridging
904	Tetra-S	0	ineffective
909	Tetra-S	3	effective
914	Tetra-S	2	bridging
919	Tetra-S	0	ineffective
934	Tetra-S	2	bridging
939	Tetra-S	0	ineffective
944	Tetra-S	2	bridging
949	Tetra-S	2	bridging
954	Tetra-S	2	bridging
959	Tetra-S	0	ineffective
964	Tetra-S	0	ineffective
969	Tetra-S	3	effective
974	Tetra-S	3	effective
979	Tetra-S	0	ineffective
984	Tetra-S	2	bridging
989	Tetra-S	0	ineffective
999	Tetra-S	2	bridging
1004	Tetra-S	2	bridging
1009	Tetra-S	4	effective
1014	Tetra-S	3	effective
1019	Tetra-S	2	bridging
1024	Tetra-S	3	effective
1029	Tetra-S	0	ineffective
1034	Tetra-S	2	bridging
1039	Tetra-S	2	bridging
1044	Tetra-S	3	effective
1049	Tetra-S	0	ineffective
1059	Tetra-S	0	ineffective
1064	Tetra-S	2	bridging
1069	Tetra-S	3	effective
1079	Tetra-S	0	ineffective
1084	Tetra-S	3	effective
1089	Tetra-S	0	ineffective
1094	Tetra-S	2	bridging
1099	Tetra-S	2	bridging
1104	Tetra-S	2	bridging
1109	Tetra-S	0	ineffective
1114	Tetra-S	0	ineffective
1119	Tetra-S	3	effective
1124	Tetra-S	2	bridging
1129	Tetra-S	0	ineffective
1134	Tetra-S	0	ineffective
1139	Tetra-S	3	effective
1144	Tetra-S	2	bridging
1149	Tetra-S	2	bridging
1154	Tetra-S	0	ineffective
1159	Tetra-S	3	effective
1164	Tetra-S	2	bridging
1169	Tetra-S	2	bridging
1174	Tetra-S	0	ineffective
1179	Tetra-S	0	ineffective
1184	Tetra-S	2	bridging
1189	Tetra-S	2	bridging
1194	Tetra-S	2	bridging
1209	Tetra-S	0	ineffective
1219	Tetra-S	0	ineffective
1224	Tetra-S	3	effective
1234	Tetra-S	2	bridging
1239	Tetra-S	2	bridging
1249	Tetra-S	2	bridging
1254	Tetra-S	2	bridging
1264	Tetra-S	2	bridging
1269	Tetra-S	4	effective
1274	Tetra-S	2	bridging
1289	Tetra-S	2	bridging
1294	Tetra-S	3	effective
1299	Tetra-S	0	ineffective
1314	Tetra-S	3	effective
1319	Tetra-S	3	effective
1324	Tetra-S	3	effective
1334	Tetra-S	0	ineffective
1339	Tetra-S	3	effective
1344	Tetra-S	2	bridging
1349	Tetra-S	2	bridging
1354	Tetra-S	0	ineffective
1359	Tetra-S	0	ineffective
1364	Tetra-S	3	effective
1369	Tetra-S	0	ineffective
1374	Tetra-S	2	bridging
1384	Tetra-S	2	bridging
1389	Tetra-S	3	effective
1394	Tetra-S	0	ineffective
1399	Tetra-S	0	ineffective
1404	Tetra-S	2	bridging
1409	Tetra-S	0	ineffective
1414	Tetra-S	2	bridging
1419	Tetra-S	2	bridging
1429	Tetra-S	2	bridging
1434	Tetra-S	0	ineffective
1439	Tetra-S	2	bridging
1444	Tetra-S	2	bridging
1449	Tetra-S	4	effective
1459	Tetra-S	2	bridging
1464	Tetra-S	2	bridging
1469	Tetra-S	0	ineffective
1474	Tetra-S	3	effective
1479	Tetra-S	2	bridging
1489	Tetra-S	2	bridging
1494	Tetra-S	4	effective
1499	Tetra-S	3	effective
1504	Tetra-S	2	bridging
1509	Tetra-S	2	bridging
1514	Tetra-S	0	ineffective
1519	Tetra-S	0	ineffective
1524	Tetra-S	2	bridging
1529	Tetra-S	2	bridging
1534	Tetra-S	2	bridging
1544	Tetra-S	0	ineffective
1549	Tetra-S	3	effective
1554	Tetra-S	0	ineffective
1559	Tetra-S	2	bridging
1564	Tetra-S	0	ineffective
1569	Tetra-S	2	bridging
1574	Tetra-S	2	bridging
1579	Tetra-S	0	ineffective
1584	Tetra-S	0	ineffective
1589	Tetra-S	0	ineffective
1594	Tetra-S	0	ineffective
1599	Tetra-S	2	bridging
1604	Tetra-S	2	bridging
1614	Tetra-S	2	bridging
1619	Tetra-S	0	ineffective
1624	Tetra-S	3	effective
1629	Tetra-S	0	ineffective
1634	Tetra-S	4	effective
1639	Tetra-S	3	effective
1644	Tetra-S	0	ineffective
1649	Tetra-S	2	bridging
1654	Tetra-S	3	effective
1659	Tetra-S	2	bridging
1664	Tetra-S	2	bridging
1669	Tetra-S	4	effective
1674	Tetra-S	0	ineffective
1679	Tetra-S	0	ineffective
1684	Tetra-S	2	bridging
1689	Tetra-S	2	bridging
1699	Tetra-S	0	ineffective
1704	Tetra-S	0	ineffective
1709	Tetra-S	2	bridging
1714	Tetra-S	2	bridging
1719	Tetra-S	3	effective
1724	Tetra-S	2	bridging
1729	Tetra-S	2	bridging
1734	Tetra-S	0	ineffective
1744	Tetra-S	2	bridging
1749	Tetra-S	3	effective
1759	Tetra-S	0	ineffective
1764	Tetra-S	0	ineffective
1769	Tetra-S	3	effective
1774	Tetra-S	0	ineffective
1784	Tetra-S	4	effective
1789	Tetra-S	2	bridging
1794	Tetra-S	2	bridging
1799	Tetra-S	3	effective
1804	Tetra-S	2	bridging
1809	Tetra-S	4	effective
1814	Tetra-S	3	effective
1819	Tetra-S	0	ineffective
1824	Tetra-S	2	bridging
1829	Tetra-S	3	effective
1834	Tetra-S	0	ineffective
1839	Tetra-S	0	ineffective
1844	Tetra-S	2	bridging
1849	Tetra-S	0	ineffective
1854	Tetra-S	3	effective
1859	Tetra-S	3	effective
1864	Tetra-S	2	bridging
1869	Tetra-S	3	effective
1874	Tetra-S	2	bridging
