dangling_strand count
1 1913
2 290
3 729
4 532
5 31
6 397
7 240
8 22
9 122
10 89
11 21
12 74
13 60
14 7
15 32
16 38
17 10
18 16
19 22
20 7
21 10
22 15
23 3
24 8
25 12
26 2
27 5
28 4
29 1
31 2
32 1
33 3
34 2
35 1
36 1
37 2
39 3
40 2
41 1
45 1
46 1
47 1
48 1
53 1
primary_loop_size data
4.0 24
5.0 23
6.0 30
7.0 7
8.0 11
9.0 7
10.0 2
11.0 4
secondary_loop_size data
3.0 65
4.0 40
5.0 41
6.0 14
7.0 24
8.0 23
9.0 10
10.0 10
11.0 3
12.0 7
13.0 3
14.0 5
15.0 1
17.0 2
20.0 1
21.0 1
tertiary_loop_size data
2.0 47
3.0 34
4.0 26
5.0 27
6.0 23
7.0 32
8.0 11
9.0 17
10.0 16
11.0 11
12.0 8
13.0 4
14.0 5
15.0 1
16.0 4
17.0 6
18.0 3
19.0 3
20.0 2
21.0 1
22.0 3
26.0 1
32.0 1
33.0 1
quaternary_loop_size data
2.0 16
3.0 17
4.0 17
5.0 30
6.0 14
7.0 12
8.0 17
9.0 20
10.0 13
11.0 16
12.0 7
13.0 9
14.0 8
15.0 11
16.0 8
17.0 2
18.0 4
19.0 3
20.0 4
21.0 2
22.0 1
23.0 2
26.0 1
