cluster_size count
42626 1
296 1
225 1
211 1
206 1
204 1
181 1
171 1
166 1
124 1
119 2
115 2
114 1
112 1
106 1
104 1
97 2
94 1
93 1
92 1
91 1
86 1
85 1
83 3
82 2
81 2
80 4
79 1
78 1
75 1
74 1
73 1
72 2
71 1
70 1
68 2
67 2
66 2
65 2
64 1
63 2
62 2
61 3
60 5
58 1
56 1
55 2
54 1
53 1
52 6
51 2
50 2
49 1
48 4
47 4
46 4
45 2
44 2
43 6
42 9
41 2
40 3
39 3
38 5
37 2
36 8
35 3
34 5
32 4
31 5
30 14
29 1
28 11
27 3
26 7
25 2
24 29
23 4
22 19
21 3
20 14
19 4
18 22
17 5
16 29
15 3
14 13
13 5
12 82
11 1
10 54
9 11
8 37
6 277
5 8
4 194
2 136
