# frame percolation_dimension largest_cluster num_molecules
0 0 0 0
1 0 0 0
2 0 0 0
3 0 0 0
4 0 0 0
5 0 0 0
6 0 0 0
7 0 0 0
8 0 0 0
9 0 0 0
10 0 0 0
11 0 0 0
12 0 0 0
13 0 0 0
14 0 0 0
15 0 0 0
16 0 0 0
17 0 0 0
18 0 0 0
19 0 0 0
20 0 0 0
21 0 0 0
22 0 0 0
23 0 0 0
24 0 0 0
25 0 0 0
26 0 0 0
27 0 0 0
28 0 0 0
29 0 0 0
30 0 0 0
31 0 0 0
32 0 0 0
33 0 0 0
34 0 0 0
35 0 0 0
36 0 0 0
37 0 0 0
38 0 0 0
39 0 0 0
40 0 0 0
41 0 0 0
42 0 0 0
43 0 0 0
44 0 0 0
45 0 0 0
46 0 0 0
47 0 0 0
48 0 0 0
49 0 0 0
50 0 0 0
51 0 0 0
52 0 0 0
53 0 0 0
54 0 0 0
55 0 0 0
56 0 0 0
57 0 0 0
58 0 0 0
59 0 0 0
60 0 0 0
61 0 0 0
62 1 12378 10297
63 1 12634 10208
64 1 13492 10129
65 2 13610 10044
66 2 14302 9950
67 2 14988 9858
68 2 15416 9772
69 2 16016 9688
70 2 16130 9594
71 2 16622 9513
72 2 16980 9434
73 2 18142 9348
74 2 18354 9264
75 2 18548 9184
76 2 19162 9107
77 2 19372 9034
78 2 19738 8952
79 3 21058 8878
80 3 21620 8806
81 3 21902 8740
82 3 22078 8670
83 3 22274 8599
84 3 22694 8517
85 3 22924 8452
86 3 23092 8381
87 3 23264 8307
88 3 23746 8242
89 3 24652 8186
90 3 24950 8118
91 3 25160 8051
92 3 25538 7996
93 3 25762 7952
94 3 25906 7894
95 3 26094 7837
96 3 26288 7780
97 3 26416 7713
98 3 27040 7660
99 3 27168 7598
100 3 27494 7540
101 3 27892 7481
102 3 28180 7432
103 3 28594 7384
104 3 28758 7338
105 3 29040 7284
106 3 29638 7233
107 3 29870 7185
108 3 30048 7133
109 3 30326 7089
110 3 30600 7041
111 3 30910 6993
112 3 31070 6957
113 3 31186 6913
114 3 31356 6870
115 3 31496 6842
116 3 31614 6809
117 3 31708 6779
118 3 31772 6742
119 3 31948 6694
120 3 32018 6658
121 3 32400 6610
122 3 32504 6570
123 3 32844 6523
124 3 32976 6478
125 3 33310 6436
126 3 33422 6404
127 3 33992 6361
128 3 34044 6341
129 3 34276 6289
130 3 34410 6258
131 3 34568 6228
132 3 34628 6197
133 3 34738 6153
134 3 35016 6118
135 3 35192 6091
136 3 35330 6053
137 3 35478 6019
138 3 35608 5980
139 3 35792 5943
140 3 35876 5914
141 3 36040 5884
142 3 36194 5848
143 3 36332 5807
144 3 36462 5784
145 3 36494 5765
146 3 36566 5739
147 3 36936 5708
148 3 37092 5675
149 3 37234 5650
150 3 37456 5618
151 3 37624 5594
152 3 37688 5571
153 3 37888 5542
154 3 38786 5515
155 3 38840 5494
156 3 38904 5472
157 3 39030 5450
158 3 39096 5428
159 3 39170 5413
160 3 39192 5402
161 3 39310 5370
162 3 39558 5346
163 3 39638 5326
164 3 39748 5296
165 3 39822 5279
166 3 39918 5257
167 3 39960 5239
168 3 40084 5222
169 3 40162 5203
170 3 40190 5188
171 3 40270 5170
172 3 40314 5147
173 3 40428 5127
174 3 40530 5103
175 3 40638 5075
176 3 40692 5059
177 3 41148 5039
178 3 41302 5018
179 3 41348 4998
180 3 41446 4984
181 3 41482 4967
182 3 41538 4949
183 3 41600 4928
184 3 41636 4915
185 3 41700 4905
186 3 41718 4895
187 3 41764 4876
188 3 41810 4864
189 3 41844 4853
190 3 41880 4842
191 3 41914 4836
192 3 41954 4824
193 3 41984 4808
194 3 42030 4790
195 3 42080 4782
196 3 42268 4767
197 3 42292 4758
