crosslink_id	type	effective_functionality	scanlan_classification
4	Tetra-S	2	bridging
14	Tetra-S	3	effective
19	Tetra-S	3	effective
24	Tetra-S	3	effective
29	Tetra-S	0	ineffective
39	Tetra-S	3	effective
49	Tetra-S	0	ineffective
54	Tetra-S	2	bridging
59	Tetra-S	3	effective
64	Tetra-S	3	effective
69	Tetra-S	2	bridging
74	Tetra-S	0	ineffective
79	Tetra-S	3	effective
84	Tetra-S	0	ineffective
89	Tetra-S	2	bridging
99	Tetra-S	2	bridging
104	Tetra-S	0	ineffective
119	Tetra-S	2	bridging
124	Tetra-S	0	ineffective
129	Tetra-S	3	effective
144	Tetra-S	3	effective
149	Tetra-S	2	bridging
154	Tetra-S	0	ineffective
169	Tetra-S	3	effective
174	Tetra-S	2	bridging
179	Tetra-S	3	effective
184	Tetra-S	0	ineffective
189	Tetra-S	3	effective
199	Tetra-S	0	ineffective
204	Tetra-S	3	effective
209	Tetra-S	3	effective
214	Tetra-S	0	ineffective
219	Tetra-S	2	bridging
224	Tetra-S	4	effective
229	Tetra-S	0	ineffective
234	Tetra-S	0	ineffective
239	Tetra-S	0	ineffective
244	Tetra-S	0	ineffective
249	Tetra-S	2	bridging
254	Tetra-S	0	ineffective
259	Tetra-S	2	bridging
264	Tetra-S	0	ineffective
269	Tetra-S	3	effective
274	Tetra-S	2	bridging
279	Tetra-S	3	effective
284	Tetra-S	0	ineffective
289	Tetra-S	3	effective
294	Tetra-S	0	ineffective
299	Tetra-S	0	ineffective
304	Tetra-S	3	effective
314	Tetra-S	0	ineffective
319	Tetra-S	0	ineffective
329	Tetra-S	0	ineffective
334	Tetra-S	2	bridging
344	Tetra-S	0	ineffective
354	Tetra-S	2	bridging
359	Tetra-S	2	bridging
364	Tetra-S	2	bridging
374	Tetra-S	0	ineffective
379	Tetra-S	0	ineffective
384	Tetra-S	0	ineffective
389	Tetra-S	0	ineffective
394	Tetra-S	0	ineffective
404	Tetra-S	2	bridging
414	Tetra-S	0	ineffective
419	Tetra-S	0	ineffective
424	Tetra-S	0	ineffective
429	Tetra-S	3	effective
434	Tetra-S	0	ineffective
439	Tetra-S	3	effective
444	Tetra-S	0	ineffective
449	Tetra-S	0	ineffective
454	Tetra-S	4	effective
459	Tetra-S	0	ineffective
464	Tetra-S	3	effective
469	Tetra-S	0	ineffective
474	Tetra-S	2	bridging
479	Tetra-S	0	ineffective
484	Tetra-S	0	ineffective
489	Tetra-S	3	effective
494	Tetra-S	0	ineffective
499	Tetra-S	2	bridging
