crosslink_id	type	effective_functionality	scanlan_classification
4	Tetra-S	4	effective
9	Tetra-S	0	ineffective
14	Tetra-S	2	bridging
19	Tetra-S	4	effective
24	Tetra-S	3	effective
29	Tetra-S	4	effective
34	Tetra-S	2	bridging
39	Tetra-S	3	effective
44	Tetra-S	4	effective
49	Tetra-S	2	bridging
54	Tetra-S	2	bridging
59	Tetra-S	2	bridging
64	Tetra-S	4	effective
69	Tetra-S	2	bridging
74	Tetra-S	3	effective
79	Tetra-S	0	ineffective
84	Tetra-S	0	ineffective
89	Tetra-S	2	bridging
94	Tetra-S	3	effective
99	Tetra-S	4	effective
104	Tetra-S	4	effective
109	Tetra-S	3	effective
114	Tetra-S	2	bridging
119	Tetra-S	0	ineffective
124	Tetra-S	4	effective
129	Tetra-S	2	bridging
134	Tetra-S	4	effective
139	Tetra-S	2	bridging
144	Tetra-S	0	ineffective
149	Tetra-S	2	bridging
154	Tetra-S	3	effective
159	Tetra-S	3	effective
164	Tetra-S	2	bridging
174	Tetra-S	0	ineffective
179	Tetra-S	0	ineffective
184	Tetra-S	3	effective
189	Tetra-S	2	bridging
194	Tetra-S	3	effective
199	Tetra-S	2	bridging
204	Tetra-S	2	bridging
209	Tetra-S	4	effective
214	Tetra-S	3	effective
219	Tetra-S	4	effective
224	Tetra-S	4	effective
229	Tetra-S	2	bridging
234	Tetra-S	2	bridging
239	Tetra-S	3	effective
244	Tetra-S	3	effective
249	Tetra-S	4	effective
254	Tetra-S	4	effective
259	Tetra-S	3	effective
264	Tetra-S	3	effective
269	Tetra-S	3	effective
274	Tetra-S	4	effective
279	Tetra-S	4	effective
284	Tetra-S	2	bridging
289	Tetra-S	3	effective
294	Tetra-S	4	effective
299	Tetra-S	2	bridging
304	Tetra-S	3	effective
309	Tetra-S	4	effective
314	Tetra-S	3	effective
319	Tetra-S	3	effective
324	Tetra-S	3	effective
329	Tetra-S	4	effective
334	Tetra-S	4	effective
339	Tetra-S	2	bridging
344	Tetra-S	3	effective
349	Tetra-S	0	ineffective
