crosslink_id	type	effective_functionality	scanlan_classification
4	Tetra-S	3	effective
9	Tetra-S	3	effective
14	Tetra-S	3	effective
19	Tetra-S	3	effective
24	Tetra-S	3	effective
34	Tetra-S	0	ineffective
54	Tetra-S	2	bridging
59	Tetra-S	2	bridging
64	Tetra-S	2	bridging
69	Tetra-S	3	effective
74	Tetra-S	0	ineffective
79	Tetra-S	3	effective
94	Tetra-S	4	effective
99	Tetra-S	0	ineffective
104	Tetra-S	2	bridging
109	Tetra-S	2	bridging
114	Tetra-S	0	ineffective
119	Tetra-S	0	ineffective
124	Tetra-S	0	ineffective
129	Tetra-S	2	bridging
134	Tetra-S	0	ineffective
144	Tetra-S	2	bridging
149	Tetra-S	4	effective
154	Tetra-S	0	ineffective
159	Tetra-S	0	ineffective
164	Tetra-S	4	effective
169	Tetra-S	2	bridging
174	Tetra-S	2	bridging
179	Tetra-S	3	effective
184	Tetra-S	3	effective
189	Tetra-S	4	effective
194	Tetra-S	0	ineffective
199	Tetra-S	0	ineffective
204	Tetra-S	2	bridging
209	Tetra-S	0	ineffective
214	Tetra-S	2	bridging
219	Tetra-S	0	ineffective
224	Tetra-S	0	ineffective
229	Tetra-S	4	effective
239	Tetra-S	2	bridging
244	Tetra-S	2	bridging
249	Tetra-S	3	effective
254	Tetra-S	0	ineffective
259	Tetra-S	2	bridging
264	Tetra-S	0	ineffective
269	Tetra-S	3	effective
274	Tetra-S	0	ineffective
284	Tetra-S	3	effective
294	Tetra-S	2	bridging
299	Tetra-S	2	bridging
304	Tetra-S	3	effective
314	Tetra-S	0	ineffective
319	Tetra-S	0	ineffective
324	Tetra-S	2	bridging
329	Tetra-S	2	bridging
339	Tetra-S	0	ineffective
344	Tetra-S	4	effective
349	Tetra-S	2	bridging
354	Tetra-S	0	ineffective
359	Tetra-S	0	ineffective
364	Tetra-S	2	bridging
369	Tetra-S	4	effective
374	Tetra-S	2	bridging
379	Tetra-S	0	ineffective
389	Tetra-S	0	ineffective
399	Tetra-S	0	ineffective
404	Tetra-S	2	bridging
409	Tetra-S	3	effective
414	Tetra-S	4	effective
419	Tetra-S	3	effective
424	Tetra-S	2	bridging
429	Tetra-S	2	bridging
434	Tetra-S	3	effective
439	Tetra-S	0	ineffective
444	Tetra-S	2	bridging
449	Tetra-S	2	bridging
454	Tetra-S	0	ineffective
459	Tetra-S	4	effective
464	Tetra-S	2	bridging
469	Tetra-S	3	effective
474	Tetra-S	0	ineffective
479	Tetra-S	2	bridging
484	Tetra-S	2	bridging
489	Tetra-S	2	bridging
494	Tetra-S	2	bridging
499	Tetra-S	3	effective
504	Tetra-S	3	effective
509	Tetra-S	3	effective
514	Tetra-S	2	bridging
519	Tetra-S	2	bridging
524	Tetra-S	0	ineffective
529	Tetra-S	3	effective
534	Tetra-S	0	ineffective
539	Tetra-S	2	bridging
544	Tetra-S	2	bridging
549	Tetra-S	0	ineffective
554	Tetra-S	0	ineffective
564	Tetra-S	3	effective
569	Tetra-S	0	ineffective
574	Tetra-S	2	bridging
579	Tetra-S	2	bridging
584	Tetra-S	0	ineffective
589	Tetra-S	0	ineffective
594	Tetra-S	2	bridging
604	Tetra-S	0	ineffective
609	Tetra-S	0	ineffective
614	Tetra-S	0	ineffective
624	Tetra-S	2	bridging
629	Tetra-S	2	bridging
634	Tetra-S	0	ineffective
644	Tetra-S	2	bridging
654	Tetra-S	2	bridging
664	Tetra-S	0	ineffective
669	Tetra-S	4	effective
674	Tetra-S	2	bridging
679	Tetra-S	0	ineffective
684	Tetra-S	0	ineffective
689	Tetra-S	2	bridging
694	Tetra-S	4	effective
709	Tetra-S	2	bridging
714	Tetra-S	2	bridging
719	Tetra-S	4	effective
724	Tetra-S	2	bridging
734	Tetra-S	0	ineffective
739	Tetra-S	0	ineffective
744	Tetra-S	3	effective
749	Tetra-S	2	bridging
754	Tetra-S	0	ineffective
759	Tetra-S	3	effective
769	Tetra-S	0	ineffective
774	Tetra-S	0	ineffective
779	Tetra-S	2	bridging
784	Tetra-S	2	bridging
789	Tetra-S	2	bridging
794	Tetra-S	2	bridging
799	Tetra-S	4	effective
804	Tetra-S	3	effective
809	Tetra-S	2	bridging
819	Tetra-S	2	bridging
824	Tetra-S	3	effective
829	Tetra-S	2	bridging
834	Tetra-S	2	bridging
839	Tetra-S	2	bridging
849	Tetra-S	0	ineffective
854	Tetra-S	2	bridging
859	Tetra-S	2	bridging
864	Tetra-S	2	bridging
869	Tetra-S	2	bridging
874	Tetra-S	2	bridging
879	Tetra-S	3	effective
884	Tetra-S	0	ineffective
889	Tetra-S	3	effective
894	Tetra-S	0	ineffective
899	Tetra-S	2	bridging
904	Tetra-S	4	effective
909	Tetra-S	2	bridging
914	Tetra-S	2	bridging
919	Tetra-S	2	bridging
924	Tetra-S	0	ineffective
929	Tetra-S	2	bridging
934	Tetra-S	2	bridging
939	Tetra-S	0	ineffective
944	Tetra-S	0	ineffective
949	Tetra-S	2	bridging
