crosslink_id	type	effective_functionality	scanlan_classification
4	Tetra-S	2	bridging
14	Tetra-S	0	ineffective
19	Tetra-S	2	bridging
29	Tetra-S	2	bridging
34	Tetra-S	0	ineffective
39	Tetra-S	3	effective
44	Tetra-S	2	bridging
49	Tetra-S	4	effective
59	Tetra-S	0	ineffective
64	Tetra-S	3	effective
69	Tetra-S	2	bridging
74	Tetra-S	2	bridging
79	Tetra-S	0	ineffective
84	Tetra-S	0	ineffective
89	Tetra-S	3	effective
94	Tetra-S	4	effective
99	Tetra-S	2	bridging
104	Tetra-S	2	bridging
109	Tetra-S	0	ineffective
114	Tetra-S	2	bridging
119	Tetra-S	2	bridging
124	Tetra-S	3	effective
129	Tetra-S	0	ineffective
134	Tetra-S	2	bridging
139	Tetra-S	3	effective
149	Tetra-S	3	effective
154	Tetra-S	2	bridging
159	Tetra-S	3	effective
169	Tetra-S	3	effective
174	Tetra-S	0	ineffective
179	Tetra-S	2	bridging
184	Tetra-S	2	bridging
189	Tetra-S	2	bridging
199	Tetra-S	2	bridging
204	Tetra-S	0	ineffective
209	Tetra-S	3	effective
214	Tetra-S	2	bridging
219	Tetra-S	0	ineffective
224	Tetra-S	0	ineffective
229	Tetra-S	2	bridging
239	Tetra-S	0	ineffective
244	Tetra-S	3	effective
249	Tetra-S	0	ineffective
254	Tetra-S	0	ineffective
259	Tetra-S	3	effective
264	Tetra-S	3	effective
269	Tetra-S	3	effective
279	Tetra-S	3	effective
284	Tetra-S	2	bridging
289	Tetra-S	0	ineffective
294	Tetra-S	2	bridging
299	Tetra-S	3	effective
304	Tetra-S	2	bridging
309	Tetra-S	3	effective
314	Tetra-S	2	bridging
319	Tetra-S	2	bridging
324	Tetra-S	3	effective
329	Tetra-S	0	ineffective
334	Tetra-S	3	effective
339	Tetra-S	0	ineffective
344	Tetra-S	0	ineffective
349	Tetra-S	0	ineffective
354	Tetra-S	3	effective
359	Tetra-S	2	bridging
364	Tetra-S	2	bridging
369	Tetra-S	0	ineffective
374	Tetra-S	2	bridging
379	Tetra-S	3	effective
384	Tetra-S	2	bridging
389	Tetra-S	3	effective
394	Tetra-S	3	effective
399	Tetra-S	0	ineffective
404	Tetra-S	0	ineffective
409	Tetra-S	0	ineffective
414	Tetra-S	4	effective
419	Tetra-S	3	effective
424	Tetra-S	0	ineffective
429	Tetra-S	2	bridging
434	Tetra-S	0	ineffective
439	Tetra-S	0	ineffective
444	Tetra-S	2	bridging
459	Tetra-S	3	effective
464	Tetra-S	3	effective
469	Tetra-S	2	bridging
474	Tetra-S	2	bridging
479	Tetra-S	2	bridging
484	Tetra-S	4	effective
494	Tetra-S	3	effective
499	Tetra-S	0	ineffective
504	Tetra-S	3	effective
509	Tetra-S	2	bridging
514	Tetra-S	0	ineffective
519	Tetra-S	3	effective
524	Tetra-S	2	bridging
529	Tetra-S	0	ineffective
534	Tetra-S	0	ineffective
539	Tetra-S	2	bridging
544	Tetra-S	2	bridging
549	Tetra-S	0	ineffective
554	Tetra-S	0	ineffective
564	Tetra-S	0	ineffective
569	Tetra-S	3	effective
574	Tetra-S	0	ineffective
579	Tetra-S	0	ineffective
584	Tetra-S	0	ineffective
589	Tetra-S	3	effective
594	Tetra-S	0	ineffective
599	Tetra-S	2	bridging
609	Tetra-S	4	effective
614	Tetra-S	2	bridging
619	Tetra-S	2	bridging
624	Tetra-S	0	ineffective
629	Tetra-S	0	ineffective
634	Tetra-S	0	ineffective
639	Tetra-S	2	bridging
644	Tetra-S	3	effective
649	Tetra-S	2	bridging
654	Tetra-S	0	ineffective
659	Tetra-S	4	effective
664	Tetra-S	0	ineffective
669	Tetra-S	3	effective
674	Tetra-S	4	effective
679	Tetra-S	0	ineffective
689	Tetra-S	2	bridging
694	Tetra-S	0	ineffective
699	Tetra-S	2	bridging
704	Tetra-S	4	effective
709	Tetra-S	3	effective
714	Tetra-S	2	bridging
719	Tetra-S	3	effective
729	Tetra-S	0	ineffective
734	Tetra-S	2	bridging
739	Tetra-S	0	ineffective
744	Tetra-S	2	bridging
749	Tetra-S	3	effective
754	Tetra-S	0	ineffective
764	Tetra-S	2	bridging
769	Tetra-S	0	ineffective
779	Tetra-S	0	ineffective
784	Tetra-S	0	ineffective
