dangle_size count
2 149
4 204
5 245
6 246
7 152
8 47
9 4
10 49
11 153
12 68
13 93
14 17
15 8
16 25
17 104
18 44
19 75
20 15
21 3
22 19
23 68
24 18
25 39
26 7
27 5
28 12
29 45
30 12
31 24
32 5
33 3
34 8
35 28
36 9
37 19
38 4
39 6
40 5
41 22
42 16
43 11
44 1
45 6
46 5
47 18
48 4
49 14
50 5
51 2
52 2
53 9
54 4
55 14
57 1
58 5
59 8
60 3
61 7
62 2
63 2
65 2
67 5
68 1
69 2
70 1
71 5
72 2
73 1
74 1
75 1
76 2
77 3
78 2
79 2
81 1
82 1
83 1
84 1
85 1
87 1
91 1
95 1
97 1
99 1
104 1
106 1
107 1
108 1
110 1
113 1
114 1
116 2
117 1
121 1
123 1
128 1
129 1
132 1
141 1
159 1
166 1
203 1
234 1
246 1
259 1
360 1
394 1
486 1
