dangling_strand count
2 248
3 1254
4 782
6 275
7 53
8 42
9 233
10 142
11 3
12 94
13 25
14 18
15 54
16 64
17 3
18 27
19 8
20 8
21 22
22 23
23 3
24 7
25 11
26 8
27 12
28 17
30 7
32 2
33 5
34 11
36 5
37 2
38 2
39 3
40 4
41 1
42 3
43 2
44 1
45 1
46 1
48 2
51 1
54 1
56 1
59 1
60 1
61 1
63 1
68 1
69 1
126 1
primary_loop_size data
4.0 40
5.0 42
6.0 5
7.0 17
8.0 8
9.0 5
10.0 2
11.0 3
12.0 1
13.0 4
14.0 2
16.0 2
17.0 2
21.0 1
30.0 1
secondary_loop_size data
3.0 61
4.0 44
5.0 11
6.0 22
7.0 15
8.0 10
9.0 12
10.0 2
11.0 8
12.0 2
14.0 1
15.0 4
16.0 2
17.0 1
18.0 1
20.0 1
23.0 1
25.0 1
tertiary_loop_size data
2.0 34
3.0 36
4.0 17
5.0 18
6.0 20
7.0 9
8.0 16
9.0 7
10.0 4
11.0 8
12.0 6
13.0 1
14.0 5
15.0 1
16.0 2
17.0 2
18.0 2
19.0 3
21.0 1
22.0 2
24.0 3
25.0 1
29.0 1
33.0 1
55.0 1
quaternary_loop_size data
2.0 8
3.0 11
4.0 10
5.0 11
6.0 8
7.0 8
8.0 11
9.0 9
10.0 9
11.0 5
12.0 11
13.0 4
14.0 5
15.0 6
16.0 7
17.0 4
18.0 2
19.0 1
20.0 2
21.0 4
22.0 4
23.0 1
24.0 2
25.0 2
26.0 2
27.0 1
32.0 1
36.0 1
39.0 1
