dangling_strand count
1 4254
2 455
4 137
5 104
6 452
7 249
8 13
9 113
10 124
11 26
13 19
14 14
15 35
16 33
17 3
18 6
19 29
20 3
22 2
23 6
24 5
25 3
27 3
28 2
29 1
30 1
31 2
33 1
34 2
46 1
primary_loop_size data
4.0 10
5.0 2
6.0 87
7.0 1
8.0 6
9.0 6
11.0 1
13.0 1
16.0 1
18.0 1
24.0 1
secondary_loop_size data
3.0 83
4.0 37
5.0 82
6.0 7
7.0 35
8.0 20
9.0 11
10.0 13
11.0 3
12.0 5
14.0 5
19.0 1
37.0 1
tertiary_loop_size data
2.0 65
3.0 42
4.0 44
5.0 15
6.0 32
7.0 33
8.0 16
9.0 29
10.0 12
11.0 15
12.0 3
13.0 9
14.0 1
15.0 2
17.0 2
18.0 1
20.0 1
21.0 1
25.0 1
31.0 1
quaternary_loop_size data
2.0 18
3.0 24
4.0 24
5.0 30
6.0 26
7.0 23
8.0 35
9.0 21
10.0 23
11.0 15
12.0 17
13.0 4
14.0 8
15.0 9
16.0 5
17.0 7
18.0 2
19.0 7
20.0 2
21.0 1
22.0 1
23.0 1
24.0 1
25.0 2
26.0 2
27.0 1
30.0 1
