crosslink_id	type	effective_functionality	scanlan_classification
9	Tetra-S	3	effective
19	Tetra-S	2	bridging
24	Tetra-S	0	ineffective
29	Tetra-S	4	effective
34	Tetra-S	0	ineffective
39	Tetra-S	2	bridging
49	Tetra-S	2	bridging
54	Tetra-S	0	ineffective
59	Tetra-S	4	effective
64	Tetra-S	2	bridging
74	Tetra-S	2	bridging
79	Tetra-S	3	effective
84	Tetra-S	0	ineffective
89	Tetra-S	4	effective
94	Tetra-S	0	ineffective
99	Tetra-S	2	bridging
104	Tetra-S	0	ineffective
114	Tetra-S	4	effective
119	Tetra-S	2	bridging
124	Tetra-S	0	ineffective
129	Tetra-S	2	bridging
134	Tetra-S	0	ineffective
139	Tetra-S	3	effective
144	Tetra-S	2	bridging
149	Tetra-S	4	effective
154	Tetra-S	0	ineffective
159	Tetra-S	0	ineffective
164	Tetra-S	4	effective
174	Tetra-S	0	ineffective
179	Tetra-S	2	bridging
184	Tetra-S	4	effective
189	Tetra-S	3	effective
194	Tetra-S	0	ineffective
199	Tetra-S	0	ineffective
209	Tetra-S	2	bridging
214	Tetra-S	3	effective
219	Tetra-S	0	ineffective
224	Tetra-S	2	bridging
229	Tetra-S	3	effective
234	Tetra-S	2	bridging
244	Tetra-S	4	effective
249	Tetra-S	0	ineffective
254	Tetra-S	2	bridging
264	Tetra-S	0	ineffective
274	Tetra-S	0	ineffective
279	Tetra-S	3	effective
284	Tetra-S	2	bridging
289	Tetra-S	0	ineffective
294	Tetra-S	0	ineffective
299	Tetra-S	2	bridging
304	Tetra-S	3	effective
309	Tetra-S	0	ineffective
319	Tetra-S	2	bridging
324	Tetra-S	2	bridging
329	Tetra-S	3	effective
334	Tetra-S	2	bridging
339	Tetra-S	3	effective
344	Tetra-S	2	bridging
349	Tetra-S	0	ineffective
354	Tetra-S	3	effective
359	Tetra-S	2	bridging
364	Tetra-S	2	bridging
374	Tetra-S	2	bridging
384	Tetra-S	0	ineffective
389	Tetra-S	2	bridging
394	Tetra-S	2	bridging
399	Tetra-S	0	ineffective
404	Tetra-S	2	bridging
409	Tetra-S	2	bridging
414	Tetra-S	2	bridging
419	Tetra-S	2	bridging
429	Tetra-S	1	ineffective
434	Tetra-S	0	ineffective
439	Tetra-S	0	ineffective
444	Tetra-S	2	bridging
449	Tetra-S	0	ineffective
454	Tetra-S	0	ineffective
469	Tetra-S	2	bridging
474	Tetra-S	0	ineffective
479	Tetra-S	1	ineffective
484	Tetra-S	0	ineffective
489	Tetra-S	2	bridging
