dangling_strand count
1 2032
2 335
3 740
4 566
5 28
6 404
7 244
8 15
9 116
10 96
11 13
12 84
13 54
14 12
15 26
16 31
17 4
18 13
19 21
20 8
21 19
22 13
23 2
24 5
25 7
26 2
27 2
28 2
29 3
30 2
31 3
33 1
34 2
36 3
39 2
40 2
42 2
43 1
48 1
54 1
56 1
62 1
100 1
primary_loop_size data
4.0 15
5.0 31
6.0 41
7.0 8
8.0 10
9.0 3
10.0 1
11.0 2
12.0 2
14.0 2
16.0 1
18.0 2
secondary_loop_size data
3.0 63
4.0 43
5.0 33
6.0 18
7.0 37
8.0 15
9.0 7
10.0 12
11.0 7
12.0 9
13.0 5
14.0 2
16.0 1
17.0 3
18.0 1
19.0 1
21.0 1
tertiary_loop_size data
2.0 40
3.0 42
4.0 37
5.0 25
6.0 33
7.0 13
8.0 20
9.0 25
10.0 8
11.0 12
12.0 4
13.0 4
14.0 4
15.0 8
16.0 3
17.0 2
18.0 2
20.0 3
22.0 1
23.0 2
26.0 1
quaternary_loop_size data
2.0 13
3.0 19
4.0 22
5.0 25
6.0 17
7.0 27
8.0 20
9.0 15
10.0 15
11.0 16
12.0 10
13.0 9
14.0 9
15.0 6
16.0 1
17.0 4
18.0 4
19.0 5
20.0 5
21.0 1
22.0 2
23.0 1
24.0 1
25.0 2
26.0 3
29.0 2
