# frame percolation_dimension largest_cluster num_molecules
0 0 0 0
1 0 0 0
2 0 0 0
3 0 0 0
4 0 0 0
5 0 0 0
6 0 0 0
7 0 0 0
8 0 0 0
9 0 0 0
10 0 0 0
11 0 0 0
12 0 0 0
13 0 0 0
14 0 0 0
15 0 0 0
16 0 0 0
17 0 0 0
18 0 0 0
19 0 0 0
20 0 0 0
21 0 0 0
22 0 0 0
23 0 0 0
24 0 0 0
25 0 0 0
26 0 0 0
27 0 0 0
28 0 0 0
29 0 0 0
30 0 0 0
31 0 0 0
32 0 0 0
33 0 0 0
34 0 0 0
35 0 0 0
36 0 0 0
37 0 0 0
38 0 0 0
39 0 0 0
40 0 0 0
41 0 0 0
42 0 0 0
43 0 0 0
44 0 0 0
45 0 0 0
46 0 0 0
47 0 0 0
48 0 0 0
49 0 0 0
50 0 0 0
51 0 0 0
52 0 0 0
53 0 0 0
54 1 3748 10773
55 1 4235 10645
56 1 5109 10559
57 1 6780 10463
58 1 7660 10367
59 1 8609 10263
60 2 9051 10164
61 2 9221 10067
62 2 9872 9948
63 2 10318 9862
64 2 10586 9766
65 2 10982 9656
66 2 11438 9549
67 3 15691 9446
68 3 15943 9348
69 3 16094 9260
70 3 17141 9169
71 3 17434 9087
72 3 17480 8998
73 3 17820 8924
74 3 18089 8849
75 3 18570 8785
76 3 18803 8706
77 3 20277 8630
78 3 20544 8558
79 3 21352 8487
80 3 22818 8412
81 3 23184 8342
82 3 24091 8270
83 3 24315 8187
84 3 24804 8116
85 3 25137 8043
86 3 25517 7985
87 3 25905 7910
88 3 26401 7836
89 3 26671 7767
90 3 27419 7719
91 3 27835 7649
92 3 28066 7588
93 3 28211 7521
94 3 28425 7450
95 3 28783 7387
96 3 28933 7343
97 3 29543 7293
98 3 29763 7238
99 3 29988 7180
100 3 30423 7115
101 3 30936 7059
102 3 31333 6992
103 3 31658 6929
104 3 31935 6868
105 3 32073 6820
106 3 32417 6769
107 3 32603 6729
108 3 33137 6680
109 3 33556 6634
110 3 33716 6590
111 3 34210 6534
112 3 34355 6497
113 3 34587 6452
114 3 34819 6410
115 3 34916 6359
116 3 35079 6327
117 3 35232 6289
118 3 35338 6261
119 3 35495 6218
120 3 35664 6182
121 3 35805 6153
122 3 35911 6124
123 3 35983 6097
124 3 36040 6068
125 3 36253 6030
126 3 36505 5992
127 3 36554 5965
128 3 36909 5937
129 3 37090 5918
130 3 37215 5891
131 3 37375 5850
132 3 37529 5821
133 3 37660 5786
134 3 37879 5755
135 3 37929 5723
136 3 37980 5703
137 3 38024 5681
138 3 38154 5649
139 3 38264 5628
140 3 38338 5603
141 3 38459 5579
142 3 38591 5547
143 3 38653 5523
144 3 38818 5492
145 3 38889 5470
146 3 38966 5440
147 3 39055 5414
148 3 39146 5394
149 3 39259 5364
150 3 39364 5347
151 3 39408 5331
152 3 39501 5304
153 3 39651 5277
154 3 39769 5256
155 3 39862 5227
156 3 39924 5197
157 3 40096 5179
158 3 40279 5151
159 3 40537 5130
160 3 40817 5096
161 3 40973 5069
162 3 41095 5046
163 3 41154 5026
164 3 41348 5001
165 3 41453 4980
166 3 41473 4965
167 3 41577 4944
168 3 41617 4922
169 3 41681 4902
170 3 41722 4883
171 3 41744 4870
172 3 41790 4845
173 3 41900 4823
174 3 41959 4809
175 3 42037 4794
176 3 42071 4778
177 3 42240 4757
178 3 42301 4740
179 3 42374 4722
180 3 42468 4703
181 3 42529 4691
182 3 42583 4674
183 3 42768 4660
184 3 42806 4649
185 3 42852 4626
186 3 42908 4611
187 3 42987 4599
188 3 43078 4583
189 3 43168 4569
190 3 43213 4552
191 3 43385 4533
192 3 43526 4512
193 3 43562 4501
194 3 43608 4489
195 3 43618 4482
196 3 43690 4460
