crosslink_id	type	effective_functionality	scanlan_classification
9	Tetra-S	2	bridging
14	Tetra-S	2	bridging
19	Tetra-S	0	ineffective
24	Tetra-S	2	bridging
29	Tetra-S	0	ineffective
34	Tetra-S	0	ineffective
39	Tetra-S	2	bridging
44	Tetra-S	2	bridging
49	Tetra-S	2	bridging
54	Tetra-S	0	ineffective
59	Tetra-S	2	bridging
64	Tetra-S	0	ineffective
69	Tetra-S	0	ineffective
74	Tetra-S	0	ineffective
79	Tetra-S	0	ineffective
84	Tetra-S	0	ineffective
89	Tetra-S	0	ineffective
94	Tetra-S	0	ineffective
99	Tetra-S	0	ineffective
104	Tetra-S	2	bridging
109	Tetra-S	2	bridging
114	Tetra-S	3	effective
119	Tetra-S	0	ineffective
124	Tetra-S	3	effective
129	Tetra-S	0	ineffective
134	Tetra-S	2	bridging
139	Tetra-S	3	effective
144	Tetra-S	2	bridging
149	Tetra-S	0	ineffective
154	Tetra-S	3	effective
159	Tetra-S	2	bridging
164	Tetra-S	0	ineffective
169	Tetra-S	0	ineffective
174	Tetra-S	2	bridging
179	Tetra-S	3	effective
184	Tetra-S	0	ineffective
189	Tetra-S	0	ineffective
194	Tetra-S	0	ineffective
199	Tetra-S	0	ineffective
204	Tetra-S	0	ineffective
214	Tetra-S	2	bridging
219	Tetra-S	0	ineffective
224	Tetra-S	0	ineffective
229	Tetra-S	0	ineffective
234	Tetra-S	0	ineffective
239	Tetra-S	0	ineffective
249	Tetra-S	4	effective
254	Tetra-S	0	ineffective
259	Tetra-S	2	bridging
264	Tetra-S	2	bridging
269	Tetra-S	3	effective
279	Tetra-S	3	effective
284	Tetra-S	2	bridging
289	Tetra-S	0	ineffective
294	Tetra-S	4	effective
304	Tetra-S	2	bridging
314	Tetra-S	2	bridging
319	Tetra-S	3	effective
329	Tetra-S	0	ineffective
334	Tetra-S	3	effective
339	Tetra-S	2	bridging
344	Tetra-S	0	ineffective
349	Tetra-S	2	bridging
359	Tetra-S	0	ineffective
364	Tetra-S	3	effective
374	Tetra-S	0	ineffective
379	Tetra-S	3	effective
384	Tetra-S	2	bridging
389	Tetra-S	0	ineffective
394	Tetra-S	3	effective
399	Tetra-S	4	effective
404	Tetra-S	3	effective
409	Tetra-S	0	ineffective
414	Tetra-S	2	bridging
419	Tetra-S	3	effective
424	Tetra-S	2	bridging
429	Tetra-S	2	bridging
434	Tetra-S	2	bridging
444	Tetra-S	3	effective
449	Tetra-S	0	ineffective
454	Tetra-S	0	ineffective
464	Tetra-S	2	bridging
474	Tetra-S	2	bridging
479	Tetra-S	2	bridging
484	Tetra-S	2	bridging
489	Tetra-S	0	ineffective
494	Tetra-S	0	ineffective
499	Tetra-S	0	ineffective
504	Tetra-S	3	effective
509	Tetra-S	2	bridging
514	Tetra-S	3	effective
524	Tetra-S	0	ineffective
529	Tetra-S	3	effective
534	Tetra-S	0	ineffective
539	Tetra-S	0	ineffective
544	Tetra-S	3	effective
549	Tetra-S	2	bridging
554	Tetra-S	3	effective
559	Tetra-S	2	bridging
564	Tetra-S	2	bridging
569	Tetra-S	2	bridging
574	Tetra-S	2	bridging
579	Tetra-S	0	ineffective
584	Tetra-S	0	ineffective
589	Tetra-S	0	ineffective
599	Tetra-S	0	ineffective
604	Tetra-S	0	ineffective
609	Tetra-S	2	bridging
614	Tetra-S	0	ineffective
624	Tetra-S	3	effective
629	Tetra-S	0	ineffective
634	Tetra-S	2	bridging
639	Tetra-S	2	bridging
644	Tetra-S	0	ineffective
654	Tetra-S	0	ineffective
659	Tetra-S	4	effective
664	Tetra-S	4	effective
669	Tetra-S	4	effective
674	Tetra-S	2	bridging
679	Tetra-S	2	bridging
684	Tetra-S	2	bridging
694	Tetra-S	2	bridging
