dangling_strand count
1 802
5 580
7 165
10 15
11 219
13 49
14 15
16 5
17 66
18 3
19 27
20 3
22 12
23 25
24 3
25 7
26 5
28 9
29 11
30 6
31 4
32 5
34 5
35 4
36 1
37 1
38 1
39 1
40 4
41 5
42 4
43 1
45 1
47 2
48 2
53 2
54 1
60 1
62 1
64 2
65 1
78 1
91 1
primary_loop_size data
6.0 374
12.0 51
13.0 9
18.0 9
19.0 2
20.0 2
24.0 2
25.0 1
31.0 1
secondary_loop_size data
12.0 80
18.0 30
19.0 5
24.0 16
25.0 5
30.0 8
31.0 3
36.0 1
37.0 1
44.0 1
48.0 1
50.0 1
tertiary_loop_size data
12.0 2
18.0 26
24.0 12
25.0 4
30.0 8
31.0 7
36.0 7
42.0 3
49.0 1
61.0 1
quaternary_loop_size data
18.0 1
24.0 15
30.0 22
31.0 3
36.0 10
37.0 7
42.0 5
43.0 4
44.0 1
45.0 1
48.0 4
49.0 3
50.0 2
57.0 1
60.0 1
64.0 1
72.0 1
74.0 1
