dangling_strand count
1 849
5 712
7 136
10 23
11 157
13 22
14 16
16 10
17 43
18 7
19 6
20 4
22 5
23 13
24 5
25 2
26 4
28 3
29 2
30 1
34 2
36 1
39 1
41 1
62 1
primary_loop_size data
6.0 446
12.0 35
13.0 7
18.0 2
19.0 1
24.0 1
secondary_loop_size data
12.0 129
18.0 25
19.0 10
24.0 6
25.0 2
30.0 6
31.0 1
50.0 1
tertiary_loop_size data
12.0 5
18.0 62
24.0 27
25.0 13
30.0 15
31.0 3
32.0 1
36.0 3
37.0 4
42.0 1
quaternary_loop_size data
18.0 2
24.0 46
30.0 27
31.0 6
36.0 12
37.0 10
38.0 1
42.0 5
43.0 2
44.0 1
48.0 3
49.0 4
54.0 3
55.0 2
