dangling_strand count
1 1156
5 1049
7 86
10 40
11 115
13 15
14 23
16 7
17 11
18 16
19 1
20 6
22 9
23 6
24 2
25 3
26 2
27 1
28 6
30 2
31 1
32 1
33 1
35 1
36 1
39 1
50 1
51 1
primary_loop_size data
6.0 495
12.0 13
13.0 10
20.0 1
secondary_loop_size data
12.0 149
18.0 22
19.0 16
24.0 2
25.0 9
31.0 1
45.0 1
tertiary_loop_size data
12.0 4
18.0 102
24.0 25
25.0 8
30.0 5
31.0 4
32.0 1
36.0 1
quaternary_loop_size data
18.0 5
24.0 81
30.0 42
31.0 12
36.0 12
37.0 7
38.0 3
43.0 6
44.0 1
49.0 1
50.0 2
55.0 1
