crosslink_id	type	effective_functionality	scanlan_classification
4	Tetra-S	0	ineffective
9	Tetra-S	0	ineffective
14	Tetra-S	2	bridging
19	Tetra-S	0	ineffective
24	Tetra-S	2	bridging
29	Tetra-S	2	bridging
34	Tetra-S	3	effective
39	Tetra-S	0	ineffective
44	Tetra-S	4	effective
49	Tetra-S	0	ineffective
54	Tetra-S	2	bridging
59	Tetra-S	2	bridging
69	Tetra-S	0	ineffective
74	Tetra-S	4	effective
84	Tetra-S	2	bridging
89	Tetra-S	0	ineffective
94	Tetra-S	0	ineffective
99	Tetra-S	3	effective
104	Tetra-S	2	bridging
114	Tetra-S	0	ineffective
119	Tetra-S	3	effective
124	Tetra-S	0	ineffective
129	Tetra-S	2	bridging
139	Tetra-S	3	effective
144	Tetra-S	2	bridging
154	Tetra-S	0	ineffective
159	Tetra-S	3	effective
164	Tetra-S	2	bridging
169	Tetra-S	2	bridging
179	Tetra-S	2	bridging
184	Tetra-S	2	bridging
189	Tetra-S	2	bridging
194	Tetra-S	4	effective
204	Tetra-S	0	ineffective
209	Tetra-S	2	bridging
214	Tetra-S	2	bridging
219	Tetra-S	3	effective
224	Tetra-S	2	bridging
229	Tetra-S	0	ineffective
234	Tetra-S	3	effective
239	Tetra-S	2	bridging
244	Tetra-S	3	effective
249	Tetra-S	0	ineffective
254	Tetra-S	3	effective
259	Tetra-S	2	bridging
264	Tetra-S	0	ineffective
269	Tetra-S	2	bridging
274	Tetra-S	2	bridging
279	Tetra-S	0	ineffective
284	Tetra-S	0	ineffective
289	Tetra-S	3	effective
294	Tetra-S	3	effective
299	Tetra-S	2	bridging
304	Tetra-S	0	ineffective
309	Tetra-S	4	effective
314	Tetra-S	0	ineffective
319	Tetra-S	4	effective
324	Tetra-S	2	bridging
329	Tetra-S	0	ineffective
334	Tetra-S	2	bridging
339	Tetra-S	2	bridging
344	Tetra-S	3	effective
349	Tetra-S	0	ineffective
354	Tetra-S	0	ineffective
359	Tetra-S	3	effective
364	Tetra-S	0	ineffective
369	Tetra-S	3	effective
379	Tetra-S	0	ineffective
384	Tetra-S	4	effective
389	Tetra-S	2	bridging
394	Tetra-S	3	effective
399	Tetra-S	2	bridging
404	Tetra-S	2	bridging
409	Tetra-S	0	ineffective
414	Tetra-S	2	bridging
419	Tetra-S	2	bridging
424	Tetra-S	2	bridging
429	Tetra-S	3	effective
434	Tetra-S	0	ineffective
439	Tetra-S	0	ineffective
444	Tetra-S	2	bridging
454	Tetra-S	3	effective
459	Tetra-S	2	bridging
464	Tetra-S	0	ineffective
469	Tetra-S	0	ineffective
474	Tetra-S	2	bridging
479	Tetra-S	3	effective
494	Tetra-S	3	effective
504	Tetra-S	0	ineffective
