crosslink_id	type	effective_functionality	scanlan_classification
20005	Carbon	3	effective
20010	Carbon	2	bridging
20021	Carbon	2	bridging
20022	Carbon	2	bridging
20025	Carbon	3	effective
20026	Carbon	3	effective
20029	Carbon	3	effective
20030	Carbon	3	effective
20034	Carbon	3	effective
20037	Carbon	0	ineffective
20038	Carbon	2	bridging
20041	Carbon	3	effective
20045	Carbon	2	bridging
20046	Carbon	3	effective
20049	Carbon	2	bridging
20053	Carbon	3	effective
20062	Carbon	3	effective
20065	Carbon	3	effective
20078	Carbon	3	effective
20089	Carbon	2	bridging
20097	Carbon	2	bridging
20098	Carbon	3	effective
20101	Carbon	2	bridging
20106	Carbon	2	bridging
20114	Carbon	2	bridging
20117	Carbon	0	ineffective
20125	Carbon	3	effective
20129	Carbon	3	effective
20134	Carbon	3	effective
20141	Carbon	3	effective
20142	Carbon	2	bridging
20146	Carbon	0	ineffective
20154	Carbon	0	ineffective
20161	Carbon	3	effective
20162	Carbon	3	effective
20169	Carbon	0	ineffective
20173	Carbon	0	ineffective
20174	Carbon	2	bridging
20182	Carbon	3	effective
20185	Carbon	3	effective
20189	Carbon	3	effective
20193	Carbon	3	effective
20194	Carbon	2	bridging
20197	Carbon	3	effective
20210	Carbon	0	ineffective
20213	Carbon	2	bridging
20214	Carbon	3	effective
20222	Carbon	3	effective
20225	Carbon	3	effective
20230	Carbon	3	effective
20233	Carbon	3	effective
20237	Carbon	2	bridging
20245	Carbon	2	bridging
20249	Carbon	2	bridging
20250	Carbon	2	bridging
20254	Carbon	0	ineffective
20258	Carbon	0	ineffective
20261	Carbon	0	ineffective
20265	Carbon	3	effective
20269	Carbon	2	bridging
20285	Carbon	3	effective
20286	Carbon	2	bridging
20289	Carbon	2	bridging
20290	Carbon	2	bridging
20297	Carbon	2	bridging
20302	Carbon	2	bridging
20306	Carbon	2	bridging
20313	Carbon	2	bridging
20314	Carbon	3	effective
20318	Carbon	3	effective
20325	Carbon	0	ineffective
20330	Carbon	0	ineffective
20333	Carbon	3	effective
20334	Carbon	2	bridging
20341	Carbon	3	effective
20345	Carbon	2	bridging
20346	Carbon	0	ineffective
20349	Carbon	2	bridging
20358	Carbon	3	effective
20361	Carbon	2	bridging
20362	Carbon	2	bridging
20366	Carbon	3	effective
20369	Carbon	2	bridging
20377	Carbon	3	effective
20381	Carbon	3	effective
20382	Carbon	2	bridging
20385	Carbon	2	bridging
20394	Carbon	0	ineffective
20397	Carbon	3	effective
20398	Carbon	3	effective
20405	Carbon	3	effective
20409	Carbon	3	effective
20410	Carbon	2	bridging
20413	Carbon	0	ineffective
20417	Carbon	3	effective
20421	Carbon	2	bridging
20425	Carbon	2	bridging
20426	Carbon	2	bridging
20441	Carbon	3	effective
20449	Carbon	0	ineffective
20454	Carbon	3	effective
20457	Carbon	3	effective
20458	Carbon	3	effective
20461	Carbon	2	bridging
20466	Carbon	0	ineffective
20473	Carbon	2	bridging
20477	Carbon	2	bridging
20481	Carbon	2	bridging
20485	Carbon	0	ineffective
20486	Carbon	2	bridging
20493	Carbon	3	effective
20494	Carbon	3	effective
20498	Carbon	0	ineffective
20501	Carbon	3	effective
