dangling_strand count
2 204
3 1264
4 753
6 317
7 42
8 36
9 215
10 157
11 1
12 101
13 10
14 8
15 61
16 48
17 3
18 37
19 7
20 1
21 23
22 21
23 1
24 15
25 4
26 4
27 8
28 12
29 2
30 6
31 1
32 2
33 7
34 6
36 8
37 1
38 2
39 5
40 2
42 4
43 2
44 3
46 2
48 3
49 2
50 1
51 1
54 1
55 1
56 1
57 1
58 3
61 1
62 1
78 1
83 1
88 1
primary_loop_size data
4.0 38
5.0 42
6.0 2
7.0 23
8.0 7
9.0 2
10.0 5
11.0 4
13.0 1
17.0 2
19.0 1
20.0 1
secondary_loop_size data
3.0 63
4.0 50
5.0 16
6.0 34
7.0 17
8.0 4
9.0 8
10.0 4
11.0 4
12.0 9
13.0 4
15.0 2
16.0 2
17.0 1
22.0 1
tertiary_loop_size data
2.0 28
3.0 20
4.0 23
5.0 26
6.0 25
7.0 15
8.0 18
9.0 10
10.0 11
11.0 10
12.0 6
13.0 7
14.0 1
15.0 3
16.0 5
17.0 2
18.0 1
19.0 1
20.0 1
21.0 1
22.0 1
23.0 3
25.0 2
26.0 1
quaternary_loop_size data
1.0 1
2.0 12
3.0 8
4.0 14
5.0 13
6.0 6
7.0 20
8.0 9
9.0 8
10.0 8
11.0 7
12.0 8
13.0 6
14.0 8
15.0 6
16.0 5
17.0 7
18.0 1
19.0 2
20.0 3
21.0 3
22.0 3
23.0 2
24.0 2
25.0 2
26.0 2
28.0 2
29.0 1
