dangle_size count
2 68
4 112
5 81
6 214
7 61
8 27
9 1
10 35
11 63
12 70
13 51
14 8
15 1
16 22
17 46
18 31
19 35
20 13
21 1
22 19
23 27
24 17
25 37
26 9
28 13
29 24
30 13
31 24
32 12
34 7
35 18
36 20
37 24
38 4
39 3
40 5
41 17
42 12
43 11
44 7
45 1
46 4
47 9
48 11
49 17
50 3
51 1
52 2
53 13
54 7
55 11
56 2
57 2
58 2
59 12
60 6
61 4
62 1
63 4
64 5
65 6
66 6
67 7
68 1
70 1
71 5
72 5
73 8
74 3
75 1
76 2
77 7
78 2
79 4
80 1
81 1
82 2
83 2
84 1
85 3
86 1
87 1
88 4
89 3
90 5
91 3
92 1
93 1
94 3
95 2
96 4
97 2
99 2
100 2
101 5
102 4
103 1
105 1
106 3
107 4
108 3
109 2
111 1
114 1
115 1
116 1
117 1
119 3
123 1
124 1
130 1
133 1
141 1
145 2
146 1
150 1
151 3
153 2
154 1
157 2
162 1
165 2
169 1
171 1
179 1
181 1
183 1
185 1
187 1
194 1
197 1
207 1
214 1
218 1
231 2
238 1
255 1
257 2
328 1
347 1
366 1
395 1
419 1
446 1
