dangle_size count
2 130
4 221
5 246
6 214
7 159
8 22
9 2
10 51
11 134
12 64
13 102
14 26
15 3
16 35
17 97
18 32
19 71
20 10
21 4
22 11
23 78
24 23
25 44
26 8
27 7
28 12
29 42
30 15
31 36
32 3
33 5
34 4
35 31
36 9
37 17
38 7
39 1
40 6
41 24
42 10
43 12
44 3
45 4
46 2
47 18
48 2
49 12
50 2
51 3
52 1
53 8
54 5
55 6
56 2
57 3
58 1
59 4
60 4
61 4
62 1
65 8
66 1
67 1
68 1
69 2
70 1
71 6
72 3
73 2
74 1
75 2
77 3
79 1
80 1
82 1
84 1
85 1
86 1
87 1
88 3
89 1
92 1
93 1
94 2
96 1
103 2
107 1
109 1
110 1
118 1
122 1
132 1
136 1
146 1
158 1
159 1
160 1
165 1
167 1
182 1
211 1
217 1
261 1
283 1
326 1
350 1
444 1
571 1
739 1
