# frame percolation_dimension largest_cluster num_molecules
0 0 0 0
1 0 0 0
2 0 0 0
3 0 0 0
4 0 0 0
5 0 0 0
6 0 0 0
7 0 0 0
8 0 0 0
9 0 0 0
10 0 0 0
11 0 0 0
12 0 0 0
13 0 0 0
14 0 0 0
15 0 0 0
16 0 0 0
17 0 0 0
18 0 0 0
19 0 0 0
20 0 0 0
21 0 0 0
22 0 0 0
23 0 0 0
24 0 0 0
25 0 0 0
26 0 0 0
27 0 0 0
28 0 0 0
29 0 0 0
30 0 0 0
31 0 0 0
32 0 0 0
33 0 0 0
34 0 0 0
35 0 0 0
36 0 0 0
37 1 5185 8692
38 1 5434 8572
39 1 5512 8459
40 1 5801 8332
41 1 6223 8183
42 1 6515 8049
43 2 6962 7937
44 2 7215 7836
45 2 13009 7718
46 2 14551 7588
47 2 15087 7477
48 2 15706 7388
49 3 16078 7297
50 3 16627 7202
51 3 17041 7107
52 3 17757 7006
53 3 19156 6904
54 3 19637 6796
55 3 20022 6701
56 3 20350 6608
57 3 20751 6532
58 3 21626 6434
59 3 22138 6348
60 3 22779 6262
61 3 22971 6194
62 3 24343 6124
63 3 24695 6037
64 3 25432 5954
65 3 26007 5883
66 3 28191 5812
67 3 28592 5756
68 3 29030 5690
69 3 29654 5622
70 3 30310 5548
71 3 30580 5493
72 3 30944 5428
73 3 31243 5356
74 3 31607 5283
75 3 32258 5212
76 3 32678 5147
77 3 32818 5100
78 3 34106 5028
79 3 34371 4973
80 3 34749 4909
81 3 35326 4845
82 3 35657 4787
83 3 36032 4738
84 3 36530 4682
85 3 36730 4634
86 3 37039 4580
87 3 37294 4533
88 3 37650 4480
89 3 37931 4421
90 3 38175 4368
91 3 38600 4317
92 3 38960 4279
93 3 39225 4242
94 3 39646 4213
95 3 39945 4161
96 3 40399 4123
97 3 40669 4084
98 3 40895 4042
99 3 41132 3988
100 3 41611 3941
101 3 41803 3900
102 3 42105 3865
103 3 42449 3825
104 3 42652 3796
105 3 42937 3750
106 3 43384 3712
107 3 43566 3675
108 3 43700 3644
109 3 44051 3598
110 3 44333 3561
111 3 44549 3526
112 3 44907 3482
113 3 45084 3451
114 3 45277 3413
115 3 45458 3383
116 3 45639 3351
117 3 45809 3308
118 3 45949 3284
119 3 46123 3257
120 3 46283 3215
121 3 46403 3190
122 3 46480 3164
123 3 46578 3138
124 3 46754 3110
125 3 46980 3075
126 3 47066 3048
127 3 47169 3019
128 3 47260 2997
129 3 47406 2966
130 3 47555 2939
131 3 47679 2916
132 3 47895 2887
133 3 48055 2865
134 3 48160 2838
135 3 48312 2806
136 3 48475 2774
137 3 48592 2747
138 3 48695 2722
139 3 48892 2694
140 3 49008 2677
141 3 49166 2649
142 3 49310 2629
143 3 49402 2610
144 3 49518 2591
145 3 49664 2559
146 3 49885 2532
147 3 49998 2513
148 3 50161 2489
149 3 50279 2464
150 3 50337 2445
151 3 50512 2425
152 3 50552 2415
153 3 50623 2403
154 3 50662 2392
155 3 50815 2370
156 3 50934 2353
157 3 51001 2341
158 3 51150 2317
159 3 51213 2305
160 3 51320 2284
161 3 51401 2270
162 3 51555 2255
163 3 51624 2238
164 3 51674 2222
165 3 51809 2206
166 3 51930 2189
167 3 51998 2173
168 3 52082 2158
169 3 52186 2136
170 3 52408 2122
171 3 52515 2108
172 3 52626 2097
173 3 52723 2079
174 3 52904 2059
175 3 53107 2040
176 3 53159 2028
177 3 53224 2011
178 3 53322 2000
179 3 53411 1984
180 3 53490 1969
181 3 53679 1948
182 3 53756 1934
183 3 53852 1920
184 3 53929 1904
185 3 53951 1896
186 3 54061 1878
187 3 54105 1867
188 3 54161 1856
189 3 54199 1847
190 3 54242 1837
191 3 54295 1827
192 3 54352 1818
