crosslink_id	type	effective_functionality	scanlan_classification
4	Tetra-S	2	bridging
9	Tetra-S	0	ineffective
14	Tetra-S	0	ineffective
19	Tetra-S	3	effective
24	Tetra-S	2	bridging
29	Tetra-S	0	ineffective
34	Tetra-S	4	effective
39	Tetra-S	3	effective
44	Tetra-S	3	effective
49	Tetra-S	3	effective
54	Tetra-S	3	effective
59	Tetra-S	3	effective
69	Tetra-S	2	bridging
74	Tetra-S	0	ineffective
79	Tetra-S	2	bridging
84	Tetra-S	2	bridging
89	Tetra-S	2	bridging
94	Tetra-S	0	ineffective
99	Tetra-S	3	effective
109	Tetra-S	0	ineffective
114	Tetra-S	4	effective
119	Tetra-S	0	ineffective
124	Tetra-S	2	bridging
129	Tetra-S	0	ineffective
134	Tetra-S	4	effective
139	Tetra-S	2	bridging
144	Tetra-S	0	ineffective
149	Tetra-S	3	effective
154	Tetra-S	2	bridging
159	Tetra-S	3	effective
164	Tetra-S	4	effective
169	Tetra-S	3	effective
174	Tetra-S	0	ineffective
179	Tetra-S	0	ineffective
184	Tetra-S	3	effective
194	Tetra-S	2	bridging
199	Tetra-S	2	bridging
204	Tetra-S	3	effective
209	Tetra-S	3	effective
214	Tetra-S	2	bridging
219	Tetra-S	2	bridging
224	Tetra-S	0	ineffective
229	Tetra-S	4	effective
234	Tetra-S	0	ineffective
239	Tetra-S	2	bridging
244	Tetra-S	2	bridging
249	Tetra-S	2	bridging
259	Tetra-S	4	effective
264	Tetra-S	0	ineffective
269	Tetra-S	2	bridging
274	Tetra-S	0	ineffective
279	Tetra-S	3	effective
284	Tetra-S	2	bridging
289	Tetra-S	0	ineffective
294	Tetra-S	0	ineffective
299	Tetra-S	0	ineffective
304	Tetra-S	0	ineffective
309	Tetra-S	0	ineffective
319	Tetra-S	2	bridging
324	Tetra-S	2	bridging
329	Tetra-S	3	effective
334	Tetra-S	3	effective
339	Tetra-S	2	bridging
344	Tetra-S	3	effective
349	Tetra-S	4	effective
354	Tetra-S	0	ineffective
359	Tetra-S	2	bridging
364	Tetra-S	2	bridging
369	Tetra-S	2	bridging
374	Tetra-S	2	bridging
379	Tetra-S	2	bridging
384	Tetra-S	0	ineffective
389	Tetra-S	0	ineffective
394	Tetra-S	3	effective
399	Tetra-S	2	bridging
404	Tetra-S	4	effective
409	Tetra-S	2	bridging
414	Tetra-S	2	bridging
419	Tetra-S	3	effective
424	Tetra-S	4	effective
429	Tetra-S	0	ineffective
439	Tetra-S	2	bridging
444	Tetra-S	3	effective
449	Tetra-S	0	ineffective
454	Tetra-S	3	effective
459	Tetra-S	0	ineffective
464	Tetra-S	3	effective
469	Tetra-S	2	bridging
474	Tetra-S	0	ineffective
479	Tetra-S	0	ineffective
484	Tetra-S	2	bridging
494	Tetra-S	3	effective
499	Tetra-S	0	ineffective
504	Tetra-S	0	ineffective
509	Tetra-S	0	ineffective
514	Tetra-S	4	effective
519	Tetra-S	2	bridging
524	Tetra-S	3	effective
529	Tetra-S	3	effective
534	Tetra-S	0	ineffective
539	Tetra-S	2	bridging
544	Tetra-S	2	bridging
549	Tetra-S	0	ineffective
554	Tetra-S	3	effective
559	Tetra-S	4	effective
564	Tetra-S	2	bridging
569	Tetra-S	4	effective
574	Tetra-S	0	ineffective
584	Tetra-S	2	bridging
589	Tetra-S	2	bridging
594	Tetra-S	0	ineffective
599	Tetra-S	2	bridging
604	Tetra-S	2	bridging
609	Tetra-S	2	bridging
614	Tetra-S	3	effective
619	Tetra-S	0	ineffective
624	Tetra-S	4	effective
629	Tetra-S	3	effective
634	Tetra-S	4	effective
639	Tetra-S	3	effective
644	Tetra-S	2	bridging
649	Tetra-S	4	effective
654	Tetra-S	0	ineffective
659	Tetra-S	3	effective
664	Tetra-S	0	ineffective
669	Tetra-S	3	effective
674	Tetra-S	0	ineffective
679	Tetra-S	3	effective
684	Tetra-S	2	bridging
689	Tetra-S	4	effective
694	Tetra-S	0	ineffective
699	Tetra-S	0	ineffective
704	Tetra-S	3	effective
709	Tetra-S	0	ineffective
714	Tetra-S	0	ineffective
719	Tetra-S	0	ineffective
724	Tetra-S	3	effective
729	Tetra-S	4	effective
734	Tetra-S	3	effective
739	Tetra-S	2	bridging
744	Tetra-S	3	effective
