crosslink_id	type	effective_functionality	scanlan_classification
4	Tetra-S	2	bridging
9	Tetra-S	2	bridging
14	Tetra-S	2	bridging
19	Tetra-S	2	bridging
24	Tetra-S	0	ineffective
29	Tetra-S	2	bridging
34	Tetra-S	3	effective
39	Tetra-S	0	ineffective
44	Tetra-S	4	effective
49	Tetra-S	0	ineffective
59	Tetra-S	2	bridging
64	Tetra-S	3	effective
79	Tetra-S	2	bridging
84	Tetra-S	0	ineffective
89	Tetra-S	3	effective
99	Tetra-S	3	effective
104	Tetra-S	3	effective
109	Tetra-S	0	ineffective
119	Tetra-S	2	bridging
129	Tetra-S	0	ineffective
134	Tetra-S	3	effective
144	Tetra-S	4	effective
149	Tetra-S	2	bridging
154	Tetra-S	3	effective
164	Tetra-S	2	bridging
169	Tetra-S	4	effective
174	Tetra-S	0	ineffective
179	Tetra-S	2	bridging
184	Tetra-S	3	effective
189	Tetra-S	0	ineffective
194	Tetra-S	0	ineffective
199	Tetra-S	0	ineffective
204	Tetra-S	0	ineffective
209	Tetra-S	2	bridging
214	Tetra-S	3	effective
219	Tetra-S	0	ineffective
234	Tetra-S	3	effective
239	Tetra-S	0	ineffective
244	Tetra-S	2	bridging
249	Tetra-S	3	effective
254	Tetra-S	0	ineffective
259	Tetra-S	0	ineffective
264	Tetra-S	0	ineffective
269	Tetra-S	3	effective
274	Tetra-S	0	ineffective
279	Tetra-S	0	ineffective
284	Tetra-S	2	bridging
289	Tetra-S	2	bridging
294	Tetra-S	0	ineffective
299	Tetra-S	2	bridging
304	Tetra-S	0	ineffective
309	Tetra-S	2	bridging
314	Tetra-S	2	bridging
319	Tetra-S	0	ineffective
324	Tetra-S	2	bridging
329	Tetra-S	0	ineffective
334	Tetra-S	3	effective
339	Tetra-S	0	ineffective
344	Tetra-S	3	effective
354	Tetra-S	2	bridging
364	Tetra-S	2	bridging
369	Tetra-S	0	ineffective
374	Tetra-S	2	bridging
384	Tetra-S	2	bridging
389	Tetra-S	2	bridging
394	Tetra-S	3	effective
399	Tetra-S	2	bridging
404	Tetra-S	0	ineffective
409	Tetra-S	0	ineffective
414	Tetra-S	0	ineffective
419	Tetra-S	2	bridging
424	Tetra-S	2	bridging
429	Tetra-S	0	ineffective
434	Tetra-S	0	ineffective
439	Tetra-S	2	bridging
444	Tetra-S	2	bridging
449	Tetra-S	2	bridging
454	Tetra-S	2	bridging
464	Tetra-S	2	bridging
474	Tetra-S	0	ineffective
479	Tetra-S	0	ineffective
489	Tetra-S	3	effective
494	Tetra-S	3	effective
499	Tetra-S	2	bridging
504	Tetra-S	3	effective
514	Tetra-S	2	bridging
519	Tetra-S	4	effective
524	Tetra-S	2	bridging
529	Tetra-S	2	bridging
534	Tetra-S	0	ineffective
539	Tetra-S	4	effective
544	Tetra-S	4	effective
554	Tetra-S	2	bridging
559	Tetra-S	3	effective
564	Tetra-S	0	ineffective
579	Tetra-S	0	ineffective
584	Tetra-S	3	effective
589	Tetra-S	2	bridging
594	Tetra-S	2	bridging
599	Tetra-S	2	bridging
604	Tetra-S	2	bridging
614	Tetra-S	2	bridging
619	Tetra-S	2	bridging
624	Tetra-S	0	ineffective
629	Tetra-S	2	bridging
634	Tetra-S	2	bridging
639	Tetra-S	2	bridging
644	Tetra-S	4	effective
649	Tetra-S	0	ineffective
654	Tetra-S	3	effective
659	Tetra-S	0	ineffective
664	Tetra-S	0	ineffective
669	Tetra-S	3	effective
674	Tetra-S	0	ineffective
679	Tetra-S	2	bridging
684	Tetra-S	2	bridging
689	Tetra-S	2	bridging
694	Tetra-S	0	ineffective
699	Tetra-S	2	bridging
709	Tetra-S	2	bridging
719	Tetra-S	2	bridging
724	Tetra-S	2	bridging
729	Tetra-S	2	bridging
739	Tetra-S	0	ineffective
744	Tetra-S	2	bridging
749	Tetra-S	0	ineffective
754	Tetra-S	0	ineffective
764	Tetra-S	0	ineffective
774	Tetra-S	3	effective
779	Tetra-S	2	bridging
784	Tetra-S	3	effective
789	Tetra-S	3	effective
794	Tetra-S	3	effective
804	Tetra-S	2	bridging
809	Tetra-S	0	ineffective
814	Tetra-S	0	ineffective
819	Tetra-S	0	ineffective
834	Tetra-S	3	effective
839	Tetra-S	3	effective
844	Tetra-S	4	effective
849	Tetra-S	2	bridging
854	Tetra-S	3	effective
859	Tetra-S	2	bridging
864	Tetra-S	3	effective
869	Tetra-S	2	bridging
874	Tetra-S	3	effective
879	Tetra-S	0	ineffective
884	Tetra-S	0	ineffective
889	Tetra-S	3	effective
894	Tetra-S	2	bridging
899	Tetra-S	3	effective
904	Tetra-S	0	ineffective
909	Tetra-S	2	bridging
914	Tetra-S	2	bridging
919	Tetra-S	0	ineffective
924	Tetra-S	3	effective
929	Tetra-S	2	bridging
934	Tetra-S	2	bridging
939	Tetra-S	3	effective
944	Tetra-S	2	bridging
949	Tetra-S	4	effective
954	Tetra-S	2	bridging
959	Tetra-S	0	ineffective
964	Tetra-S	0	ineffective
969	Tetra-S	3	effective
974	Tetra-S	2	bridging
979	Tetra-S	3	effective
994	Tetra-S	3	effective
999	Tetra-S	0	ineffective
1004	Tetra-S	0	ineffective
1014	Tetra-S	0	ineffective
1019	Tetra-S	3	effective
1024	Tetra-S	2	bridging
1029	Tetra-S	0	ineffective
1034	Tetra-S	0	ineffective
1039	Tetra-S	2	bridging
1044	Tetra-S	2	bridging
1049	Tetra-S	4	effective
1054	Tetra-S	0	ineffective
1059	Tetra-S	3	effective
1064	Tetra-S	0	ineffective
1069	Tetra-S	0	ineffective
1074	Tetra-S	0	ineffective
1084	Tetra-S	0	ineffective
1089	Tetra-S	3	effective
1094	Tetra-S	2	bridging
1099	Tetra-S	0	ineffective
1104	Tetra-S	2	bridging
1109	Tetra-S	2	bridging
1114	Tetra-S	3	effective
1119	Tetra-S	3	effective
1124	Tetra-S	3	effective
1129	Tetra-S	2	bridging
1139	Tetra-S	3	effective
1144	Tetra-S	2	bridging
1149	Tetra-S	0	ineffective
1154	Tetra-S	0	ineffective
1159	Tetra-S	0	ineffective
1164	Tetra-S	2	bridging
1169	Tetra-S	3	effective
1174	Tetra-S	2	bridging
1179	Tetra-S	2	bridging
1184	Tetra-S	3	effective
1189	Tetra-S	0	ineffective
1194	Tetra-S	3	effective
1199	Tetra-S	2	bridging
1204	Tetra-S	2	bridging
1214	Tetra-S	0	ineffective
1219	Tetra-S	2	bridging
1224	Tetra-S	3	effective
1229	Tetra-S	2	bridging
1239	Tetra-S	0	ineffective
1244	Tetra-S	0	ineffective
1249	Tetra-S	3	effective
1254	Tetra-S	2	bridging
1259	Tetra-S	3	effective
1264	Tetra-S	0	ineffective
1269	Tetra-S	2	bridging
1274	Tetra-S	2	bridging
1279	Tetra-S	2	bridging
1284	Tetra-S	0	ineffective
1294	Tetra-S	0	ineffective
1304	Tetra-S	3	effective
1309	Tetra-S	0	ineffective
1314	Tetra-S	2	bridging
1319	Tetra-S	2	bridging
1324	Tetra-S	2	bridging
1329	Tetra-S	2	bridging
1334	Tetra-S	3	effective
1339	Tetra-S	3	effective
1344	Tetra-S	0	ineffective
1349	Tetra-S	2	bridging
1354	Tetra-S	3	effective
1359	Tetra-S	0	ineffective
1369	Tetra-S	2	bridging
1374	Tetra-S	0	ineffective
1379	Tetra-S	2	bridging
1384	Tetra-S	2	bridging
1389	Tetra-S	2	bridging
1394	Tetra-S	0	ineffective
1399	Tetra-S	0	ineffective
1404	Tetra-S	3	effective
1409	Tetra-S	2	bridging
1414	Tetra-S	0	ineffective
1419	Tetra-S	3	effective
1424	Tetra-S	0	ineffective
1429	Tetra-S	2	bridging
1434	Tetra-S	3	effective
1439	Tetra-S	2	bridging
1449	Tetra-S	2	bridging
1454	Tetra-S	4	effective
1459	Tetra-S	2	bridging
1464	Tetra-S	0	ineffective
1469	Tetra-S	2	bridging
1479	Tetra-S	4	effective
1489	Tetra-S	0	ineffective
1494	Tetra-S	0	ineffective
1499	Tetra-S	0	ineffective
1504	Tetra-S	3	effective
1509	Tetra-S	0	ineffective
1514	Tetra-S	2	bridging
1519	Tetra-S	4	effective
1524	Tetra-S	0	ineffective
1529	Tetra-S	0	ineffective
1534	Tetra-S	2	bridging
1539	Tetra-S	2	bridging
1544	Tetra-S	3	effective
1549	Tetra-S	2	bridging
1554	Tetra-S	3	effective
1559	Tetra-S	0	ineffective
1564	Tetra-S	2	bridging
1569	Tetra-S	3	effective
1574	Tetra-S	0	ineffective
1579	Tetra-S	4	effective
1594	Tetra-S	2	bridging
1599	Tetra-S	0	ineffective
1604	Tetra-S	4	effective
1609	Tetra-S	0	ineffective
1614	Tetra-S	0	ineffective
1619	Tetra-S	0	ineffective
1624	Tetra-S	0	ineffective
1629	Tetra-S	3	effective
1634	Tetra-S	0	ineffective
1639	Tetra-S	2	bridging
1644	Tetra-S	3	effective
1654	Tetra-S	0	ineffective
1659	Tetra-S	2	bridging
1664	Tetra-S	0	ineffective
1669	Tetra-S	0	ineffective
1679	Tetra-S	0	ineffective
1689	Tetra-S	0	ineffective
1694	Tetra-S	2	bridging
1699	Tetra-S	0	ineffective
1704	Tetra-S	0	ineffective
1709	Tetra-S	3	effective
1714	Tetra-S	0	ineffective
1719	Tetra-S	3	effective
1724	Tetra-S	0	ineffective
1729	Tetra-S	0	ineffective
1734	Tetra-S	0	ineffective
1739	Tetra-S	3	effective
1744	Tetra-S	2	bridging
1754	Tetra-S	0	ineffective
1759	Tetra-S	2	bridging
1769	Tetra-S	3	effective
1774	Tetra-S	0	ineffective
1779	Tetra-S	0	ineffective
1784	Tetra-S	0	ineffective
1789	Tetra-S	0	ineffective
1799	Tetra-S	2	bridging
1804	Tetra-S	2	bridging
1809	Tetra-S	0	ineffective
1814	Tetra-S	2	bridging
1819	Tetra-S	2	bridging
1824	Tetra-S	0	ineffective
1829	Tetra-S	4	effective
1834	Tetra-S	2	bridging
1839	Tetra-S	2	bridging
1844	Tetra-S	3	effective
1849	Tetra-S	0	ineffective
1859	Tetra-S	2	bridging
1869	Tetra-S	2	bridging
1879	Tetra-S	0	ineffective
1884	Tetra-S	0	ineffective
1889	Tetra-S	3	effective
1899	Tetra-S	3	effective
1904	Tetra-S	3	effective
1909	Tetra-S	0	ineffective
1914	Tetra-S	0	ineffective
