dangling_strand count
1 1910
2 395
3 738
4 535
5 35
6 371
7 269
8 28
9 100
10 91
11 25
12 77
13 58
14 10
15 36
16 36
17 5
18 29
19 14
20 6
21 11
22 15
23 5
24 9
25 10
26 4
27 6
28 8
29 4
30 2
31 2
32 1
33 4
34 3
36 2
37 1
40 1
41 1
45 1
52 1
primary_loop_size data
4.0 23
5.0 27
6.0 40
7.0 5
8.0 17
9.0 2
10.0 1
11.0 2
12.0 2
13.0 2
19.0 1
secondary_loop_size data
3.0 60
4.0 41
5.0 48
6.0 15
7.0 26
8.0 13
9.0 12
10.0 9
11.0 5
12.0 2
13.0 7
14.0 4
15.0 1
17.0 2
18.0 1
19.0 1
21.0 2
23.0 1
24.0 1
25.0 1
tertiary_loop_size data
1.0 2
2.0 50
3.0 41
4.0 32
5.0 28
6.0 29
7.0 22
8.0 18
9.0 15
10.0 8
11.0 7
12.0 7
13.0 8
14.0 2
15.0 3
16.0 5
17.0 2
19.0 2
20.0 1
21.0 3
24.0 1
quaternary_loop_size data
2.0 13
3.0 17
4.0 27
5.0 17
6.0 22
7.0 14
8.0 18
9.0 13
10.0 15
11.0 16
12.0 11
13.0 7
14.0 5
15.0 4
16.0 7
17.0 4
18.0 8
19.0 1
20.0 3
21.0 5
22.0 1
23.0 3
24.0 1
25.0 1
26.0 2
27.0 1
31.0 1
32.0 1
35.0 1
40.0 1
